country,age,sex,suicides_no
Paraguay,75+ years,male,3
Paraguay,55-74 years,male,8
Paraguay,35-54 years,male,11
Paraguay,55-74 years,female,4
Paraguay,15-24 years,female,9
Paraguay,15-24 years,male,9
Paraguay,25-34 years,female,6
Paraguay,25-34 years,male,4
Paraguay,5-14 years,female,5
Paraguay,35-54 years,female,3
Paraguay,5-14 years,male,1
Paraguay,75+ years,female,0
Paraguay,55-74 years,male,9
Paraguay,75+ years,male,1
Paraguay,25-34 years,male,10
Paraguay,15-24 years,female,12
Paraguay,15-24 years,male,10
Paraguay,35-54 years,female,6
Paraguay,55-74 years,female,2
Paraguay,25-34 years,female,3
Paraguay,35-54 years,male,3
Paraguay,5-14 years,female,0
Paraguay,75+ years,female,0
Paraguay,5-14 years,male,0
Paraguay,75+ years,male,3
Paraguay,35-54 years,male,15
Paraguay,75+ years,female,1
Paraguay,15-24 years,female,12
Paraguay,55-74 years,male,4
Paraguay,15-24 years,male,11
Paraguay,25-34 years,male,6
Paraguay,35-54 years,female,4
Paraguay,25-34 years,female,2
Paraguay,55-74 years,female,1
Paraguay,5-14 years,female,3
Paraguay,5-14 years,male,0
Paraguay,75+ years,male,2
Paraguay,75+ years,female,2
Paraguay,35-54 years,male,17
Paraguay,55-74 years,male,6
Paraguay,25-34 years,male,11
Paraguay,15-24 years,female,13
Paraguay,15-24 years,male,12
Paraguay,25-34 years,female,3
Paraguay,5-14 years,female,1
Paraguay,35-54 years,female,0
Paraguay,55-74 years,female,0
Paraguay,5-14 years,male,0
Paraguay,75+ years,male,3
Paraguay,15-24 years,female,24
Paraguay,15-24 years,male,23
Paraguay,55-74 years,female,6
Paraguay,25-34 years,male,10
Paraguay,75+ years,female,1
Paraguay,55-74 years,male,4
Paraguay,25-34 years,female,8
Paraguay,35-54 years,male,9
Paraguay,35-54 years,female,7
Paraguay,5-14 years,female,4
Paraguay,5-14 years,male,0
Paraguay,55-74 years,male,8
Paraguay,75+ years,male,1
Paraguay,35-54 years,male,14
Paraguay,15-24 years,male,15
Paraguay,15-24 years,female,13
Paraguay,25-34 years,male,8
Paraguay,25-34 years,female,4
Paraguay,55-74 years,female,2
Paraguay,35-54 years,female,4
Paraguay,5-14 years,female,4
Paraguay,5-14 years,male,2
Paraguay,75+ years,female,0
Paraguay,55-74 years,male,16
Paraguay,75+ years,male,2
Paraguay,35-54 years,male,22
Paraguay,75+ years,female,2
Paraguay,15-24 years,male,22
Paraguay,25-34 years,male,15
Paraguay,25-34 years,female,6
Paraguay,35-54 years,female,7
Paraguay,55-74 years,female,3
Paraguay,15-24 years,female,7
Paraguay,5-14 years,male,4
Paraguay,5-14 years,female,2
Paraguay,75+ years,male,3
Paraguay,35-54 years,male,27
Paraguay,15-24 years,male,28
Paraguay,25-34 years,male,17
Paraguay,55-74 years,male,7
Paraguay,15-24 years,female,16
Paraguay,55-74 years,female,3
Paraguay,35-54 years,female,6
Paraguay,5-14 years,female,7
Paraguay,25-34 years,female,3
Paraguay,5-14 years,male,1
Paraguay,75+ years,female,0
Paraguay,55-74 years,male,11
