country,age,sex,suicides_no
Philippines,75+ years,male,6
Philippines,55-74 years,male,26
Philippines,25-34 years,male,66
Philippines,15-24 years,male,86
Philippines,35-54 years,male,60
Philippines,15-24 years,female,57
Philippines,75+ years,female,2
Philippines,35-54 years,female,21
Philippines,55-74 years,female,7
Philippines,25-34 years,female,16
Philippines,5-14 years,female,0
Philippines,5-14 years,male,0
Philippines,75+ years,male,9
Philippines,25-34 years,male,154
Philippines,15-24 years,female,169
Philippines,15-24 years,male,175
Philippines,75+ years,female,10
Philippines,35-54 years,male,128
Philippines,55-74 years,male,40
Philippines,25-34 years,female,86
Philippines,55-74 years,female,21
Philippines,35-54 years,female,54
Philippines,5-14 years,female,0
Philippines,5-14 years,male,0
Philippines,75+ years,male,13
Philippines,25-34 years,male,193
Philippines,55-74 years,male,66
Philippines,15-24 years,male,167
Philippines,35-54 years,male,146
Philippines,15-24 years,female,84
Philippines,25-34 years,female,49
Philippines,75+ years,female,4
Philippines,35-54 years,female,56
Philippines,55-74 years,female,20
Philippines,5-14 years,male,10
Philippines,5-14 years,female,6
Philippines,75+ years,male,18
Philippines,25-34 years,male,198
Philippines,55-74 years,male,69
Philippines,15-24 years,male,189
Philippines,35-54 years,male,175
Philippines,15-24 years,female,87
Philippines,25-34 years,female,52
Philippines,55-74 years,female,23
Philippines,35-54 years,female,44
Philippines,75+ years,female,2
Philippines,5-14 years,male,16
Philippines,5-14 years,female,10
Philippines,75+ years,male,14
Philippines,55-74 years,male,79
Philippines,25-34 years,male,199
Philippines,15-24 years,male,257
Philippines,35-54 years,male,225
Philippines,75+ years,female,13
Philippines,15-24 years,female,96
Philippines,25-34 years,female,61
Philippines,55-74 years,female,21
Philippines,35-54 years,female,57
Philippines,5-14 years,male,14
Philippines,5-14 years,female,7
Philippines,75+ years,male,20
Philippines,55-74 years,male,121
Philippines,25-34 years,male,276
Philippines,15-24 years,male,316
Philippines,35-54 years,male,294
Philippines,75+ years,female,10
Philippines,15-24 years,female,120
Philippines,25-34 years,female,89
Philippines,35-54 years,female,98
Philippines,55-74 years,female,27
Philippines,5-14 years,male,18
Philippines,5-14 years,female,14
Philippines,75+ years,male,20
Philippines,55-74 years,male,104
Philippines,25-34 years,male,246
Philippines,15-24 years,male,310
Philippines,35-54 years,male,235
Philippines,15-24 years,female,104
Philippines,55-74 years,female,34
Philippines,35-54 years,female,79
Philippines,25-34 years,female,48
Philippines,75+ years,female,4
Philippines,5-14 years,male,12
Philippines,5-14 years,female,8
Philippines,75+ years,male,20
Philippines,25-34 years,male,267
Philippines,15-24 years,male,346
Philippines,55-74 years,male,93
Philippines,35-54 years,male,251
Philippines,75+ years,female,11
Philippines,15-24 years,female,114
Philippines,25-34 years,female,61
Philippines,55-74 years,female,27
Philippines,35-54 years,female,74
Philippines,5-14 years,male,22
Philippines,5-14 years,female,15
Philippines,75+ years,male,25
Philippines,25-34 years,male,328
Philippines,55-74 years,male,107
Philippines,35-54 years,male,333
Philippines,15-24 years,male,328
Philippines,75+ years,female,13
Philippines,15-24 years,female,166
Philippines,25-34 years,female,90
Philippines,35-54 years,female,93
Philippines,55-74 years,female,26
Philippines,5-14 years,male,21
Philippines,5-14 years,female,14
Philippines,75+ years,male,33
Philippines,25-34 years,male,369
Philippines,55-74 years,male,162
Philippines,15-24 years,male,400
Philippines,35-54 years,male,387
Philippines,15-24 years,female,146
Philippines,75+ years,female,10
Philippines,25-34 years,female,91
Philippines,55-74 years,female,39
Philippines,35-54 years,female,88
Philippines,5-14 years,male,35
Philippines,5-14 years,female,28
Philippines,75+ years,male,19
Philippines,15-24 years,male,430
Philippines,25-34 years,male,304
Philippines,35-54 years,male,387
Philippines,55-74 years,male,131
Philippines,15-24 years,female,158
Philippines,25-34 years,female,89
Philippines,55-74 years,female,43
Philippines,35-54 years,female,98
Philippines,75+ years,female,5
Philippines,5-14 years,male,21
Philippines,5-14 years,female,13
Philippines,75+ years,male,29
Philippines,25-34 years,male,370
Philippines,15-24 years,male,441
Philippines,55-74 years,male,144
Philippines,35-54 years,male,403
Philippines,15-24 years,female,171
Philippines,75+ years,female,12
Philippines,25-34 years,female,81
Philippines,35-54 years,female,92
Philippines,55-74 years,female,31
Philippines,5-14 years,male,24
Philippines,5-14 years,female,22
Philippines,75+ years,male,30
Philippines,25-34 years,male,383
Philippines,15-24 years,male,475
Philippines,55-74 years,male,171
Philippines,35-54 years,male,468
Philippines,15-24 years,female,232
Philippines,25-34 years,female,101
Philippines,55-74 years,female,56
Philippines,35-54 years,female,114
Philippines,75+ years,female,6
Philippines,5-14 years,male,22
Philippines,5-14 years,female,16
Philippines,75+ years,male,42
Philippines,25-34 years,male,400
Philippines,15-24 years,male,503
Philippines,55-74 years,male,180
Philippines,35-54 years,male,469
Philippines,15-24 years,female,218
Philippines,25-34 years,female,101
Philippines,75+ years,female,10
Philippines,35-54 years,female,107
Philippines,55-74 years,female,34
Philippines,5-14 years,male,35
Philippines,5-14 years,female,17
Philippines,75+ years,male,64
Philippines,25-34 years,male,470
Philippines,55-74 years,male,227
Philippines,15-24 years,male,541
Philippines,35-54 years,male,533
Philippines,15-24 years,female,221
Philippines,75+ years,female,14
Philippines,25-34 years,female,120
Philippines,35-54 years,female,147
Philippines,55-74 years,female,39
Philippines,5-14 years,male,44
Philippines,5-14 years,female,29
