country,age,sex,suicides_no
Poland,35-54 years,male,1670
Poland,55-74 years,male,890
Poland,25-34 years,male,917
Poland,75+ years,male,141
Poland,15-24 years,male,440
Poland,55-74 years,female,277
Poland,75+ years,female,77
Poland,35-54 years,female,320
Poland,25-34 years,female,126
Poland,15-24 years,female,72
Poland,5-14 years,male,33
Poland,5-14 years,female,7
Poland,35-54 years,male,2004
Poland,55-74 years,male,963
Poland,75+ years,male,152
Poland,25-34 years,male,849
Poland,15-24 years,male,441
Poland,55-74 years,female,267
Poland,35-54 years,female,358
Poland,75+ years,female,57
Poland,25-34 years,female,114
Poland,15-24 years,female,64
Poland,5-14 years,male,39
Poland,5-14 years,female,8
Poland,35-54 years,male,2137
Poland,55-74 years,male,1030
Poland,75+ years,male,157
Poland,25-34 years,male,904
Poland,15-24 years,male,465
Poland,75+ years,female,83
Poland,55-74 years,female,292
Poland,35-54 years,female,388
Poland,25-34 years,female,128
Poland,15-24 years,female,87
Poland,5-14 years,male,39
Poland,5-14 years,female,3
Poland,35-54 years,male,2174
Poland,55-74 years,male,1002
Poland,75+ years,male,150
Poland,25-34 years,male,785
Poland,15-24 years,male,486
Poland,55-74 years,female,313
Poland,35-54 years,female,399
Poland,75+ years,female,61
Poland,25-34 years,female,135
Poland,15-24 years,female,69
Poland,5-14 years,male,44
Poland,5-14 years,female,6
Poland,35-54 years,male,2184
Poland,75+ years,male,162
Poland,55-74 years,male,969
Poland,25-34 years,male,739
Poland,15-24 years,male,539
Poland,55-74 years,female,268
Poland,35-54 years,female,376
Poland,75+ years,female,57
Poland,25-34 years,female,108
Poland,15-24 years,female,77
Poland,5-14 years,male,35
Poland,5-14 years,female,5
Poland,35-54 years,male,2155
Poland,55-74 years,male,1002
Poland,75+ years,male,151
Poland,25-34 years,male,684
Poland,15-24 years,male,510
Poland,55-74 years,female,293
Poland,35-54 years,female,400
Poland,75+ years,female,62
Poland,25-34 years,female,88
Poland,15-24 years,female,88
Poland,5-14 years,male,60
Poland,5-14 years,female,6
Poland,35-54 years,male,2141
Poland,55-74 years,male,1038
Poland,75+ years,male,149
Poland,25-34 years,male,617
Poland,15-24 years,male,540
Poland,55-74 years,female,307
Poland,35-54 years,female,362
Poland,75+ years,female,61
Poland,25-34 years,female,79
Poland,15-24 years,female,88
Poland,5-14 years,male,52
Poland,5-14 years,female,12
Poland,35-54 years,male,2319
Poland,55-74 years,male,968
Poland,75+ years,male,176
Poland,25-34 years,male,687
Poland,15-24 years,male,713
Poland,55-74 years,female,259
Poland,35-54 years,female,395
Poland,75+ years,female,68
Poland,25-34 years,female,74
Poland,15-24 years,female,84
Poland,5-14 years,male,32
Poland,5-14 years,female,4
Poland,35-54 years,male,2345
Poland,75+ years,male,204
Poland,55-74 years,male,945
Poland,25-34 years,male,689
Poland,15-24 years,male,649
Poland,35-54 years,female,451
Poland,75+ years,female,85
Poland,55-74 years,female,239
Poland,25-34 years,female,92
Poland,15-24 years,female,96
Poland,5-14 years,male,37
Poland,5-14 years,female,9
Poland,35-54 years,male,2430
Poland,55-74 years,male,1024
Poland,75+ years,male,160
Poland,25-34 years,male,712
Poland,15-24 years,male,644
Poland,35-54 years,female,399
Poland,55-74 years,female,230
Poland,75+ years,female,59
Poland,25-34 years,female,83
Poland,15-24 years,female,76
Poland,5-14 years,male,35
Poland,5-14 years,female,3
Poland,35-54 years,male,2357
Poland,55-74 years,male,1000
Poland,75+ years,male,170
Poland,25-34 years,male,729
Poland,15-24 years,male,646
Poland,55-74 years,female,287
Poland,35-54 years,female,448
Poland,75+ years,female,95
Poland,15-24 years,female,84
Poland,25-34 years,female,68
Poland,5-14 years,male,31
Poland,5-14 years,female,10
Poland,35-54 years,male,2347
Poland,55-74 years,male,1037
Poland,75+ years,male,182
Poland,25-34 years,male,728
Poland,15-24 years,male,638
Poland,55-74 years,female,272
Poland,35-54 years,female,377
Poland,75+ years,female,78
Poland,25-34 years,female,80
Poland,15-24 years,female,76
Poland,5-14 years,male,16
Poland,5-14 years,female,5
Poland,35-54 years,male,2349
Poland,55-74 years,male,1143
Poland,75+ years,male,200
Poland,25-34 years,male,778
Poland,15-24 years,male,666
Poland,35-54 years,female,391
Poland,55-74 years,female,258
Poland,75+ years,female,83
Poland,25-34 years,female,84
Poland,15-24 years,female,84
Poland,5-14 years,male,26
Poland,5-14 years,female,10
Poland,35-54 years,male,2348
Poland,55-74 years,male,1171
Poland,75+ years,male,220
Poland,25-34 years,male,743
Poland,15-24 years,male,630
Poland,55-74 years,female,278
