country,age,sex,suicides_no
Portugal,75+ years,male,89
Portugal,55-74 years,male,245
Portugal,35-54 years,male,185
Portugal,75+ years,female,39
Portugal,25-34 years,male,87
Portugal,55-74 years,female,98
Portugal,15-24 years,male,81
Portugal,35-54 years,female,77
Portugal,15-24 years,female,41
Portugal,25-34 years,female,31
Portugal,5-14 years,male,6
Portugal,5-14 years,female,4
Portugal,75+ years,male,111
Portugal,55-74 years,male,234
Portugal,35-54 years,male,195
Portugal,75+ years,female,36
Portugal,55-74 years,female,93
Portugal,25-34 years,male,65
Portugal,15-24 years,male,61
Portugal,35-54 years,female,74
Portugal,25-34 years,female,32
Portugal,15-24 years,female,31
Portugal,5-14 years,male,6
Portugal,5-14 years,female,3
Portugal,75+ years,male,121
Portugal,55-74 years,male,225
Portugal,35-54 years,male,190
Portugal,75+ years,female,44
Portugal,25-34 years,male,90
Portugal,15-24 years,male,80
Portugal,55-74 years,female,79
Portugal,35-54 years,female,69
Portugal,25-34 years,female,33
Portugal,15-24 years,female,24
Portugal,5-14 years,male,3
Portugal,5-14 years,female,2
Portugal,75+ years,male,94
Portugal,55-74 years,male,231
Portugal,35-54 years,male,171
Portugal,75+ years,female,31
Portugal,25-34 years,male,67
Portugal,55-74 years,female,77
Portugal,15-24 years,male,56
Portugal,35-54 years,female,39
Portugal,15-24 years,female,25
Portugal,25-34 years,female,21
Portugal,5-14 years,male,4
Portugal,5-14 years,female,3
Portugal,75+ years,male,95
Portugal,55-74 years,male,207
Portugal,75+ years,female,40
Portugal,25-34 years,male,80
Portugal,35-54 years,male,108
Portugal,55-74 years,female,77
Portugal,15-24 years,male,58
Portugal,35-54 years,female,46
Portugal,15-24 years,female,18
Portugal,25-34 years,female,14
Portugal,5-14 years,female,3
Portugal,5-14 years,male,1
Portugal,75+ years,male,111
Portugal,55-74 years,male,207
Portugal,75+ years,female,53
Portugal,25-34 years,male,106
Portugal,35-54 years,male,151
Portugal,15-24 years,male,62
Portugal,55-74 years,female,68
Portugal,35-54 years,female,55
Portugal,25-34 years,female,27
Portugal,15-24 years,female,25
Portugal,5-14 years,male,5
Portugal,5-14 years,female,0
Portugal,75+ years,male,143
Portugal,55-74 years,male,224
Portugal,25-34 years,male,126
Portugal,35-54 years,male,156
Portugal,75+ years,female,36
Portugal,55-74 years,female,86
Portugal,15-24 years,male,58
Portugal,35-54 years,female,63
Portugal,25-34 years,female,29
Portugal,15-24 years,female,17
Portugal,5-14 years,female,3
Portugal,5-14 years,male,1
Portugal,75+ years,male,126
Portugal,55-74 years,male,214
Portugal,25-34 years,male,93
Portugal,35-54 years,male,145
Portugal,75+ years,female,40
Portugal,55-74 years,female,84
Portugal,15-24 years,male,47
Portugal,35-54 years,female,62
Portugal,25-34 years,female,33
Portugal,15-24 years,female,17
Portugal,5-14 years,male,5
Portugal,5-14 years,female,0
Portugal,75+ years,male,99
Portugal,55-74 years,male,232
Portugal,35-54 years,male,143
Portugal,25-34 years,male,74
Portugal,75+ years,female,34
Portugal,55-74 years,female,68
Portugal,15-24 years,male,36
Portugal,35-54 years,female,51
Portugal,25-34 years,female,24
Portugal,15-24 years,female,16
Portugal,5-14 years,male,2
Portugal,5-14 years,female,1
Portugal,75+ years,male,99
Portugal,55-74 years,male,198
Portugal,35-54 years,male,159
Portugal,25-34 years,male,87
Portugal,75+ years,female,41
Portugal,55-74 years,female,62
Portugal,15-24 years,male,40
Portugal,35-54 years,female,40
Portugal,25-34 years,female,17
Portugal,15-24 years,female,15
Portugal,5-14 years,male,4
Portugal,5-14 years,female,0
Portugal,75+ years,male,105
Portugal,55-74 years,male,205
Portugal,75+ years,female,45
Portugal,35-54 years,male,143
Portugal,25-34 years,male,79
Portugal,55-74 years,female,75
Portugal,15-24 years,male,48
Portugal,35-54 years,female,61
Portugal,15-24 years,female,24
Portugal,25-34 years,female,21
Portugal,5-14 years,male,2
Portugal,5-14 years,female,1
Portugal,75+ years,male,125
Portugal,55-74 years,male,168
Portugal,75+ years,female,39
Portugal,35-54 years,male,112
Portugal,25-34 years,male,52
Portugal,55-74 years,female,65
Portugal,15-24 years,male,34
Portugal,35-54 years,female,32
Portugal,25-34 years,female,13
Portugal,15-24 years,female,12
Portugal,5-14 years,female,1
Portugal,5-14 years,male,0
Portugal,75+ years,male,104
Portugal,55-74 years,male,168
Portugal,25-34 years,male,66
Portugal,35-54 years,male,110
Portugal,75+ years,female,26
Portugal,55-74 years,female,56
Portugal,15-24 years,male,34
Portugal,35-54 years,female,40
Portugal,25-34 years,female,13
Portugal,15-24 years,female,9
Portugal,5-14 years,female,1
Portugal,5-14 years,male,1
Portugal,75+ years,male,84
Portugal,55-74 years,male,153
Portugal,75+ years,female,34
Portugal,35-54 years,male,104
Portugal,25-34 years,male,45
Portugal,55-74 years,female,59
Portugal,15-24 years,male,29
Portugal,35-54 years,female,30
Portugal,25-34 years,female,11
Portugal,15-24 years,female,6
Portugal,5-14 years,male,1
Portugal,5-14 years,female,0
Portugal,75+ years,male,96
Portugal,55-74 years,male,141
Portugal,75+ years,female,45
Portugal,35-54 years,male,108
Portugal,25-34 years,male,40
Portugal,55-74 years,female,46
Portugal,15-24 years,male,21
Portugal,25-34 years,female,13
Portugal,35-54 years,female,23
Portugal,15-24 years,female,8
Portugal,5-14 years,female,3
Portugal,5-14 years,male,1
Portugal,75+ years,male,105
Portugal,55-74 years,male,143
Portugal,35-54 years,male,101
Portugal,75+ years,female,31
Portugal,25-34 years,male,40
Portugal,15-24 years,male,28
Portugal,55-74 years,female,38
Portugal,35-54 years,female,22
Portugal,25-34 years,female,9
Portugal,15-24 years,female,7
Portugal,5-14 years,female,0
Portugal,5-14 years,male,0
Portugal,75+ years,male,132
Portugal,55-74 years,male,179
Portugal,25-34 years,male,88
Portugal,35-54 years,male,145
Portugal,75+ years,female,40
Portugal,55-74 years,female,65
Portugal,15-24 years,male,41
Portugal,35-54 years,female,48
Portugal,25-34 years,female,13
Portugal,15-24 years,female,8
Portugal,5-14 years,female,1
Portugal,5-14 years,male,1
Portugal,75+ years,male,188
Portugal,55-74 years,male,305
Portugal,35-54 years,male,284
Portugal,25-34 years,male,118
Portugal,75+ years,female,55
Portugal,55-74 years,female,87
Portugal,15-24 years,male,50
Portugal,35-54 years,female,81
Portugal,25-34 years,female,28
Portugal,15-24 years,female,10
Portugal,5-14 years,female,2
Portugal,5-14 years,male,2
Portugal,75+ years,male,197
Portugal,55-74 years,male,287
Portugal,35-54 years,male,263
Portugal,25-34 years,male,103
Portugal,75+ years,female,58
Portugal,55-74 years,female,101
Portugal,15-24 years,male,39
Portugal,35-54 years,female,66
Portugal,25-34 years,female,31
Portugal,15-24 years,female,11
Portugal,5-14 years,female,0
Portugal,5-14 years,male,0
Portugal,75+ years,male,202
Portugal,55-74 years,male,245
Portugal,35-54 years,male,207
Portugal,75+ years,female,62
Portugal,25-34 years,male,71
Portugal,55-74 years,female,101
Portugal,35-54 years,female,75
Portugal,15-24 years,male,26
Portugal,25-34 years,female,18
Portugal,15-24 years,female,11
Portugal,5-14 years,female,2
Portugal,5-14 years,male,0
Portugal,75+ years,male,198
Portugal,55-74 years,male,256
Portugal,35-54 years,male,236
Portugal,75+ years,female,58
Portugal,25-34 years,male,75
Portugal,55-74 years,female,98
Portugal,15-24 years,male,27
Portugal,35-54 years,female,64
Portugal,25-34 years,female,17
Portugal,15-24 years,female,7
Portugal,5-14 years,male,2
Portugal,5-14 years,female,0
Portugal,75+ years,male,202
Portugal,55-74 years,male,250
Portugal,35-54 years,male,235
Portugal,75+ years,female,58
Portugal,25-34 years,male,74
Portugal,15-24 years,male,41
Portugal,55-74 years,female,74
Portugal,35-54 years,female,66
Portugal,25-34 years,female,16
Portugal,15-24 years,female,8
Portugal,5-14 years,male,1
Portugal,5-14 years,female,0
Portugal,75+ years,male,233
Portugal,55-74 years,male,257
Portugal,35-54 years,male,258
Portugal,75+ years,female,64
Portugal,25-34 years,male,58
Portugal,55-74 years,female,89
Portugal,15-24 years,male,27
Portugal,35-54 years,female,72
Portugal,25-34 years,female,27
Portugal,15-24 years,female,12
Portugal,5-14 years,female,1
Portugal,5-14 years,male,1
Portugal,75+ years,male,189
Portugal,55-74 years,male,271
Portugal,35-54 years,male,253
Portugal,25-34 years,male,64
Portugal,75+ years,female,43
Portugal,55-74 years,female,80
Portugal,35-54 years,female,76
Portugal,15-24 years,male,15
Portugal,25-34 years,female,15
Portugal,15-24 years,female,9
Portugal,5-14 years,male,2
Portugal,5-14 years,female,0
Portugal,75+ years,male,223
Portugal,55-74 years,male,270
Portugal,35-54 years,male,280
Portugal,75+ years,female,62
Portugal,25-34 years,male,59
Portugal,55-74 years,female,84
Portugal,15-24 years,male,26
Portugal,35-54 years,female,54
Portugal,15-24 years,female,8
Portugal,25-34 years,female,9
Portugal,5-14 years,male,1
Portugal,5-14 years,female,0
Portugal,75+ years,male,203
Portugal,55-74 years,male,275
Portugal,35-54 years,male,251
Portugal,25-34 years,male,62
Portugal,75+ years,female,58
Portugal,55-74 years,female,95
Portugal,35-54 years,female,63
Portugal,15-24 years,male,20
Portugal,25-34 years,female,20
Portugal,15-24 years,female,5
Portugal,5-14 years,female,0
Portugal,5-14 years,male,0
Portugal,75+ years,male,244
Portugal,55-74 years,male,289
Portugal,35-54 years,male,298
Portugal,75+ years,female,67
Portugal,25-34 years,male,65
Portugal,55-74 years,female,105
Portugal,35-54 years,female,95
Portugal,15-24 years,male,28
Portugal,25-34 years,female,21
Portugal,15-24 years,female,8
Portugal,5-14 years,female,2
Portugal,5-14 years,male,0
