country,age,sex,suicides_no
Puerto Rico,75+ years,male,25
Puerto Rico,55-74 years,male,66
Puerto Rico,35-54 years,male,70
Puerto Rico,25-34 years,male,43
Puerto Rico,15-24 years,male,28
Puerto Rico,75+ years,female,4
Puerto Rico,55-74 years,female,11
Puerto Rico,25-34 years,female,8
Puerto Rico,35-54 years,female,8
Puerto Rico,15-24 years,female,3
Puerto Rico,5-14 years,male,2
Puerto Rico,5-14 years,female,1
Puerto Rico,75+ years,male,35
Puerto Rico,55-74 years,male,64
Puerto Rico,35-54 years,male,94
Puerto Rico,25-34 years,male,60
Puerto Rico,75+ years,female,4
Puerto Rico,15-24 years,male,18
Puerto Rico,35-54 years,female,16
Puerto Rico,55-74 years,female,7
Puerto Rico,25-34 years,female,8
Puerto Rico,15-24 years,female,3
Puerto Rico,5-14 years,male,1
Puerto Rico,5-14 years,female,0
Puerto Rico,75+ years,male,23
Puerto Rico,55-74 years,male,67
Puerto Rico,35-54 years,male,72
Puerto Rico,25-34 years,male,46
Puerto Rico,15-24 years,male,25
Puerto Rico,75+ years,female,4
Puerto Rico,35-54 years,female,16
Puerto Rico,55-74 years,female,9
Puerto Rico,15-24 years,female,5
Puerto Rico,25-34 years,female,4
Puerto Rico,5-14 years,male,1
Puerto Rico,5-14 years,female,0
Puerto Rico,75+ years,male,31
Puerto Rico,55-74 years,male,61
Puerto Rico,35-54 years,male,97
Puerto Rico,25-34 years,male,60
Puerto Rico,15-24 years,male,32
Puerto Rico,55-74 years,female,7
Puerto Rico,35-54 years,female,11
Puerto Rico,25-34 years,female,7
Puerto Rico,15-24 years,female,4
Puerto Rico,5-14 years,male,3
Puerto Rico,5-14 years,female,1
Puerto Rico,75+ years,female,0
Puerto Rico,75+ years,male,32
Puerto Rico,55-74 years,male,63
Puerto Rico,35-54 years,male,107
Puerto Rico,25-34 years,male,67
Puerto Rico,15-24 years,male,22
Puerto Rico,75+ years,female,3
Puerto Rico,35-54 years,female,16
Puerto Rico,55-74 years,female,7
Puerto Rico,25-34 years,female,5
Puerto Rico,15-24 years,female,3
Puerto Rico,5-14 years,female,1
Puerto Rico,5-14 years,male,1
Puerto Rico,75+ years,male,32
Puerto Rico,55-74 years,male,79
Puerto Rico,35-54 years,male,115
Puerto Rico,25-34 years,male,71
Puerto Rico,15-24 years,male,34
Puerto Rico,55-74 years,female,10
Puerto Rico,35-54 years,female,13
Puerto Rico,25-34 years,female,9
Puerto Rico,15-24 years,female,5
Puerto Rico,5-14 years,male,2
Puerto Rico,5-14 years,female,1
Puerto Rico,75+ years,female,0
Puerto Rico,75+ years,male,43
Puerto Rico,55-74 years,male,68
Puerto Rico,35-54 years,male,121
Puerto Rico,25-34 years,male,47
Puerto Rico,15-24 years,male,39
Puerto Rico,35-54 years,female,17
Puerto Rico,55-74 years,female,8
Puerto Rico,75+ years,female,2
Puerto Rico,25-34 years,female,7
Puerto Rico,15-24 years,female,2
Puerto Rico,5-14 years,male,1
Puerto Rico,5-14 years,female,0
Puerto Rico,75+ years,male,23
Puerto Rico,55-74 years,male,66
Puerto Rico,35-54 years,male,98
Puerto Rico,25-34 years,male,61
Puerto Rico,15-24 years,male,31
Puerto Rico,55-74 years,female,10
Puerto Rico,35-54 years,female,15
Puerto Rico,75+ years,female,2
Puerto Rico,15-24 years,female,5
Puerto Rico,25-34 years,female,3
Puerto Rico,5-14 years,female,0
Puerto Rico,5-14 years,male,0
Puerto Rico,75+ years,male,34
Puerto Rico,35-54 years,male,116
Puerto Rico,25-34 years,male,69
Puerto Rico,55-74 years,male,59
Puerto Rico,15-24 years,male,33
Puerto Rico,35-54 years,female,16
Puerto Rico,55-74 years,female,7
Puerto Rico,15-24 years,female,6
Puerto Rico,25-34 years,female,4
Puerto Rico,5-14 years,female,1
Puerto Rico,75+ years,female,0
Puerto Rico,5-14 years,male,0
Puerto Rico,75+ years,male,28
Puerto Rico,35-54 years,male,119
Puerto Rico,55-74 years,male,65
Puerto Rico,25-34 years,male,68
Puerto Rico,15-24 years,male,35
Puerto Rico,35-54 years,female,18
Puerto Rico,75+ years,female,2
Puerto Rico,55-74 years,female,6
Puerto Rico,15-24 years,female,5
Puerto Rico,5-14 years,male,5
Puerto Rico,25-34 years,female,4
Puerto Rico,5-14 years,female,0
Puerto Rico,75+ years,male,26
Puerto Rico,35-54 years,male,94
Puerto Rico,25-34 years,male,50
Puerto Rico,55-74 years,male,47
Puerto Rico,15-24 years,male,38
Puerto Rico,55-74 years,female,10
Puerto Rico,35-54 years,female,13
Puerto Rico,25-34 years,female,6
Puerto Rico,15-24 years,female,4
Puerto Rico,75+ years,female,1
Puerto Rico,5-14 years,female,0
Puerto Rico,5-14 years,male,0
Puerto Rico,75+ years,male,31
Puerto Rico,35-54 years,male,113
Puerto Rico,25-34 years,male,62
Puerto Rico,55-74 years,male,55
Puerto Rico,15-24 years,male,35
Puerto Rico,75+ years,female,4
Puerto Rico,15-24 years,female,8
Puerto Rico,55-74 years,female,7
Puerto Rico,35-54 years,female,10
Puerto Rico,25-34 years,female,5
Puerto Rico,5-14 years,male,1
Puerto Rico,5-14 years,female,0
Puerto Rico,35-54 years,male,107
Puerto Rico,55-74 years,male,57
Puerto Rico,75+ years,male,16
Puerto Rico,25-34 years,male,36
Puerto Rico,15-24 years,male,37
Puerto Rico,35-54 years,female,12
Puerto Rico,55-74 years,female,5
Puerto Rico,25-34 years,female,1
Puerto Rico,5-14 years,male,1
Puerto Rico,15-24 years,female,1
Puerto Rico,5-14 years,female,0
Puerto Rico,75+ years,female,0
Puerto Rico,75+ years,male,32
Puerto Rico,35-54 years,male,103
Puerto Rico,25-34 years,male,55
Puerto Rico,55-74 years,male,55
Puerto Rico,15-24 years,male,42
Puerto Rico,55-74 years,female,8
Puerto Rico,15-24 years,female,8
Puerto Rico,35-54 years,female,11
Puerto Rico,25-34 years,female,3
Puerto Rico,75+ years,female,1
Puerto Rico,5-14 years,male,3
Puerto Rico,5-14 years,female,0
Puerto Rico,75+ years,male,29
Puerto Rico,35-54 years,male,103
Puerto Rico,55-74 years,male,54
Puerto Rico,25-34 years,male,48
Puerto Rico,15-24 years,male,22
Puerto Rico,55-74 years,female,11
Puerto Rico,75+ years,female,3
Puerto Rico,25-34 years,female,5
Puerto Rico,35-54 years,female,9
Puerto Rico,5-14 years,female,2
Puerto Rico,15-24 years,female,2
Puerto Rico,5-14 years,male,1
Puerto Rico,35-54 years,male,127
Puerto Rico,75+ years,male,19
Puerto Rico,55-74 years,male,57
Puerto Rico,25-34 years,male,43
Puerto Rico,15-24 years,male,32
Puerto Rico,25-34 years,female,8
Puerto Rico,55-74 years,female,7
Puerto Rico,35-54 years,female,9
Puerto Rico,75+ years,female,1
Puerto Rico,15-24 years,female,2
Puerto Rico,5-14 years,female,0
Puerto Rico,5-14 years,male,0
Puerto Rico,75+ years,male,20
Puerto Rico,55-74 years,male,61
Puerto Rico,35-54 years,male,93
Puerto Rico,25-34 years,male,41
Puerto Rico,15-24 years,male,38
Puerto Rico,35-54 years,female,15
Puerto Rico,75+ years,female,3
Puerto Rico,55-74 years,female,8
Puerto Rico,25-34 years,female,4
Puerto Rico,15-24 years,female,4
Puerto Rico,5-14 years,male,2
Puerto Rico,5-14 years,female,0
Puerto Rico,75+ years,male,22
Puerto Rico,35-54 years,male,80
Puerto Rico,55-74 years,male,47
Puerto Rico,25-34 years,male,37
Puerto Rico,15-24 years,male,16
Puerto Rico,25-34 years,female,9
Puerto Rico,55-74 years,female,10
Puerto Rico,35-54 years,female,14
Puerto Rico,75+ years,female,1
Puerto Rico,15-24 years,female,2
Puerto Rico,5-14 years,female,1
Puerto Rico,5-14 years,male,0
Puerto Rico,75+ years,male,23
Puerto Rico,35-54 years,male,102
Puerto Rico,55-74 years,male,51
Puerto Rico,15-24 years,male,34
Puerto Rico,25-34 years,male,29
Puerto Rico,35-54 years,female,11
Puerto Rico,15-24 years,female,5
Puerto Rico,25-34 years,female,3
Puerto Rico,55-74 years,female,3
Puerto Rico,5-14 years,male,1
Puerto Rico,5-14 years,female,0
Puerto Rico,75+ years,female,0
Puerto Rico,75+ years,male,28
Puerto Rico,35-54 years,male,101
Puerto Rico,25-34 years,male,49
Puerto Rico,55-74 years,male,52
Puerto Rico,15-24 years,male,25
Puerto Rico,25-34 years,female,6
Puerto Rico,55-74 years,female,6
Puerto Rico,35-54 years,female,8
Puerto Rico,75+ years,female,1
Puerto Rico,5-14 years,female,1
Puerto Rico,15-24 years,female,1
Puerto Rico,5-14 years,male,1
Puerto Rico,75+ years,male,20
Puerto Rico,55-74 years,male,61
Puerto Rico,35-54 years,male,96
Puerto Rico,25-34 years,male,39
Puerto Rico,15-24 years,male,29
Puerto Rico,55-74 years,female,13
Puerto Rico,35-54 years,female,16
Puerto Rico,75+ years,female,3
Puerto Rico,25-34 years,female,6
Puerto Rico,5-14 years,male,3
Puerto Rico,15-24 years,female,3
Puerto Rico,5-14 years,female,0
Puerto Rico,75+ years,male,18
Puerto Rico,55-74 years,male,61
Puerto Rico,35-54 years,male,90
Puerto Rico,25-34 years,male,36
Puerto Rico,15-24 years,male,38
Puerto Rico,35-54 years,female,12
Puerto Rico,15-24 years,female,4
Puerto Rico,55-74 years,female,3
Puerto Rico,75+ years,female,1
Puerto Rico,25-34 years,female,2
Puerto Rico,5-14 years,female,0
Puerto Rico,5-14 years,male,0
Puerto Rico,35-54 years,male,96
Puerto Rico,25-34 years,male,52
Puerto Rico,75+ years,male,14
Puerto Rico,55-74 years,male,47
Puerto Rico,15-24 years,male,16
Puerto Rico,55-74 years,female,14
Puerto Rico,35-54 years,female,15
Puerto Rico,25-34 years,female,6
Puerto Rico,15-24 years,female,6
Puerto Rico,75+ years,female,2
Puerto Rico,5-14 years,male,3
Puerto Rico,5-14 years,female,0
Puerto Rico,75+ years,male,22
Puerto Rico,35-54 years,male,107
Puerto Rico,55-74 years,male,65
Puerto Rico,25-34 years,male,37
Puerto Rico,15-24 years,male,21
Puerto Rico,55-74 years,female,18
Puerto Rico,35-54 years,female,16
Puerto Rico,25-34 years,female,6
Puerto Rico,15-24 years,female,5
Puerto Rico,75+ years,female,2
Puerto Rico,5-14 years,male,1
Puerto Rico,5-14 years,female,0
Puerto Rico,75+ years,male,31
Puerto Rico,55-74 years,male,82
Puerto Rico,35-54 years,male,111
Puerto Rico,25-34 years,male,51
Puerto Rico,15-24 years,male,25
Puerto Rico,25-34 years,female,7
Puerto Rico,35-54 years,female,12
Puerto Rico,55-74 years,female,7
Puerto Rico,15-24 years,female,3
Puerto Rico,5-14 years,male,1
Puerto Rico,5-14 years,female,0
Puerto Rico,75+ years,female,0
Puerto Rico,75+ years,male,24
Puerto Rico,35-54 years,male,100
Puerto Rico,55-74 years,male,60
Puerto Rico,25-34 years,male,39
Puerto Rico,15-24 years,male,18
Puerto Rico,55-74 years,female,15
Puerto Rico,35-54 years,female,20
Puerto Rico,75+ years,female,2
Puerto Rico,25-34 years,female,4
Puerto Rico,15-24 years,female,4
Puerto Rico,5-14 years,female,0
Puerto Rico,5-14 years,male,0
Puerto Rico,55-74 years,male,60
Puerto Rico,75+ years,male,17
Puerto Rico,35-54 years,male,80
Puerto Rico,25-34 years,male,42
Puerto Rico,15-24 years,male,16
Puerto Rico,35-54 years,female,22
Puerto Rico,25-34 years,female,7
Puerto Rico,55-74 years,female,7
Puerto Rico,15-24 years,female,3
Puerto Rico,5-14 years,female,2
Puerto Rico,75+ years,female,1
Puerto Rico,5-14 years,male,1
Puerto Rico,55-74 years,male,60
Puerto Rico,75+ years,male,17
Puerto Rico,35-54 years,male,71
Puerto Rico,15-24 years,male,30
Puerto Rico,25-34 years,male,24
Puerto Rico,55-74 years,female,18
Puerto Rico,35-54 years,female,16
Puerto Rico,25-34 years,female,7
Puerto Rico,5-14 years,male,2
Puerto Rico,75+ years,female,1
Puerto Rico,15-24 years,female,2
Puerto Rico,5-14 years,female,0
Puerto Rico,75+ years,male,26
Puerto Rico,55-74 years,male,62
Puerto Rico,35-54 years,male,75
Puerto Rico,25-34 years,male,21
Puerto Rico,15-24 years,male,19
Puerto Rico,35-54 years,female,18
Puerto Rico,25-34 years,female,7
Puerto Rico,55-74 years,female,9
Puerto Rico,15-24 years,female,2
Puerto Rico,5-14 years,female,1
Puerto Rico,5-14 years,male,1
Puerto Rico,75+ years,female,0
Puerto Rico,55-74 years,male,75
Puerto Rico,75+ years,male,15
Puerto Rico,35-54 years,male,56
Puerto Rico,25-34 years,male,20
Puerto Rico,15-24 years,male,20
Puerto Rico,35-54 years,female,15
Puerto Rico,55-74 years,female,10
Puerto Rico,25-34 years,female,4
Puerto Rico,5-14 years,male,2
Puerto Rico,15-24 years,female,2
Puerto Rico,75+ years,female,1
Puerto Rico,5-14 years,female,0
Puerto Rico,75+ years,male,25
Puerto Rico,55-74 years,male,66
Puerto Rico,35-54 years,male,74
Puerto Rico,25-34 years,male,26
Puerto Rico,15-24 years,male,9
Puerto Rico,55-74 years,female,10
Puerto Rico,25-34 years,female,5
Puerto Rico,35-54 years,female,7
Puerto Rico,15-24 years,female,2
Puerto Rico,75+ years,female,1
Puerto Rico,5-14 years,male,1
Puerto Rico,5-14 years,female,0
