country,age,sex,suicides_no
Qatar,15-24 years,female,0
Qatar,25-34 years,female,0
Qatar,35-54 years,female,0
Qatar,5-14 years,female,0
Qatar,55-74 years,female,0
Qatar,75+ years,female,0
Qatar,15-24 years,male,0
Qatar,25-34 years,male,0
Qatar,35-54 years,male,0
Qatar,5-14 years,male,0
Qatar,55-74 years,male,0
Qatar,75+ years,male,0
Qatar,35-54 years,female,4
Qatar,35-54 years,male,11
Qatar,25-34 years,male,5
Qatar,15-24 years,male,2
Qatar,25-34 years,female,1
Qatar,15-24 years,female,0
Qatar,5-14 years,female,0
Qatar,55-74 years,female,0
Qatar,75+ years,female,0
Qatar,5-14 years,male,0
Qatar,55-74 years,male,0
Qatar,75+ years,male,0
Qatar,35-54 years,male,14
Qatar,25-34 years,male,4
Qatar,15-24 years,male,2
Qatar,25-34 years,female,1
Qatar,15-24 years,female,0
Qatar,35-54 years,female,0
Qatar,5-14 years,female,0
Qatar,55-74 years,female,0
Qatar,75+ years,female,0
Qatar,5-14 years,male,0
Qatar,55-74 years,male,0
Qatar,75+ years,male,0
Qatar,15-24 years,male,7
Qatar,25-34 years,male,5
Qatar,55-74 years,male,1
Qatar,25-34 years,female,1
Qatar,35-54 years,male,3
Qatar,15-24 years,female,0
Qatar,35-54 years,female,0
Qatar,5-14 years,female,0
Qatar,55-74 years,female,0
Qatar,75+ years,female,0
Qatar,5-14 years,male,0
Qatar,75+ years,male,0
Qatar,75+ years,male,1
Qatar,35-54 years,male,13
Qatar,15-24 years,female,2
Qatar,25-34 years,male,7
Qatar,55-74 years,male,1
Qatar,25-34 years,female,2
Qatar,15-24 years,male,2
Qatar,35-54 years,female,1
Qatar,5-14 years,female,0
Qatar,55-74 years,female,0
Qatar,75+ years,female,0
Qatar,5-14 years,male,0
Qatar,55-74 years,male,3
Qatar,25-34 years,male,13
Qatar,35-54 years,male,14
Qatar,15-24 years,male,6
Qatar,25-34 years,female,2
Qatar,5-14 years,male,1
Qatar,15-24 years,female,1
Qatar,35-54 years,female,1
Qatar,5-14 years,female,0
Qatar,55-74 years,female,0
Qatar,75+ years,female,0
Qatar,75+ years,male,0
Qatar,35-54 years,male,17
Qatar,25-34 years,male,12
Qatar,55-74 years,male,1
Qatar,25-34 years,female,2
Qatar,15-24 years,male,1
Qatar,15-24 years,female,0
Qatar,35-54 years,female,0
Qatar,5-14 years,female,0
Qatar,55-74 years,female,0
Qatar,75+ years,female,0
Qatar,5-14 years,male,0
Qatar,75+ years,male,0
Qatar,55-74 years,male,2
Qatar,15-24 years,male,8
Qatar,25-34 years,male,16
Qatar,35-54 years,male,15
Qatar,15-24 years,female,2
Qatar,25-34 years,female,1
Qatar,35-54 years,female,0
Qatar,5-14 years,female,0
Qatar,55-74 years,female,0
Qatar,75+ years,female,0
Qatar,5-14 years,male,0
Qatar,75+ years,male,0
Qatar,25-34 years,male,20
Qatar,15-24 years,male,8
Qatar,35-54 years,male,18
Qatar,25-34 years,female,1
Qatar,15-24 years,female,0
Qatar,35-54 years,female,0
Qatar,5-14 years,female,0
Qatar,55-74 years,female,0
Qatar,75+ years,female,0
Qatar,5-14 years,male,0
Qatar,55-74 years,male,0
Qatar,75+ years,male,0
Qatar,15-24 years,male,9
Qatar,55-74 years,male,2
Qatar,35-54 years,male,19
Qatar,25-34 years,male,15
Qatar,15-24 years,female,2
Qatar,35-54 years,female,2
Qatar,25-34 years,female,1
Qatar,5-14 years,female,0
Qatar,55-74 years,female,0
Qatar,75+ years,female,0
Qatar,5-14 years,male,0
Qatar,75+ years,male,0
Qatar,25-34 years,male,16
Qatar,35-54 years,female,4
Qatar,15-24 years,male,7
Qatar,35-54 years,male,14
Qatar,55-74 years,male,1
Qatar,25-34 years,female,1
Qatar,15-24 years,female,0
Qatar,5-14 years,female,0
Qatar,55-74 years,female,0
Qatar,75+ years,female,0
Qatar,5-14 years,male,0
Qatar,75+ years,male,0
Qatar,15-24 years,male,8
Qatar,25-34 years,male,15
Qatar,35-54 years,male,13
Qatar,25-34 years,female,1
Qatar,15-24 years,female,0
Qatar,35-54 years,female,0
Qatar,5-14 years,female,0
Qatar,55-74 years,female,0
Qatar,75+ years,female,0
Qatar,5-14 years,male,0
Qatar,55-74 years,male,0
Qatar,75+ years,male,0
Qatar,55-74 years,female,1
Qatar,15-24 years,male,12
Qatar,35-54 years,male,23
Qatar,55-74 years,male,2
Qatar,25-34 years,male,15
Qatar,15-24 years,female,1
Qatar,25-34 years,female,1
Qatar,35-54 years,female,0
Qatar,5-14 years,female,0
Qatar,75+ years,female,0
Qatar,5-14 years,male,0
Qatar,75+ years,male,0
Qatar,15-24 years,male,13
Qatar,35-54 years,male,23
Qatar,25-34 years,male,20
Qatar,35-54 years,female,5
Qatar,15-24 years,female,2
Qatar,25-34 years,female,2
Qatar,55-74 years,male,1
Qatar,5-14 years,female,0
Qatar,55-74 years,female,0
Qatar,75+ years,female,0
Qatar,5-14 years,male,0
Qatar,75+ years,male,0
Qatar,15-24 years,male,13
Qatar,35-54 years,male,27
Qatar,25-34 years,male,21
Qatar,55-74 years,male,2
Qatar,35-54 years,female,3
Qatar,25-34 years,female,2
Qatar,15-24 years,female,0
Qatar,55-74 years,female,0
Qatar,75+ years,female,0
Qatar,75+ years,male,0
