country,age,sex,suicides_no
Republic of Korea,75+ years,male,42
Republic of Korea,55-74 years,male,393
Republic of Korea,35-54 years,male,903
Republic of Korea,25-34 years,male,655
Republic of Korea,15-24 years,male,678
Republic of Korea,75+ years,female,38
Republic of Korea,55-74 years,female,161
Republic of Korea,15-24 years,female,296
Republic of Korea,25-34 years,female,228
Republic of Korea,35-54 years,female,262
Republic of Korea,5-14 years,male,20
Republic of Korea,5-14 years,female,13
Republic of Korea,75+ years,male,59
Republic of Korea,55-74 years,male,377
Republic of Korea,35-54 years,male,827
Republic of Korea,25-34 years,male,671
Republic of Korea,15-24 years,male,616
Republic of Korea,75+ years,female,30
Republic of Korea,25-34 years,female,250
Republic of Korea,55-74 years,female,129
Republic of Korea,15-24 years,female,237
Republic of Korea,35-54 years,female,236
Republic of Korea,5-14 years,male,18
Republic of Korea,5-14 years,female,8
Republic of Korea,75+ years,male,44
Republic of Korea,55-74 years,male,380
Republic of Korea,25-34 years,male,675
Republic of Korea,35-54 years,male,781
Republic of Korea,15-24 years,male,493
Republic of Korea,75+ years,female,30
Republic of Korea,55-74 years,female,152
Republic of Korea,25-34 years,female,254
Republic of Korea,35-54 years,female,229
Republic of Korea,15-24 years,female,221
Republic of Korea,5-14 years,male,27
Republic of Korea,5-14 years,female,15
Republic of Korea,75+ years,male,44
Republic of Korea,55-74 years,male,281
Republic of Korea,35-54 years,male,691
Republic of Korea,25-34 years,male,575
Republic of Korea,75+ years,female,47
Republic of Korea,15-24 years,male,513
Republic of Korea,55-74 years,female,141
Republic of Korea,25-34 years,female,206
Republic of Korea,15-24 years,female,212
Republic of Korea,35-54 years,female,213
Republic of Korea,5-14 years,male,14
Republic of Korea,5-14 years,female,12
Republic of Korea,75+ years,male,59
Republic of Korea,55-74 years,male,314
Republic of Korea,35-54 years,male,693
Republic of Korea,25-34 years,male,574
Republic of Korea,75+ years,female,46
Republic of Korea,15-24 years,male,464
Republic of Korea,55-74 years,female,136
Republic of Korea,25-34 years,female,233
Republic of Korea,35-54 years,female,262
Republic of Korea,15-24 years,female,207
Republic of Korea,5-14 years,male,20
Republic of Korea,5-14 years,female,15
Republic of Korea,75+ years,male,53
Republic of Korea,55-74 years,male,352
Republic of Korea,35-54 years,male,736
Republic of Korea,25-34 years,male,550
Republic of Korea,75+ years,female,52
Republic of Korea,15-24 years,male,480
Republic of Korea,25-34 years,female,269
Republic of Korea,55-74 years,female,153
Republic of Korea,15-24 years,female,232
Republic of Korea,35-54 years,female,242
Republic of Korea,5-14 years,male,26
Republic of Korea,5-14 years,female,14
Republic of Korea,75+ years,male,55
Republic of Korea,55-74 years,male,331
Republic of Korea,35-54 years,male,708
Republic of Korea,25-34 years,male,568
Republic of Korea,75+ years,female,56
Republic of Korea,15-24 years,male,451
Republic of Korea,55-74 years,female,154
Republic of Korea,25-34 years,female,247
Republic of Korea,35-54 years,female,256
Republic of Korea,15-24 years,female,201
Republic of Korea,5-14 years,male,26
Republic of Korea,5-14 years,female,16
Republic of Korea,75+ years,male,56
Republic of Korea,55-74 years,male,438
Republic of Korea,35-54 years,male,823
Republic of Korea,25-34 years,male,644
Republic of Korea,75+ years,female,60
Republic of Korea,15-24 years,male,480
Republic of Korea,55-74 years,female,182
Republic of Korea,25-34 years,female,267
Republic of Korea,35-54 years,female,312
Republic of Korea,15-24 years,female,222
Republic of Korea,5-14 years,male,26
Republic of Korea,5-14 years,female,23
Republic of Korea,75+ years,male,91
Republic of Korea,55-74 years,male,524
Republic of Korea,35-54 years,male,1040
Republic of Korea,75+ years,female,91
Republic of Korea,25-34 years,male,646
Republic of Korea,15-24 years,male,522
Republic of Korea,25-34 years,female,322
Republic of Korea,55-74 years,female,207
Republic of Korea,35-54 years,female,381
Republic of Korea,15-24 years,female,253
Republic of Korea,5-14 years,male,25
Republic of Korea,5-14 years,female,22
Republic of Korea,75+ years,male,105
Republic of Korea,55-74 years,male,546
Republic of Korea,75+ years,female,93
Republic of Korea,35-54 years,male,1025
Republic of Korea,25-34 years,male,681
Republic of Korea,15-24 years,male,479
Republic of Korea,55-74 years,female,264
Republic of Korea,25-34 years,female,337
Republic of Korea,35-54 years,female,383
Republic of Korea,15-24 years,female,243
Republic of Korea,5-14 years,female,30
Republic of Korea,5-14 years,male,26
Republic of Korea,75+ years,male,126
Republic of Korea,55-74 years,male,638
Republic of Korea,35-54 years,male,1265
Republic of Korea,75+ years,female,112
Republic of Korea,25-34 years,male,759
Republic of Korea,15-24 years,male,501
Republic of Korea,55-74 years,female,281
Republic of Korea,25-34 years,female,373
Republic of Korea,35-54 years,female,427
Republic of Korea,15-24 years,female,301
Republic of Korea,5-14 years,female,28
Republic of Korea,5-14 years,male,30
Republic of Korea,75+ years,male,166
Republic of Korea,55-74 years,male,796
Republic of Korea,35-54 years,male,1533
Republic of Korea,75+ years,female,150
Republic of Korea,25-34 years,male,893
Republic of Korea,15-24 years,male,619
Republic of Korea,55-74 years,female,314
Republic of Korea,25-34 years,female,408
Republic of Korea,15-24 years,female,367
Republic of Korea,35-54 years,female,532
Republic of Korea,5-14 years,female,44
Republic of Korea,5-14 years,male,35
Republic of Korea,75+ years,male,198
Republic of Korea,55-74 years,male,868
Republic of Korea,75+ years,female,173
Republic of Korea,35-54 years,male,1656
Republic of Korea,25-34 years,male,881
Republic of Korea,15-24 years,male,528
Republic of Korea,55-74 years,female,341
Republic of Korea,25-34 years,female,458
Republic of Korea,35-54 years,female,535
Republic of Korea,15-24 years,female,321
Republic of Korea,5-14 years,female,34
Republic of Korea,5-14 years,male,31
Republic of Korea,75+ years,male,258
Republic of Korea,55-74 years,male,1398
Republic of Korea,35-54 years,male,2644
Republic of Korea,75+ years,female,230
Republic of Korea,25-34 years,male,1240
Republic of Korea,15-24 years,male,629
Republic of Korea,55-74 years,female,479
Republic of Korea,25-34 years,female,533
Republic of Korea,35-54 years,female,714
Republic of Korea,15-24 years,female,371
Republic of Korea,5-14 years,female,42
Republic of Korea,5-14 years,male,31
Republic of Korea,75+ years,male,252
Republic of Korea,55-74 years,male,1201
Republic of Korea,35-54 years,male,2087
Republic of Korea,75+ years,female,213
Republic of Korea,25-34 years,male,901
Republic of Korea,55-74 years,female,464
Republic of Korea,15-24 years,male,496
Republic of Korea,35-54 years,female,683
Republic of Korea,25-34 years,female,411
Republic of Korea,15-24 years,female,306
Republic of Korea,5-14 years,female,30
Republic of Korea,5-14 years,male,31
Republic of Korea,75+ years,male,282
Republic of Korea,55-74 years,male,1133
Republic of Korea,75+ years,female,238
Republic of Korea,35-54 years,male,1890
Republic of Korea,25-34 years,male,748
Republic of Korea,55-74 years,female,481
Republic of Korea,15-24 years,male,408
Republic of Korea,35-54 years,female,616
Republic of Korea,25-34 years,female,353
Republic of Korea,15-24 years,female,265
Republic of Korea,5-14 years,male,20
Republic of Korea,5-14 years,female,10
Republic of Korea,75+ years,male,328
Republic of Korea,55-74 years,male,1331
Republic of Korea,75+ years,female,306
Republic of Korea,35-54 years,male,1989
Republic of Korea,25-34 years,male,835
Republic of Korea,55-74 years,female,520
Republic of Korea,35-54 years,female,640
Republic of Korea,15-24 years,male,356
Republic of Korea,25-34 years,female,344
Republic of Korea,15-24 years,female,228
Republic of Korea,5-14 years,female,21
Republic of Korea,5-14 years,male,13
Republic of Korea,75+ years,male,489
Republic of Korea,75+ years,female,491
Republic of Korea,55-74 years,male,1648
Republic of Korea,35-54 years,male,2444
Republic of Korea,25-34 years,male,970
Republic of Korea,55-74 years,female,664
Republic of Korea,35-54 years,female,845
Republic of Korea,15-24 years,male,374
Republic of Korea,25-34 years,female,401
Republic of Korea,15-24 years,female,254
Republic of Korea,5-14 years,female,17
Republic of Korea,5-14 years,male,14
Republic of Korea,75+ years,male,674
Republic of Korea,55-74 years,male,2239
Republic of Korea,75+ years,female,601
Republic of Korea,35-54 years,male,3005
Republic of Korea,25-34 years,male,1086
Republic of Korea,55-74 years,female,855
Republic of Korea,35-54 years,female,1091
Republic of Korea,15-24 years,male,495
Republic of Korea,25-34 years,female,503
Republic of Korea,15-24 years,female,316
Republic of Korea,5-14 years,female,18
Republic of Korea,5-14 years,male,15
Republic of Korea,75+ years,male,722
Republic of Korea,55-74 years,male,2574
Republic of Korea,75+ years,female,695
Republic of Korea,35-54 years,male,3227
Republic of Korea,55-74 years,female,969
Republic of Korea,25-34 years,male,912
Republic of Korea,35-54 years,female,1154
Republic of Korea,25-34 years,female,496
Republic of Korea,15-24 years,male,423
Republic of Korea,15-24 years,female,277
Republic of Korea,5-14 years,female,22
Republic of Korea,5-14 years,male,21
Republic of Korea,75+ years,male,780
Republic of Korea,55-74 years,male,2680
Republic of Korea,75+ years,female,700
Republic of Korea,35-54 years,male,3109
Republic of Korea,55-74 years,female,986
Republic of Korea,25-34 years,male,1010
Republic of Korea,25-34 years,female,679
Republic of Korea,35-54 years,female,1179
Republic of Korea,15-24 years,female,421
Republic of Korea,15-24 years,male,426
Republic of Korea,5-14 years,female,20
Republic of Korea,5-14 years,male,21
Republic of Korea,75+ years,male,722
Republic of Korea,55-74 years,male,2506
Republic of Korea,75+ years,female,700
Republic of Korea,35-54 years,male,2878
Republic of Korea,55-74 years,female,895
Republic of Korea,25-34 years,male,764
Republic of Korea,35-54 years,female,1036
Republic of Korea,25-34 years,female,490
Republic of Korea,15-24 years,male,342
Republic of Korea,15-24 years,female,285
Republic of Korea,5-14 years,female,20
Republic of Korea,5-14 years,male,15
Republic of Korea,75+ years,male,860
Republic of Korea,55-74 years,male,2553
Republic of Korea,75+ years,female,743
Republic of Korea,35-54 years,male,2902
Republic of Korea,55-74 years,female,984
Republic of Korea,25-34 years,male,997
Republic of Korea,25-34 years,female,908
Republic of Korea,35-54 years,female,1297
Republic of Korea,15-24 years,female,467
Republic of Korea,15-24 years,male,410
Republic of Korea,5-14 years,female,28
Republic of Korea,5-14 years,male,25
Republic of Korea,75+ years,male,828
Republic of Korea,55-74 years,male,2686
Republic of Korea,75+ years,female,755
Republic of Korea,35-54 years,male,3265
Republic of Korea,25-34 years,female,943
Republic of Korea,25-34 years,male,977
Republic of Korea,55-74 years,female,964
Republic of Korea,35-54 years,female,1500
Republic of Korea,15-24 years,male,481
Republic of Korea,15-24 years,female,410
Republic of Korea,5-14 years,female,26
Republic of Korea,5-14 years,male,23
Republic of Korea,75+ years,male,1006
Republic of Korea,55-74 years,male,3025
Republic of Korea,75+ years,female,920
Republic of Korea,35-54 years,male,4048
Republic of Korea,25-34 years,male,1260
Republic of Korea,25-34 years,female,1121
Republic of Korea,55-74 years,female,1152
Republic of Korea,35-54 years,female,1780
