country,age,sex,suicides_no
Romania,75+ years,male,138
Romania,35-54 years,male,734
Romania,55-74 years,male,470
Romania,25-34 years,male,333
Romania,75+ years,female,69
Romania,15-24 years,male,197
Romania,55-74 years,female,189
Romania,35-54 years,female,237
Romania,25-34 years,female,67
Romania,15-24 years,female,75
Romania,5-14 years,male,14
Romania,5-14 years,female,6
Romania,75+ years,male,97
Romania,55-74 years,male,413
Romania,35-54 years,male,607
Romania,25-34 years,male,210
Romania,75+ years,female,64
Romania,15-24 years,male,177
Romania,55-74 years,female,196
Romania,35-54 years,female,167
Romania,25-34 years,female,57
Romania,15-24 years,female,69
Romania,5-14 years,male,19
Romania,5-14 years,female,3
Romania,75+ years,male,110
Romania,55-74 years,male,487
Romania,35-54 years,male,645
Romania,25-34 years,male,229
Romania,75+ years,female,65
Romania,55-74 years,female,183
Romania,15-24 years,male,152
Romania,35-54 years,female,161
Romania,25-34 years,female,60
Romania,15-24 years,female,52
Romania,5-14 years,male,15
Romania,5-14 years,female,2
Romania,75+ years,male,130
Romania,55-74 years,male,610
Romania,35-54 years,male,807
Romania,25-34 years,male,282
Romania,75+ years,female,69
Romania,15-24 years,male,235
Romania,55-74 years,female,189
Romania,35-54 years,female,188
Romania,25-34 years,female,58
Romania,15-24 years,female,65
Romania,5-14 years,male,13
Romania,5-14 years,female,4
Romania,35-54 years,male,943
Romania,75+ years,male,101
Romania,55-74 years,male,607
Romania,25-34 years,male,326
Romania,75+ years,female,62
Romania,15-24 years,male,197
Romania,55-74 years,female,217
Romania,35-54 years,female,194
Romania,25-34 years,female,51
Romania,15-24 years,female,57
Romania,5-14 years,male,17
Romania,5-14 years,female,2
Romania,75+ years,male,125
Romania,35-54 years,male,993
Romania,55-74 years,male,608
Romania,25-34 years,male,329
Romania,15-24 years,male,222
Romania,75+ years,female,55
Romania,55-74 years,female,221
Romania,35-54 years,female,190
Romania,25-34 years,female,61
Romania,15-24 years,female,57
Romania,5-14 years,male,21
Romania,5-14 years,female,5
Romania,35-54 years,male,1021
Romania,75+ years,male,99
Romania,55-74 years,male,579
Romania,25-34 years,male,323
Romania,15-24 years,male,223
Romania,55-74 years,female,193
Romania,75+ years,female,35
Romania,35-54 years,female,191
Romania,25-34 years,female,65
Romania,15-24 years,female,49
Romania,5-14 years,male,11
Romania,5-14 years,female,4
Romania,35-54 years,male,1059
Romania,75+ years,male,110
Romania,55-74 years,male,615
Romania,25-34 years,male,302
Romania,15-24 years,male,234
Romania,55-74 years,female,196
Romania,75+ years,female,39
Romania,35-54 years,female,177
Romania,25-34 years,female,42
Romania,15-24 years,female,37
Romania,5-14 years,male,15
Romania,5-14 years,female,2
Romania,35-54 years,male,1052
Romania,75+ years,male,109
Romania,55-74 years,male,622
Romania,25-34 years,male,369
Romania,15-24 years,male,207
Romania,75+ years,female,46
Romania,55-74 years,female,173
Romania,35-54 years,female,172
Romania,15-24 years,female,48
Romania,25-34 years,female,41
Romania,5-14 years,male,16
Romania,5-14 years,female,4
Romania,35-54 years,male,1082
Romania,75+ years,male,125
Romania,55-74 years,male,616
Romania,25-34 years,male,332
Romania,15-24 years,male,176
Romania,55-74 years,female,168
Romania,75+ years,female,39
Romania,35-54 years,female,175
Romania,25-34 years,female,52
Romania,15-24 years,female,54
Romania,5-14 years,male,19
Romania,5-14 years,female,0
Romania,75+ years,male,125
Romania,35-54 years,male,945
Romania,55-74 years,male,613
Romania,25-34 years,male,322
Romania,15-24 years,male,195
Romania,75+ years,female,53
Romania,55-74 years,female,183
Romania,35-54 years,female,163
Romania,25-34 years,female,51
Romania,15-24 years,female,47
Romania,5-14 years,male,35
Romania,5-14 years,female,4
Romania,35-54 years,male,978
Romania,55-74 years,male,658
Romania,75+ years,male,114
Romania,25-34 years,male,364
Romania,75+ years,female,65
Romania,15-24 years,male,188
Romania,55-74 years,female,171
Romania,35-54 years,female,179
Romania,25-34 years,female,58
Romania,15-24 years,female,32
Romania,5-14 years,male,23
Romania,5-14 years,female,6
Romania,35-54 years,male,1043
Romania,75+ years,male,113
Romania,55-74 years,male,540
Romania,25-34 years,male,371
Romania,15-24 years,male,185
Romania,75+ years,female,54
Romania,55-74 years,female,178
Romania,35-54 years,female,138
Romania,25-34 years,female,36
Romania,5-14 years,male,26
Romania,15-24 years,female,31
Romania,5-14 years,female,5
Romania,35-54 years,male,1138
Romania,75+ years,male,142
Romania,55-74 years,male,651
Romania,25-34 years,male,375
Romania,15-24 years,male,198
Romania,75+ years,female,59
Romania,55-74 years,female,187
Romania,35-54 years,female,175
Romania,25-34 years,female,58
Romania,5-14 years,male,35
Romania,15-24 years,female,38
Romania,5-14 years,female,11
Romania,35-54 years,male,1069
Romania,55-74 years,male,662
Romania,75+ years,male,127
Romania,25-34 years,male,349
Romania,15-24 years,male,157
Romania,75+ years,female,55
Romania,55-74 years,female,176
Romania,35-54 years,female,188
Romania,15-24 years,female,45
Romania,25-34 years,female,36
Romania,5-14 years,male,22
Romania,5-14 years,female,8
Romania,55-74 years,male,646
Romania,35-54 years,male,999
Romania,75+ years,male,127
Romania,25-34 years,male,311
Romania,15-24 years,male,166
Romania,75+ years,female,55
Romania,55-74 years,female,174
Romania,35-54 years,female,130
Romania,25-34 years,female,49
Romania,5-14 years,male,27
Romania,15-24 years,female,33
Romania,5-14 years,female,3
Romania,55-74 years,male,597
Romania,35-54 years,male,943
Romania,75+ years,male,135
Romania,25-34 years,male,289
Romania,75+ years,female,71
Romania,15-24 years,male,153
Romania,55-74 years,female,187
Romania,35-54 years,female,146
Romania,25-34 years,female,34
Romania,15-24 years,female,28
Romania,5-14 years,male,16
Romania,5-14 years,female,4
Romania,55-74 years,male,643
Romania,35-54 years,male,996
Romania,75+ years,male,136
Romania,25-34 years,male,296
Romania,15-24 years,male,151
Romania,75+ years,female,63
Romania,55-74 years,female,188
Romania,35-54 years,female,160
Romania,25-34 years,female,36
Romania,15-24 years,female,33
Romania,5-14 years,male,18
Romania,5-14 years,female,1
Romania,55-74 years,male,596
Romania,75+ years,male,138
Romania,35-54 years,male,851
Romania,25-34 years,male,250
Romania,75+ years,female,67
Romania,15-24 years,male,136
Romania,55-74 years,female,144
Romania,35-54 years,female,159
Romania,25-34 years,female,45
Romania,15-24 years,female,24
Romania,5-14 years,male,13
Romania,5-14 years,female,7
Romania,55-74 years,male,604
Romania,75+ years,male,156
Romania,35-54 years,male,840
Romania,25-34 years,male,235
Romania,15-24 years,male,174
Romania,75+ years,female,63
Romania,55-74 years,female,175
Romania,35-54 years,female,133
Romania,25-34 years,female,38
Romania,15-24 years,female,30
Romania,5-14 years,male,17
Romania,5-14 years,female,7
Romania,55-74 years,male,646
Romania,75+ years,male,159
Romania,35-54 years,male,940
Romania,25-34 years,male,275
Romania,15-24 years,male,163
Romania,75+ years,female,53
Romania,55-74 years,female,124
Romania,35-54 years,female,131
Romania,15-24 years,female,39
Romania,25-34 years,female,32
Romania,5-14 years,male,14
Romania,5-14 years,female,10
Romania,55-74 years,male,704
Romania,35-54 years,male,995
Romania,75+ years,male,154
Romania,25-34 years,male,263
Romania,15-24 years,male,177
Romania,55-74 years,female,177
Romania,75+ years,female,59
Romania,35-54 years,female,147
Romania,15-24 years,female,38
Romania,25-34 years,female,36
Romania,5-14 years,male,11
Romania,5-14 years,female,5
Romania,55-74 years,male,668
Romania,35-54 years,male,896
Romania,75+ years,male,143
Romania,25-34 years,male,233
Romania,15-24 years,male,186
Romania,75+ years,female,62
Romania,55-74 years,female,152
Romania,35-54 years,female,117
Romania,15-24 years,female,30
Romania,25-34 years,female,30
Romania,5-14 years,male,16
Romania,5-14 years,female,3
Romania,55-74 years,male,667
Romania,35-54 years,male,903
Romania,75+ years,male,152
Romania,25-34 years,male,253
Romania,15-24 years,male,156
Romania,55-74 years,female,135
Romania,75+ years,female,42
Romania,35-54 years,female,112
Romania,25-34 years,female,32
Romania,15-24 years,female,27
Romania,5-14 years,male,11
Romania,5-14 years,female,5
Romania,55-74 years,male,676
Romania,35-54 years,male,830
Romania,75+ years,male,158
Romania,25-34 years,male,237
Romania,15-24 years,male,134
Romania,75+ years,female,53
Romania,55-74 years,female,135
Romania,35-54 years,female,119
Romania,25-34 years,female,29
Romania,15-24 years,female,22
Romania,5-14 years,male,8
Romania,5-14 years,female,6
Romania,55-74 years,male,644
Romania,75+ years,male,172
Romania,35-54 years,male,705
Romania,25-34 years,male,230
Romania,15-24 years,male,125
Romania,75+ years,female,58
Romania,55-74 years,female,138
Romania,35-54 years,female,91
Romania,25-34 years,female,18
Romania,15-24 years,female,14
Romania,5-14 years,male,11
Romania,5-14 years,female,3
Romania,75+ years,male,189
Romania,55-74 years,male,631
Romania,35-54 years,male,734
Romania,25-34 years,male,198
Romania,15-24 years,male,123
Romania,75+ years,female,66
Romania,55-74 years,female,129
Romania,35-54 years,female,104
Romania,25-34 years,female,24
Romania,15-24 years,female,15
Romania,5-14 years,male,11
Romania,5-14 years,female,4
Romania,55-74 years,male,615
Romania,75+ years,male,171
Romania,35-54 years,male,632
Romania,25-34 years,male,134
Romania,15-24 years,male,91
Romania,75+ years,female,61
Romania,55-74 years,female,112
Romania,35-54 years,female,96
Romania,25-34 years,female,27
Romania,15-24 years,female,14
