country,age,sex,suicides_no
Russian Federation,75+ years,male,1393
Russian Federation,35-54 years,male,12030
Russian Federation,55-74 years,male,6250
Russian Federation,25-34 years,male,6856
Russian Federation,75+ years,female,1677
Russian Federation,15-24 years,male,2581
Russian Federation,55-74 years,female,3042
Russian Federation,35-54 years,female,2326
Russian Federation,25-34 years,female,827
Russian Federation,15-24 years,female,628
Russian Federation,5-14 years,male,263
Russian Federation,5-14 years,female,48
Russian Federation,75+ years,male,1366
Russian Federation,35-54 years,male,12517
Russian Federation,55-74 years,male,6401
Russian Federation,25-34 years,male,6868
Russian Federation,75+ years,female,1608
Russian Federation,15-24 years,male,2874
Russian Federation,55-74 years,female,3064
Russian Federation,35-54 years,female,2467
Russian Federation,25-34 years,female,910
Russian Federation,15-24 years,female,641
Russian Federation,5-14 years,male,260
Russian Federation,5-14 years,female,52
Russian Federation,75+ years,male,1326
Russian Federation,35-54 years,male,12746
Russian Federation,55-74 years,male,6566
Russian Federation,25-34 years,male,6901
Russian Federation,75+ years,female,1510
Russian Federation,15-24 years,male,2984
Russian Federation,55-74 years,female,2926
Russian Federation,35-54 years,female,2429
Russian Federation,25-34 years,female,888
Russian Federation,15-24 years,female,642
Russian Federation,5-14 years,male,298
Russian Federation,5-14 years,female,65
Russian Federation,75+ years,male,1233
Russian Federation,35-54 years,male,15824
Russian Federation,55-74 years,male,8014
Russian Federation,25-34 years,male,7958
Russian Federation,15-24 years,male,3447
Russian Federation,75+ years,female,1458
Russian Federation,55-74 years,female,3133
Russian Federation,35-54 years,female,2768
Russian Federation,25-34 years,female,990
Russian Federation,15-24 years,female,704
Russian Federation,5-14 years,male,318
Russian Federation,5-14 years,female,76
Russian Federation,35-54 years,male,20256
Russian Federation,75+ years,male,1364
Russian Federation,55-74 years,male,10118
Russian Federation,25-34 years,male,9328
Russian Federation,15-24 years,male,4347
Russian Federation,75+ years,female,1468
Russian Federation,55-74 years,female,3433
Russian Federation,35-54 years,female,3163
Russian Federation,25-34 years,female,1154
Russian Federation,15-24 years,female,785
Russian Federation,5-14 years,male,337
Russian Federation,5-14 years,female,93
Russian Federation,35-54 years,male,22338
Russian Federation,75+ years,male,1412
Russian Federation,55-74 years,male,11431
Russian Federation,25-34 years,male,10310
Russian Federation,15-24 years,male,5177
Russian Federation,75+ years,female,1454
Russian Federation,55-74 years,female,3489
Russian Federation,35-54 years,female,3257
Russian Federation,25-34 years,female,1198
Russian Federation,15-24 years,female,915
Russian Federation,5-14 years,male,364
Russian Federation,5-14 years,female,75
Russian Federation,35-54 years,male,21706
Russian Federation,55-74 years,male,11152
Russian Federation,75+ years,male,1182
Russian Federation,25-34 years,male,9787
Russian Federation,15-24 years,male,5733
Russian Federation,75+ years,female,1546
Russian Federation,55-74 years,female,3499
Russian Federation,35-54 years,female,3328
Russian Federation,25-34 years,female,1179
Russian Federation,15-24 years,female,1003
Russian Federation,5-14 years,male,355
Russian Federation,5-14 years,female,78
Russian Federation,35-54 years,male,20562
Russian Federation,75+ years,male,1192
Russian Federation,55-74 years,male,10754
Russian Federation,25-34 years,male,9214
Russian Federation,15-24 years,male,5784
Russian Federation,75+ years,female,1418
Russian Federation,55-74 years,female,3205
Russian Federation,35-54 years,female,2953
Russian Federation,25-34 years,female,1127
Russian Federation,15-24 years,female,904
Russian Federation,5-14 years,male,320
Russian Federation,5-14 years,female,78
Russian Federation,75+ years,male,1205
Russian Federation,35-54 years,male,18973
Russian Federation,55-74 years,male,10726
Russian Federation,25-34 years,male,8222
Russian Federation,15-24 years,male,5780
Russian Federation,75+ years,female,1424
Russian Federation,55-74 years,female,3180
Russian Federation,35-54 years,female,2819
Russian Federation,25-34 years,female,1050
Russian Federation,15-24 years,female,945
Russian Federation,5-14 years,male,346
Russian Federation,5-14 years,female,76
Russian Federation,35-54 years,male,18058
Russian Federation,75+ years,male,1110
Russian Federation,55-74 years,male,9683
