country,age,sex,suicides_no
Saint Kitts and Nevis,15-24 years,female,0
Saint Kitts and Nevis,25-34 years,female,0
Saint Kitts and Nevis,35-54 years,female,0
Saint Kitts and Nevis,5-14 years,female,0
Saint Kitts and Nevis,55-74 years,female,0
Saint Kitts and Nevis,75+ years,female,0
Saint Kitts and Nevis,15-24 years,male,0
Saint Kitts and Nevis,25-34 years,male,0
Saint Kitts and Nevis,35-54 years,male,0
Saint Kitts and Nevis,5-14 years,male,0
Saint Kitts and Nevis,55-74 years,male,0
Saint Kitts and Nevis,75+ years,male,0
Saint Kitts and Nevis,15-24 years,female,0
Saint Kitts and Nevis,25-34 years,female,0
Saint Kitts and Nevis,35-54 years,female,0
Saint Kitts and Nevis,5-14 years,female,0
Saint Kitts and Nevis,55-74 years,female,0
Saint Kitts and Nevis,75+ years,female,0
Saint Kitts and Nevis,15-24 years,male,0
Saint Kitts and Nevis,25-34 years,male,0
Saint Kitts and Nevis,35-54 years,male,0
Saint Kitts and Nevis,5-14 years,male,0
Saint Kitts and Nevis,55-74 years,male,0
Saint Kitts and Nevis,75+ years,male,0
Saint Kitts and Nevis,15-24 years,female,0
Saint Kitts and Nevis,25-34 years,female,0
Saint Kitts and Nevis,35-54 years,female,0
Saint Kitts and Nevis,5-14 years,female,0
Saint Kitts and Nevis,55-74 years,female,0
Saint Kitts and Nevis,75+ years,female,0
Saint Kitts and Nevis,15-24 years,male,0
Saint Kitts and Nevis,25-34 years,male,0
Saint Kitts and Nevis,35-54 years,male,0
Saint Kitts and Nevis,5-14 years,male,0
Saint Kitts and Nevis,55-74 years,male,0
Saint Kitts and Nevis,75+ years,male,0
