country,age,sex,suicides_no
Saint Lucia,35-54 years,male,3
Saint Lucia,25-34 years,male,2
Saint Lucia,15-24 years,female,0
Saint Lucia,25-34 years,female,0
Saint Lucia,35-54 years,female,0
Saint Lucia,5-14 years,female,0
Saint Lucia,55-74 years,female,0
Saint Lucia,75+ years,female,0
Saint Lucia,15-24 years,male,0
Saint Lucia,5-14 years,male,0
Saint Lucia,55-74 years,male,0
Saint Lucia,75+ years,male,0
Saint Lucia,55-74 years,male,3
Saint Lucia,25-34 years,male,3
Saint Lucia,35-54 years,male,2
Saint Lucia,15-24 years,male,2
Saint Lucia,25-34 years,female,1
Saint Lucia,15-24 years,female,0
Saint Lucia,35-54 years,female,0
Saint Lucia,5-14 years,female,0
Saint Lucia,55-74 years,female,0
Saint Lucia,75+ years,female,0
Saint Lucia,5-14 years,male,0
Saint Lucia,75+ years,male,0
Saint Lucia,75+ years,female,1
Saint Lucia,55-74 years,male,2
Saint Lucia,55-74 years,female,2
Saint Lucia,35-54 years,male,2
Saint Lucia,25-34 years,male,1
Saint Lucia,15-24 years,male,1
Saint Lucia,5-14 years,female,1
Saint Lucia,15-24 years,female,0
Saint Lucia,25-34 years,female,0
Saint Lucia,35-54 years,female,0
Saint Lucia,5-14 years,male,0
Saint Lucia,75+ years,male,0
Saint Lucia,55-74 years,male,2
Saint Lucia,55-74 years,female,1
Saint Lucia,25-34 years,male,1
Saint Lucia,25-34 years,female,1
Saint Lucia,35-54 years,male,1
Saint Lucia,15-24 years,male,1
Saint Lucia,15-24 years,female,1
Saint Lucia,35-54 years,female,0
Saint Lucia,5-14 years,female,0
Saint Lucia,75+ years,female,0
Saint Lucia,5-14 years,male,0
Saint Lucia,75+ years,male,0
Saint Lucia,25-34 years,male,1
Saint Lucia,25-34 years,female,1
Saint Lucia,15-24 years,male,1
Saint Lucia,15-24 years,female,0
Saint Lucia,35-54 years,female,0
Saint Lucia,5-14 years,female,0
Saint Lucia,55-74 years,female,0
Saint Lucia,75+ years,female,0
Saint Lucia,35-54 years,male,0
Saint Lucia,5-14 years,male,0
Saint Lucia,55-74 years,male,0
Saint Lucia,75+ years,male,0
Saint Lucia,75+ years,male,1
Saint Lucia,25-34 years,male,2
Saint Lucia,35-54 years,male,2
Saint Lucia,15-24 years,male,1
Saint Lucia,15-24 years,female,0
Saint Lucia,25-34 years,female,0
Saint Lucia,35-54 years,female,0
Saint Lucia,5-14 years,female,0
Saint Lucia,55-74 years,female,0
Saint Lucia,75+ years,female,0
Saint Lucia,5-14 years,male,0
Saint Lucia,55-74 years,male,0
Saint Lucia,35-54 years,male,7
Saint Lucia,15-24 years,male,3
Saint Lucia,55-74 years,male,1
Saint Lucia,15-24 years,female,0
Saint Lucia,25-34 years,female,0
Saint Lucia,35-54 years,female,0
Saint Lucia,5-14 years,female,0
Saint Lucia,55-74 years,female,0
Saint Lucia,75+ years,female,0
Saint Lucia,25-34 years,male,0
Saint Lucia,5-14 years,male,0
Saint Lucia,75+ years,male,0
Saint Lucia,35-54 years,male,5
Saint Lucia,25-34 years,male,2
Saint Lucia,55-74 years,male,1
Saint Lucia,15-24 years,female,0
Saint Lucia,25-34 years,female,0
Saint Lucia,35-54 years,female,0
Saint Lucia,5-14 years,female,0
Saint Lucia,55-74 years,female,0
Saint Lucia,75+ years,female,0
Saint Lucia,15-24 years,male,0
Saint Lucia,5-14 years,male,0
Saint Lucia,75+ years,male,0
Saint Lucia,35-54 years,male,2
Saint Lucia,15-24 years,male,2
Saint Lucia,15-24 years,female,2
Saint Lucia,25-34 years,female,0
Saint Lucia,35-54 years,female,0
Saint Lucia,5-14 years,female,0
Saint Lucia,55-74 years,female,0
Saint Lucia,75+ years,female,0
Saint Lucia,25-34 years,male,0
Saint Lucia,5-14 years,male,0
