country,age,sex,suicides_no
San Marino,55-74 years,male,1
San Marino,35-54 years,male,1
San Marino,15-24 years,female,0
San Marino,25-34 years,female,0
San Marino,35-54 years,female,0
San Marino,5-14 years,female,0
San Marino,55-74 years,female,0
San Marino,75+ years,female,0
San Marino,15-24 years,male,0
San Marino,25-34 years,male,0
San Marino,5-14 years,male,0
San Marino,75+ years,male,0
San Marino,25-34 years,male,1
San Marino,15-24 years,female,0
San Marino,25-34 years,female,0
San Marino,35-54 years,female,0
San Marino,5-14 years,female,0
San Marino,55-74 years,female,0
San Marino,75+ years,female,0
San Marino,15-24 years,male,0
San Marino,35-54 years,male,0
San Marino,5-14 years,male,0
San Marino,55-74 years,male,0
San Marino,75+ years,male,0
San Marino,55-74 years,male,1
San Marino,15-24 years,female,0
San Marino,25-34 years,female,0
San Marino,35-54 years,female,0
San Marino,5-14 years,female,0
San Marino,55-74 years,female,0
San Marino,75+ years,female,0
San Marino,15-24 years,male,0
San Marino,25-34 years,male,0
San Marino,35-54 years,male,0
San Marino,5-14 years,male,0
San Marino,75+ years,male,0
