country,age,sex,suicides_no
Serbia,75+ years,male,147
Serbia,55-74 years,male,382
Serbia,75+ years,female,70
Serbia,35-54 years,male,308
Serbia,25-34 years,male,107
Serbia,55-74 years,female,197
Serbia,15-24 years,male,68
Serbia,35-54 years,female,130
Serbia,25-34 years,female,26
Serbia,15-24 years,female,21
Serbia,5-14 years,male,3
Serbia,5-14 years,female,1
Serbia,75+ years,male,168
Serbia,75+ years,female,119
Serbia,55-74 years,male,413
Serbia,35-54 years,male,340
Serbia,55-74 years,female,201
Serbia,25-34 years,male,82
Serbia,15-24 years,male,85
Serbia,35-54 years,female,97
Serbia,25-34 years,female,31
Serbia,15-24 years,female,29
Serbia,5-14 years,female,3
Serbia,5-14 years,male,3
Serbia,75+ years,male,162
Serbia,55-74 years,male,417
Serbia,75+ years,female,97
Serbia,35-54 years,male,304
Serbia,55-74 years,female,228
Serbia,25-34 years,male,98
Serbia,15-24 years,male,83
Serbia,35-54 years,female,97
Serbia,25-34 years,female,31
Serbia,15-24 years,female,17
Serbia,5-14 years,male,5
Serbia,5-14 years,female,4
Serbia,75+ years,male,163
Serbia,55-74 years,male,366
Serbia,75+ years,female,85
Serbia,35-54 years,male,329
Serbia,25-34 years,male,92
Serbia,55-74 years,female,173
Serbia,15-24 years,male,71
Serbia,35-54 years,female,126
Serbia,25-34 years,female,21
Serbia,15-24 years,female,12
Serbia,5-14 years,male,4
Serbia,5-14 years,female,0
Serbia,75+ years,male,165
Serbia,55-74 years,male,410
Serbia,75+ years,female,96
Serbia,35-54 years,male,309
Serbia,25-34 years,male,94
Serbia,55-74 years,female,169
Serbia,15-24 years,male,69
Serbia,35-54 years,female,94
Serbia,25-34 years,female,23
Serbia,15-24 years,female,13
Serbia,5-14 years,male,4
Serbia,5-14 years,female,0
Serbia,75+ years,male,158
Serbia,55-74 years,male,344
Serbia,75+ years,female,85
Serbia,35-54 years,male,342
Serbia,25-34 years,male,89
Serbia,55-74 years,female,155
Serbia,15-24 years,male,64
Serbia,35-54 years,female,103
Serbia,25-34 years,female,22
Serbia,15-24 years,female,16
Serbia,5-14 years,female,0
Serbia,5-14 years,male,0
Serbia,75+ years,male,176
Serbia,55-74 years,male,376
Serbia,35-54 years,male,296
Serbia,75+ years,female,64
Serbia,55-74 years,female,158
Serbia,25-34 years,male,74
Serbia,15-24 years,male,55
Serbia,35-54 years,female,117
Serbia,25-34 years,female,20
Serbia,15-24 years,female,8
Serbia,5-14 years,male,1
Serbia,5-14 years,female,0
Serbia,75+ years,male,195
Serbia,55-74 years,male,382
Serbia,75+ years,female,103
Serbia,35-54 years,male,295
Serbia,55-74 years,female,172
Serbia,25-34 years,male,86
Serbia,35-54 years,female,114
Serbia,15-24 years,male,45
Serbia,25-34 years,female,30
Serbia,15-24 years,female,12
Serbia,5-14 years,male,3
Serbia,5-14 years,female,0
Serbia,75+ years,male,196
Serbia,55-74 years,male,366
Serbia,75+ years,female,122
Serbia,35-54 years,male,312
Serbia,25-34 years,male,93
Serbia,55-74 years,female,158
Serbia,15-24 years,male,52
Serbia,35-54 years,female,103
Serbia,25-34 years,female,25
Serbia,15-24 years,female,14
Serbia,5-14 years,male,2
Serbia,5-14 years,female,0
Serbia,75+ years,male,180
Serbia,55-74 years,male,368
Serbia,75+ years,female,90
Serbia,35-54 years,male,272
Serbia,55-74 years,female,169
Serbia,25-34 years,male,88
Serbia,15-24 years,male,60
Serbia,35-54 years,female,92
Serbia,25-34 years,female,22
Serbia,15-24 years,female,12
Serbia,5-14 years,female,0
Serbia,5-14 years,male,0
Serbia,75+ years,male,175
Serbia,55-74 years,male,296
Serbia,35-54 years,male,296
Serbia,75+ years,female,91
Serbia,25-34 years,male,95
Serbia,55-74 years,female,153
Serbia,35-54 years,female,105
Serbia,15-24 years,male,41
Serbia,25-34 years,female,23
Serbia,15-24 years,female,14
Serbia,5-14 years,female,0
Serbia,5-14 years,male,0
Serbia,75+ years,male,204
Serbia,55-74 years,male,341
Serbia,35-54 years,male,328
Serbia,75+ years,female,92
Serbia,25-34 years,male,85
Serbia,55-74 years,female,145
Serbia,35-54 years,female,102
Serbia,15-24 years,male,38
Serbia,25-34 years,female,29
Serbia,15-24 years,female,8
Serbia,5-14 years,male,1
Serbia,5-14 years,female,0
Serbia,75+ years,male,204
Serbia,55-74 years,male,341
Serbia,75+ years,female,88
Serbia,35-54 years,male,252
Serbia,25-34 years,male,77
Serbia,55-74 years,female,128
Serbia,15-24 years,male,29
Serbia,35-54 years,female,64
Serbia,25-34 years,female,18
Serbia,15-24 years,female,6
Serbia,5-14 years,female,0
Serbia,5-14 years,male,0
Serbia,75+ years,male,211
Serbia,55-74 years,male,316
Serbia,75+ years,female,95
Serbia,35-54 years,male,276
Serbia,25-34 years,male,77
Serbia,55-74 years,female,142
Serbia,35-54 years,female,77
Serbia,15-24 years,male,28
Serbia,25-34 years,female,21
Serbia,15-24 years,female,11
Serbia,5-14 years,female,1
Serbia,5-14 years,male,1
Serbia,75+ years,male,199
Serbia,55-74 years,male,342
Serbia,35-54 years,male,272
Serbia,75+ years,female,85
Serbia,25-34 years,male,85
Serbia,55-74 years,female,128
Serbia,15-24 years,male,33
Serbia,35-54 years,female,72
Serbia,25-34 years,female,17
Serbia,15-24 years,female,9
Serbia,5-14 years,male,1
Serbia,5-14 years,female,0
Serbia,75+ years,male,185
Serbia,55-74 years,male,338
Serbia,35-54 years,male,275
Serbia,75+ years,female,62
Serbia,25-34 years,male,73
Serbia,55-74 years,female,126
Serbia,35-54 years,female,82
Serbia,15-24 years,male,29
Serbia,25-34 years,female,24
Serbia,15-24 years,female,2
Serbia,5-14 years,male,1
Serbia,5-14 years,female,0
Serbia,75+ years,male,190
Serbia,55-74 years,male,343
Serbia,75+ years,female,86
Serbia,35-54 years,male,219
Serbia,25-34 years,male,73
Serbia,55-74 years,female,103
Serbia,15-24 years,male,32
Serbia,35-54 years,female,63
Serbia,25-34 years,female,21
Serbia,15-24 years,female,4
Serbia,5-14 years,female,0
Serbia,5-14 years,male,0
Serbia,75+ years,male,189
Serbia,55-74 years,male,286
Serbia,35-54 years,male,219
Serbia,75+ years,female,77
Serbia,25-34 years,male,70
Serbia,55-74 years,female,98
Serbia,15-24 years,male,27
Serbia,35-54 years,female,65
Serbia,25-34 years,female,21
Serbia,15-24 years,female,7
Serbia,5-14 years,male,2
Serbia,5-14 years,female,1
