country,age,sex,suicides_no
Seychelles,35-54 years,male,3
Seychelles,15-24 years,male,3
Seychelles,55-74 years,male,1
Seychelles,15-24 years,female,1
Seychelles,25-34 years,female,0
Seychelles,35-54 years,female,0
Seychelles,5-14 years,female,0
Seychelles,55-74 years,female,0
Seychelles,75+ years,female,0
Seychelles,25-34 years,male,0
Seychelles,5-14 years,male,0
Seychelles,75+ years,male,0
Seychelles,35-54 years,male,1
Seychelles,15-24 years,female,0
Seychelles,25-34 years,female,0
Seychelles,35-54 years,female,0
Seychelles,5-14 years,female,0
Seychelles,55-74 years,female,0
Seychelles,75+ years,female,0
Seychelles,15-24 years,male,0
Seychelles,25-34 years,male,0
Seychelles,5-14 years,male,0
Seychelles,55-74 years,male,0
Seychelles,75+ years,male,0
Seychelles,35-54 years,male,2
Seychelles,25-34 years,male,1
Seychelles,15-24 years,female,0
Seychelles,25-34 years,female,0
Seychelles,35-54 years,female,0
Seychelles,5-14 years,female,0
Seychelles,55-74 years,female,0
Seychelles,75+ years,female,0
Seychelles,15-24 years,male,0
Seychelles,5-14 years,male,0
Seychelles,55-74 years,male,0
Seychelles,75+ years,male,0
Seychelles,25-34 years,male,2
Seychelles,55-74 years,male,1
Seychelles,35-54 years,male,2
Seychelles,35-54 years,female,1
Seychelles,15-24 years,female,0
Seychelles,25-34 years,female,0
Seychelles,5-14 years,female,0
Seychelles,55-74 years,female,0
Seychelles,75+ years,female,0
Seychelles,15-24 years,male,0
Seychelles,5-14 years,male,0
Seychelles,75+ years,male,0
Seychelles,75+ years,male,1
Seychelles,25-34 years,male,2
Seychelles,15-24 years,male,1
Seychelles,35-54 years,male,1
Seychelles,15-24 years,female,0
Seychelles,25-34 years,female,0
Seychelles,35-54 years,female,0
Seychelles,5-14 years,female,0
Seychelles,55-74 years,female,0
Seychelles,75+ years,female,0
Seychelles,5-14 years,male,0
Seychelles,55-74 years,male,0
Seychelles,55-74 years,male,1
Seychelles,35-54 years,male,3
Seychelles,35-54 years,female,2
Seychelles,25-34 years,male,1
Seychelles,15-24 years,male,1
Seychelles,15-24 years,female,0
Seychelles,25-34 years,female,0
Seychelles,5-14 years,female,0
Seychelles,55-74 years,female,0
Seychelles,75+ years,female,0
Seychelles,5-14 years,male,0
Seychelles,75+ years,male,0
Seychelles,35-54 years,male,3
Seychelles,25-34 years,male,2
Seychelles,15-24 years,male,1
Seychelles,15-24 years,female,0
Seychelles,25-34 years,female,0
Seychelles,35-54 years,female,0
Seychelles,5-14 years,female,0
Seychelles,55-74 years,female,0
Seychelles,75+ years,female,0
Seychelles,5-14 years,male,0
Seychelles,55-74 years,male,0
Seychelles,75+ years,male,0
Seychelles,55-74 years,male,1
Seychelles,35-54 years,male,2
Seychelles,5-14 years,female,1
Seychelles,15-24 years,male,1
Seychelles,15-24 years,female,0
Seychelles,25-34 years,female,0
Seychelles,35-54 years,female,0
Seychelles,55-74 years,female,0
Seychelles,75+ years,female,0
Seychelles,25-34 years,male,0
Seychelles,5-14 years,male,0
Seychelles,75+ years,male,0
Seychelles,75+ years,male,2
Seychelles,35-54 years,male,4
Seychelles,55-74 years,male,1
Seychelles,15-24 years,male,1
Seychelles,15-24 years,female,0
Seychelles,25-34 years,female,0
Seychelles,35-54 years,female,0
Seychelles,5-14 years,female,0
Seychelles,55-74 years,female,0
Seychelles,75+ years,female,0
Seychelles,25-34 years,male,0
Seychelles,5-14 years,male,0
Seychelles,75+ years,male,1
Seychelles,35-54 years,male,3
Seychelles,25-34 years,female,1
Seychelles,25-34 years,male,1
Seychelles,15-24 years,female,0
Seychelles,35-54 years,female,0
Seychelles,5-14 years,female,0
Seychelles,55-74 years,female,0
Seychelles,75+ years,female,0
Seychelles,15-24 years,male,0
Seychelles,5-14 years,male,0
Seychelles,55-74 years,male,0
Seychelles,35-54 years,male,2
Seychelles,15-24 years,male,1
Seychelles,25-34 years,male,1
Seychelles,15-24 years,female,0
Seychelles,25-34 years,female,0
Seychelles,35-54 years,female,0
Seychelles,5-14 years,female,0
Seychelles,55-74 years,female,0
Seychelles,75+ years,female,0
Seychelles,5-14 years,male,0
Seychelles,55-74 years,male,0
Seychelles,75+ years,male,0
Seychelles,55-74 years,male,1
Seychelles,35-54 years,male,3
Seychelles,15-24 years,female,0
Seychelles,25-34 years,female,0
Seychelles,35-54 years,female,0
Seychelles,5-14 years,female,0
Seychelles,55-74 years,female,0
Seychelles,75+ years,female,0
Seychelles,15-24 years,male,0
Seychelles,25-34 years,male,0
Seychelles,5-14 years,male,0
Seychelles,75+ years,male,0
Seychelles,35-54 years,male,4
Seychelles,25-34 years,male,2
Seychelles,15-24 years,female,0
Seychelles,25-34 years,female,0
Seychelles,35-54 years,female,0
Seychelles,5-14 years,female,0
Seychelles,55-74 years,female,0
Seychelles,75+ years,female,0
Seychelles,15-24 years,male,0
Seychelles,5-14 years,male,0
Seychelles,55-74 years,male,0
Seychelles,75+ years,male,0
Seychelles,35-54 years,male,3
Seychelles,25-34 years,male,1
Seychelles,15-24 years,male,1
Seychelles,15-24 years,female,0
Seychelles,25-34 years,female,0
Seychelles,35-54 years,female,0
Seychelles,5-14 years,female,0
Seychelles,55-74 years,female,0
Seychelles,75+ years,female,0
Seychelles,5-14 years,male,0
Seychelles,55-74 years,male,0
Seychelles,75+ years,male,0
Seychelles,55-74 years,male,1
Seychelles,35-54 years,male,2
Seychelles,15-24 years,female,0
Seychelles,25-34 years,female,0
Seychelles,35-54 years,female,0
Seychelles,5-14 years,female,0
Seychelles,55-74 years,female,0
Seychelles,75+ years,female,0
Seychelles,15-24 years,male,0
Seychelles,25-34 years,male,0
Seychelles,5-14 years,male,0
Seychelles,75+ years,male,0
Seychelles,55-74 years,male,4
Seychelles,25-34 years,male,3
Seychelles,15-24 years,male,1
Seychelles,35-54 years,male,1
Seychelles,15-24 years,female,0
Seychelles,25-34 years,female,0
Seychelles,35-54 years,female,0
Seychelles,5-14 years,female,0
Seychelles,55-74 years,female,0
Seychelles,75+ years,female,0
Seychelles,5-14 years,male,0
Seychelles,75+ years,male,0
Seychelles,15-24 years,male,1
Seychelles,25-34 years,female,1
Seychelles,35-54 years,male,1
Seychelles,35-54 years,female,1
Seychelles,15-24 years,female,0
Seychelles,5-14 years,female,0
Seychelles,55-74 years,female,0
Seychelles,75+ years,female,0
Seychelles,25-34 years,male,0
Seychelles,5-14 years,male,0
Seychelles,55-74 years,male,0
Seychelles,75+ years,male,0
Seychelles,35-54 years,male,3
Seychelles,15-24 years,female,1
Seychelles,15-24 years,male,1
Seychelles,55-74 years,male,1
Seychelles,25-34 years,male,1
Seychelles,25-34 years,female,0
Seychelles,35-54 years,female,0
Seychelles,5-14 years,female,0
Seychelles,55-74 years,female,0
Seychelles,75+ years,female,0
Seychelles,5-14 years,male,0
Seychelles,75+ years,male,0
