country,generation,age,suicides_no
Albania,Silent,35-54 years,16
Albania,Silent,35-54 years,6
Albania,Silent,35-54 years,14
Albania,Silent,35-54 years,4
Albania,Silent,35-54 years,15
Albania,Silent,35-54 years,7
Albania,Silent,55-74 years,5
Albania,Silent,55-74 years,1
Albania,Silent,55-74 years,7
Albania,Silent,55-74 years,2
Albania,Silent,55-74 years,11
Albania,Silent,55-74 years,1
Albania,Silent,55-74 years,9
Albania,Silent,55-74 years,2
Albania,Silent,55-74 years,3
Albania,Silent,55-74 years,1
Albania,Silent,55-74 years,12
Albania,Silent,55-74 years,0
Albania,Silent,55-74 years,9
Albania,Silent,55-74 years,6
Albania,Silent,55-74 years,14
Albania,Silent,55-74 years,6
Albania,Silent,55-74 years,10
Albania,Silent,55-74 years,0
Albania,Silent,55-74 years,11
Albania,Silent,75+ years,2
Albania,Silent,75+ years,1
Albania,Silent,55-74 years,6
Albania,Silent,75+ years,4
Albania,Silent,55-74 years,13
Albania,Silent,75+ years,1
Albania,Silent,55-74 years,4
Albania,Silent,75+ years,6
Albania,Silent,55-74 years,16
Albania,Silent,55-74 years,9
Albania,Silent,75+ years,1
Albania,Silent,75+ years,4
Albania,Silent,75+ years,3
Albania,Silent,55-74 years,10
Albania,Silent,55-74 years,3
Albania,Silent,55-74 years,0
Albania,Silent,75+ years,0
Albania,Silent,55-74 years,0
Albania,Silent,75+ years,0
Albania,Silent,55-74 years,0
Albania,Silent,75+ years,0
Albania,Silent,55-74 years,0
Albania,Silent,75+ years,0
Albania,Silent,75+ years,8
Albania,Silent,55-74 years,14
Albania,Silent,75+ years,3
Albania,Silent,55-74 years,9
Albania,Silent,55-74 years,21
Albania,Silent,75+ years,5
Albania,Silent,75+ years,2
Albania,Silent,55-74 years,7
Albania,Silent,55-74 years,0
Albania,Silent,75+ years,0
Albania,Silent,55-74 years,0
Albania,Silent,75+ years,0
Albania,Silent,55-74 years,20
Albania,Silent,75+ years,2
Albania,Silent,75+ years,2
Albania,Silent,55-74 years,7
Antigua and Barbuda,Silent,35-54 years,0
