country,age,sex,suicides_no
Singapore,75+ years,male,23
Singapore,75+ years,female,19
Singapore,55-74 years,male,39
Singapore,55-74 years,female,25
Singapore,25-34 years,male,52
Singapore,35-54 years,male,49
Singapore,25-34 years,female,35
Singapore,15-24 years,male,27
Singapore,15-24 years,female,25
Singapore,35-54 years,female,27
Singapore,5-14 years,female,3
Singapore,5-14 years,male,0
Singapore,75+ years,female,30
Singapore,75+ years,male,14
Singapore,55-74 years,male,44
Singapore,35-54 years,male,54
Singapore,25-34 years,male,46
Singapore,55-74 years,female,20
Singapore,25-34 years,female,35
Singapore,15-24 years,male,31
Singapore,35-54 years,female,34
Singapore,15-24 years,female,16
Singapore,5-14 years,male,2
Singapore,5-14 years,female,0
Singapore,75+ years,male,17
Singapore,75+ years,female,16
Singapore,55-74 years,male,42
Singapore,55-74 years,female,29
Singapore,25-34 years,male,48
Singapore,35-54 years,male,43
Singapore,25-34 years,female,36
Singapore,35-54 years,female,33
Singapore,15-24 years,male,21
Singapore,15-24 years,female,16
Singapore,5-14 years,female,0
Singapore,5-14 years,male,0
Singapore,75+ years,male,30
Singapore,75+ years,female,27
Singapore,55-74 years,male,43
Singapore,35-54 years,male,63
Singapore,25-34 years,male,52
Singapore,55-74 years,female,23
Singapore,15-24 years,male,31
Singapore,25-34 years,female,33
Singapore,15-24 years,female,25
Singapore,35-54 years,female,34
Singapore,5-14 years,female,4
Singapore,5-14 years,male,1
Singapore,75+ years,male,25
Singapore,75+ years,female,33
Singapore,55-74 years,male,41
Singapore,55-74 years,female,33
Singapore,35-54 years,male,65
Singapore,25-34 years,male,50
Singapore,15-24 years,female,35
Singapore,25-34 years,female,38
Singapore,15-24 years,male,32
Singapore,35-54 years,female,40
Singapore,5-14 years,male,2
Singapore,5-14 years,female,0
Singapore,75+ years,male,19
Singapore,75+ years,female,23
Singapore,55-74 years,male,39
Singapore,55-74 years,female,27
Singapore,35-54 years,male,63
Singapore,25-34 years,male,47
Singapore,25-34 years,female,43
Singapore,15-24 years,male,31
Singapore,35-54 years,female,42
Singapore,15-24 years,female,17
Singapore,5-14 years,male,2
Singapore,5-14 years,female,1
Singapore,75+ years,male,16
Singapore,75+ years,female,21
Singapore,55-74 years,male,38
Singapore,55-74 years,female,25
Singapore,25-34 years,male,44
Singapore,35-54 years,male,54
Singapore,15-24 years,male,25
Singapore,25-34 years,female,28
Singapore,15-24 years,female,16
Singapore,35-54 years,female,25
Singapore,5-14 years,female,4
Singapore,5-14 years,male,0
Singapore,75+ years,male,15
Singapore,75+ years,female,20
Singapore,55-74 years,male,26
Singapore,55-74 years,female,27
Singapore,25-34 years,male,43
Singapore,35-54 years,male,53
Singapore,25-34 years,female,28
Singapore,15-24 years,male,21
Singapore,35-54 years,female,32
Singapore,15-24 years,female,9
Singapore,5-14 years,male,2
Singapore,5-14 years,female,1
Singapore,75+ years,male,26
Singapore,75+ years,female,20
Singapore,55-74 years,male,31
Singapore,35-54 years,male,56
Singapore,55-74 years,female,21
Singapore,25-34 years,male,36
Singapore,15-24 years,male,19
Singapore,35-54 years,female,28
Singapore,25-34 years,female,19
Singapore,15-24 years,female,13
Singapore,5-14 years,female,1
Singapore,5-14 years,male,0
Singapore,75+ years,male,24
Singapore,75+ years,female,23
Singapore,55-74 years,male,37
Singapore,55-74 years,female,26
Singapore,35-54 years,male,69
Singapore,25-34 years,male,35
Singapore,15-24 years,male,24
Singapore,35-54 years,female,39
Singapore,15-24 years,female,19
Singapore,25-34 years,female,17
Singapore,5-14 years,female,2
Singapore,5-14 years,male,1
Singapore,75+ years,male,32
Singapore,75+ years,female,24
Singapore,55-74 years,male,46
Singapore,35-54 years,male,92
Singapore,55-74 years,female,28
Singapore,35-54 years,female,50
Singapore,25-34 years,male,31
Singapore,15-24 years,male,23
Singapore,15-24 years,female,16
Singapore,25-34 years,female,20
Singapore,5-14 years,male,2
Singapore,5-14 years,female,0
Singapore,75+ years,male,26
Singapore,75+ years,female,21
Singapore,55-74 years,male,21
Singapore,25-34 years,male,34
Singapore,35-54 years,male,50
Singapore,55-74 years,female,19
Singapore,15-24 years,male,20
Singapore,25-34 years,female,17
Singapore,35-54 years,female,21
Singapore,15-24 years,female,6
Singapore,5-14 years,female,3
Singapore,5-14 years,male,1
Singapore,75+ years,male,24
Singapore,75+ years,female,15
Singapore,55-74 years,male,36
Singapore,25-34 years,male,44
Singapore,35-54 years,male,74
Singapore,25-34 years,female,29
Singapore,55-74 years,female,18
Singapore,35-54 years,female,34
Singapore,15-24 years,male,15
Singapore,15-24 years,female,10
Singapore,5-14 years,male,3
Singapore,5-14 years,female,1
Singapore,75+ years,male,20
Singapore,75+ years,female,20
Singapore,55-74 years,male,45
Singapore,55-74 years,female,35
Singapore,25-34 years,male,41
Singapore,35-54 years,male,69
Singapore,15-24 years,male,22
Singapore,25-34 years,female,24
Singapore,15-24 years,female,15
Singapore,35-54 years,female,34
Singapore,5-14 years,male,3
Singapore,5-14 years,female,0
Singapore,75+ years,male,21
Singapore,55-74 years,male,43
Singapore,75+ years,female,8
Singapore,35-54 years,male,75
Singapore,25-34 years,male,31
Singapore,55-74 years,female,16
Singapore,35-54 years,female,39
Singapore,15-24 years,male,15
Singapore,25-34 years,female,16
Singapore,15-24 years,female,8
Singapore,5-14 years,female,3
Singapore,5-14 years,male,2
Singapore,75+ years,male,16
Singapore,55-74 years,male,48
Singapore,75+ years,female,11
Singapore,35-54 years,male,87
Singapore,25-34 years,male,34
Singapore,35-54 years,female,44
Singapore,55-74 years,female,16
Singapore,15-24 years,female,16
Singapore,15-24 years,male,14
Singapore,25-34 years,female,17
Singapore,5-14 years,male,5
Singapore,5-14 years,female,1
Singapore,75+ years,male,18
Singapore,75+ years,female,12
Singapore,55-74 years,male,40
Singapore,25-34 years,male,43
Singapore,35-54 years,male,65
Singapore,15-24 years,male,21
Singapore,55-74 years,female,20
Singapore,35-54 years,female,44
Singapore,15-24 years,female,16
Singapore,25-34 years,female,21
Singapore,5-14 years,male,3
Singapore,5-14 years,female,2
Singapore,75+ years,male,19
Singapore,75+ years,female,19
Singapore,55-74 years,male,33
Singapore,35-54 years,male,87
Singapore,25-34 years,male,38
Singapore,15-24 years,female,20
Singapore,35-54 years,female,52
Singapore,55-74 years,female,18
Singapore,25-34 years,female,20
Singapore,15-24 years,male,15
Singapore,5-14 years,female,0
Singapore,5-14 years,male,0
Singapore,75+ years,male,22
Singapore,75+ years,female,16
Singapore,55-74 years,male,39
Singapore,25-34 years,male,38
Singapore,35-54 years,male,76
Singapore,55-74 years,female,26
Singapore,15-24 years,male,24
Singapore,35-54 years,female,42
Singapore,25-34 years,female,20
Singapore,15-24 years,female,13
Singapore,5-14 years,female,2
Singapore,5-14 years,male,2
Singapore,75+ years,male,24
Singapore,75+ years,female,14
Singapore,55-74 years,male,46
Singapore,35-54 years,male,87
Singapore,55-74 years,female,32
Singapore,25-34 years,male,34
Singapore,35-54 years,female,52
Singapore,25-34 years,female,18
Singapore,15-24 years,male,13
Singapore,15-24 years,female,10
Singapore,5-14 years,female,4
Singapore,5-14 years,male,1
Singapore,75+ years,male,32
Singapore,55-74 years,male,56
Singapore,75+ years,female,11
Singapore,35-54 years,male,99
Singapore,25-34 years,male,37
Singapore,55-74 years,female,27
Singapore,35-54 years,female,50
Singapore,15-24 years,male,16
Singapore,15-24 years,female,13
Singapore,25-34 years,female,15
Singapore,5-14 years,female,3
Singapore,5-14 years,male,0
Singapore,75+ years,male,14
Singapore,75+ years,female,19
Singapore,55-74 years,male,58
Singapore,35-54 years,male,118
Singapore,55-74 years,female,39
Singapore,25-34 years,male,25
Singapore,35-54 years,female,55
Singapore,25-34 years,female,24
Singapore,15-24 years,male,15
Singapore,15-24 years,female,3
Singapore,5-14 years,female,1
Singapore,5-14 years,male,1
Singapore,75+ years,male,27
Singapore,75+ years,female,17
Singapore,55-74 years,male,41
Singapore,55-74 years,female,40
Singapore,35-54 years,male,77
Singapore,25-34 years,male,28
Singapore,15-24 years,male,24
Singapore,35-54 years,female,46
Singapore,25-34 years,female,18
Singapore,15-24 years,female,10
Singapore,5-14 years,female,0
Singapore,5-14 years,male,0
Singapore,75+ years,male,28
Singapore,75+ years,female,13
Singapore,55-74 years,male,49
Singapore,35-54 years,male,93
Singapore,25-34 years,male,27
Singapore,55-74 years,female,29
Singapore,35-54 years,female,45
Singapore,25-34 years,female,14
Singapore,15-24 years,female,11
Singapore,15-24 years,male,9
Singapore,5-14 years,male,1
Singapore,5-14 years,female,0
Singapore,75+ years,male,22
Singapore,75+ years,female,18
Singapore,55-74 years,male,50
Singapore,35-54 years,male,99
Singapore,25-34 years,male,41
Singapore,55-74 years,female,33
Singapore,15-24 years,male,21
Singapore,35-54 years,female,40
Singapore,15-24 years,female,11
Singapore,25-34 years,female,9
Singapore,5-14 years,female,3
Singapore,5-14 years,male,2
Singapore,75+ years,male,27
Singapore,55-74 years,male,48
Singapore,35-54 years,male,94
Singapore,75+ years,female,12
Singapore,55-74 years,female,28
Singapore,25-34 years,male,20
Singapore,35-54 years,female,34
Singapore,15-24 years,female,13
Singapore,25-34 years,female,12
Singapore,15-24 years,male,7
Singapore,5-14 years,male,1
Singapore,5-14 years,female,0
Singapore,75+ years,male,18
Singapore,55-74 years,male,68
Singapore,75+ years,female,12
Singapore,35-54 years,male,81
Singapore,55-74 years,female,42
Singapore,25-34 years,male,18
Singapore,35-54 years,female,35
Singapore,15-24 years,female,14
Singapore,15-24 years,male,12
Singapore,25-34 years,female,8
Singapore,5-14 years,female,0
Singapore,5-14 years,male,0
Singapore,75+ years,male,21
Singapore,55-74 years,male,91
Singapore,75+ years,female,15
Singapore,35-54 years,male,89
Singapore,35-54 years,female,66
Singapore,55-74 years,female,35
Singapore,25-34 years,male,22
Singapore,15-24 years,male,19
Singapore,15-24 years,female,17
Singapore,25-34 years,female,15
Singapore,5-14 years,female,1
Singapore,5-14 years,male,1
Singapore,75+ years,male,25
Singapore,55-74 years,male,84
Singapore,75+ years,female,14
Singapore,35-54 years,male,77
Singapore,15-24 years,male,30
Singapore,25-34 years,male,29
Singapore,55-74 years,female,30
Singapore,35-54 years,female,40
Singapore,15-24 years,female,15
Singapore,25-34 years,female,13
Singapore,5-14 years,female,0
Singapore,5-14 years,male,0
Singapore,75+ years,male,29
Singapore,55-74 years,male,97
Singapore,35-54 years,male,73
Singapore,25-34 years,male,30
Singapore,75+ years,female,10
Singapore,55-74 years,female,34
Singapore,15-24 years,male,20
Singapore,35-54 years,female,46
Singapore,25-34 years,female,9
Singapore,15-24 years,female,5
Singapore,5-14 years,female,1
Singapore,5-14 years,male,1
Singapore,75+ years,male,15
Singapore,55-74 years,male,73
Singapore,35-54 years,male,79
Singapore,75+ years,female,13
Singapore,25-34 years,male,30
Singapore,15-24 years,male,19
Singapore,55-74 years,female,28
Singapore,25-34 years,female,18
Singapore,15-24 years,female,15
Singapore,35-54 years,female,36
Singapore,5-14 years,male,2
Singapore,5-14 years,female,1
