country,age,sex,suicides_no
Slovakia,75+ years,male,45
Slovakia,35-54 years,male,299
Slovakia,55-74 years,male,153
Slovakia,25-34 years,male,101
Slovakia,15-24 years,male,54
Slovakia,55-74 years,female,53
Slovakia,75+ years,female,15
Slovakia,35-54 years,female,49
Slovakia,25-34 years,female,16
Slovakia,15-24 years,female,7
Slovakia,5-14 years,female,2
Slovakia,5-14 years,male,2
Slovakia,75+ years,male,38
Slovakia,35-54 years,male,304
Slovakia,55-74 years,male,133
Slovakia,25-34 years,male,93
Slovakia,15-24 years,male,52
Slovakia,75+ years,female,15
Slovakia,55-74 years,female,36
Slovakia,35-54 years,female,38
Slovakia,25-34 years,female,16
Slovakia,15-24 years,female,11
Slovakia,5-14 years,male,2
Slovakia,5-14 years,female,0
Slovakia,75+ years,male,32
Slovakia,35-54 years,male,263
Slovakia,55-74 years,male,133
Slovakia,25-34 years,male,85
Slovakia,15-24 years,male,66
Slovakia,75+ years,female,9
Slovakia,35-54 years,female,50
Slovakia,55-74 years,female,28
Slovakia,15-24 years,female,12
Slovakia,25-34 years,female,8
Slovakia,5-14 years,male,4
Slovakia,5-14 years,female,1
Slovakia,75+ years,male,37
Slovakia,55-74 years,male,144
Slovakia,35-54 years,male,271
Slovakia,25-34 years,male,94
Slovakia,15-24 years,male,58
Slovakia,55-74 years,female,39
Slovakia,35-54 years,female,47
Slovakia,75+ years,female,8
Slovakia,25-34 years,female,18
Slovakia,15-24 years,female,9
Slovakia,5-14 years,female,5
Slovakia,5-14 years,male,5
Slovakia,75+ years,male,29
Slovakia,55-74 years,male,136
Slovakia,35-54 years,male,242
Slovakia,25-34 years,male,89
Slovakia,15-24 years,male,62
Slovakia,75+ years,female,10
Slovakia,35-54 years,female,50
Slovakia,55-74 years,female,30
Slovakia,25-34 years,female,9
Slovakia,5-14 years,male,8
Slovakia,15-24 years,female,5
Slovakia,5-14 years,female,2
Slovakia,75+ years,male,32
Slovakia,35-54 years,male,259
Slovakia,55-74 years,male,116
Slovakia,25-34 years,male,70
Slovakia,15-24 years,male,46
Slovakia,75+ years,female,13
Slovakia,55-74 years,female,32
Slovakia,35-54 years,female,44
Slovakia,15-24 years,female,10
Slovakia,25-34 years,female,7
Slovakia,5-14 years,male,1
Slovakia,5-14 years,female,0
Slovakia,35-54 years,male,295
Slovakia,75+ years,male,28
Slovakia,55-74 years,male,110
Slovakia,25-34 years,male,82
Slovakia,15-24 years,male,68
Slovakia,55-74 years,female,30
Slovakia,75+ years,female,9
Slovakia,35-54 years,female,38
Slovakia,15-24 years,female,6
Slovakia,25-34 years,female,5
Slovakia,5-14 years,male,2
Slovakia,5-14 years,female,0
Slovakia,75+ years,male,34
Slovakia,55-74 years,male,143
Slovakia,35-54 years,male,283
Slovakia,25-34 years,male,67
Slovakia,15-24 years,male,58
Slovakia,55-74 years,female,30
Slovakia,75+ years,female,9
Slovakia,35-54 years,female,44
Slovakia,25-34 years,female,10
Slovakia,15-24 years,female,9
Slovakia,5-14 years,male,5
Slovakia,5-14 years,female,0
Slovakia,75+ years,male,35
Slovakia,55-74 years,male,133
Slovakia,35-54 years,male,274
Slovakia,25-34 years,male,83
Slovakia,15-24 years,male,66
Slovakia,75+ years,female,15
Slovakia,35-54 years,female,64
Slovakia,55-74 years,female,39
Slovakia,15-24 years,female,9
Slovakia,25-34 years,female,7
Slovakia,5-14 years,male,3
Slovakia,5-14 years,female,1
Slovakia,75+ years,male,35
Slovakia,35-54 years,male,275
Slovakia,55-74 years,male,113
Slovakia,25-34 years,male,93
Slovakia,15-24 years,male,61
Slovakia,75+ years,female,14
Slovakia,35-54 years,female,55
Slovakia,55-74 years,female,25
Slovakia,25-34 years,female,11
Slovakia,15-24 years,female,7
Slovakia,5-14 years,male,3
Slovakia,5-14 years,female,0
Slovakia,75+ years,male,51
Slovakia,35-54 years,male,289
Slovakia,55-74 years,male,126
Slovakia,25-34 years,male,97
Slovakia,15-24 years,male,52
Slovakia,75+ years,female,15
Slovakia,55-74 years,female,27
Slovakia,35-54 years,female,39
Slovakia,25-34 years,female,10
Slovakia,15-24 years,female,9
Slovakia,5-14 years,male,2
Slovakia,5-14 years,female,0
Slovakia,35-54 years,male,344
Slovakia,55-74 years,male,136
Slovakia,75+ years,male,30
Slovakia,25-34 years,male,83
Slovakia,15-24 years,male,52
Slovakia,55-74 years,female,34
Slovakia,35-54 years,female,48
Slovakia,75+ years,female,9
Slovakia,25-34 years,female,10
Slovakia,15-24 years,female,4
Slovakia,5-14 years,male,3
Slovakia,5-14 years,female,0
Slovakia,35-54 years,male,283
Slovakia,55-74 years,male,119
Slovakia,75+ years,male,26
Slovakia,25-34 years,male,81
Slovakia,15-24 years,male,54
Slovakia,55-74 years,female,35
Slovakia,35-54 years,female,52
Slovakia,75+ years,female,10
Slovakia,25-34 years,female,8
Slovakia,15-24 years,female,7
Slovakia,5-14 years,male,1
Slovakia,5-14 years,female,0
Slovakia,75+ years,male,40
Slovakia,35-54 years,male,269
Slovakia,55-74 years,male,130
Slovakia,25-34 years,male,88
Slovakia,15-24 years,male,57
Slovakia,75+ years,female,11
Slovakia,35-54 years,female,46
Slovakia,55-74 years,female,21
Slovakia,25-34 years,female,9
Slovakia,15-24 years,female,7
Slovakia,5-14 years,female,1
Slovakia,5-14 years,male,0
Slovakia,15-24 years,female,0
Slovakia,25-34 years,female,0
Slovakia,35-54 years,female,0
Slovakia,5-14 years,female,0
Slovakia,55-74 years,female,0
Slovakia,75+ years,female,0
Slovakia,15-24 years,male,0
Slovakia,25-34 years,male,0
Slovakia,35-54 years,male,0
Slovakia,5-14 years,male,0
Slovakia,55-74 years,male,0
Slovakia,75+ years,male,0
Slovakia,15-24 years,female,0
Slovakia,25-34 years,female,0
Slovakia,35-54 years,female,0
Slovakia,5-14 years,female,0
Slovakia,55-74 years,female,0
Slovakia,75+ years,female,0
Slovakia,15-24 years,male,0
Slovakia,25-34 years,male,0
Slovakia,35-54 years,male,0
Slovakia,5-14 years,male,0
Slovakia,55-74 years,male,0
Slovakia,75+ years,male,0
Slovakia,55-74 years,male,132
Slovakia,75+ years,male,27
Slovakia,35-54 years,male,220
Slovakia,25-34 years,male,87
Slovakia,15-24 years,male,42
Slovakia,75+ years,female,12
Slovakia,35-54 years,female,36
Slovakia,55-74 years,female,24
Slovakia,15-24 years,female,5
Slovakia,25-34 years,female,5
Slovakia,5-14 years,female,1
Slovakia,5-14 years,male,0
Slovakia,75+ years,male,35
Slovakia,55-74 years,male,161
Slovakia,35-54 years,male,242
Slovakia,25-34 years,male,65
Slovakia,15-24 years,male,40
Slovakia,55-74 years,female,22
Slovakia,35-54 years,female,21
Slovakia,75+ years,female,5
Slovakia,25-34 years,female,6
Slovakia,15-24 years,female,4
Slovakia,5-14 years,female,0
Slovakia,5-14 years,male,0
Slovakia,75+ years,male,33
Slovakia,35-54 years,male,239
Slovakia,55-74 years,male,145
Slovakia,25-34 years,male,76
Slovakia,15-24 years,male,42
Slovakia,75+ years,female,11
Slovakia,35-54 years,female,39
Slovakia,55-74 years,female,26
Slovakia,15-24 years,female,7
Slovakia,25-34 years,female,8
Slovakia,5-14 years,male,4
Slovakia,5-14 years,female,1
Slovakia,75+ years,male,33
Slovakia,55-74 years,male,144
Slovakia,35-54 years,male,205
Slovakia,25-34 years,male,74
Slovakia,15-24 years,male,41
Slovakia,55-74 years,female,31
Slovakia,35-54 years,female,30
Slovakia,75+ years,female,3
Slovakia,25-34 years,female,5
Slovakia,15-24 years,female,3
Slovakia,5-14 years,male,2
Slovakia,5-14 years,female,0
Slovakia,75+ years,male,39
Slovakia,55-74 years,male,170
Slovakia,35-54 years,male,206
Slovakia,25-34 years,male,78
Slovakia,15-24 years,male,39
Slovakia,55-74 years,female,27
Slovakia,35-54 years,female,32
Slovakia,75+ years,female,7
Slovakia,15-24 years,female,10
Slovakia,25-34 years,female,7
Slovakia,5-14 years,male,1
Slovakia,5-14 years,female,0
Slovakia,75+ years,male,41
Slovakia,55-74 years,male,163
Slovakia,35-54 years,male,177
Slovakia,25-34 years,male,60
Slovakia,15-24 years,male,30
Slovakia,55-74 years,female,34
Slovakia,75+ years,female,7
Slovakia,25-34 years,female,13
Slovakia,35-54 years,female,24
Slovakia,15-24 years,female,5
Slovakia,5-14 years,female,0
Slovakia,5-14 years,male,0
