country,age,sex,suicides_no
Slovenia,75+ years,male,27
Slovenia,55-74 years,male,126
Slovenia,35-54 years,male,174
Slovenia,25-34 years,male,54
Slovenia,15-24 years,male,51
Slovenia,75+ years,female,16
Slovenia,55-74 years,female,47
Slovenia,35-54 years,female,43
Slovenia,25-34 years,female,16
Slovenia,15-24 years,female,6
Slovenia,5-14 years,male,3
Slovenia,5-14 years,female,1
Slovenia,75+ years,male,30
Slovenia,55-74 years,male,154
Slovenia,35-54 years,male,178
Slovenia,25-34 years,male,68
Slovenia,75+ years,female,16
Slovenia,55-74 years,female,51
Slovenia,15-24 years,male,33
Slovenia,35-54 years,female,54
Slovenia,25-34 years,female,10
Slovenia,15-24 years,female,9
Slovenia,5-14 years,female,2
Slovenia,5-14 years,male,2
Slovenia,75+ years,male,31
Slovenia,55-74 years,male,138
Slovenia,35-54 years,male,192
Slovenia,25-34 years,male,69
Slovenia,15-24 years,male,40
Slovenia,75+ years,female,16
Slovenia,35-54 years,female,54
Slovenia,55-74 years,female,35
Slovenia,25-34 years,female,9
Slovenia,15-24 years,female,5
Slovenia,5-14 years,male,3
Slovenia,5-14 years,female,1
Slovenia,75+ years,male,29
Slovenia,55-74 years,male,136
Slovenia,35-54 years,male,200
Slovenia,15-24 years,male,59
Slovenia,25-34 years,male,49
Slovenia,75+ years,female,19
Slovenia,55-74 years,female,42
Slovenia,35-54 years,female,42
Slovenia,25-34 years,female,18
Slovenia,15-24 years,female,13
Slovenia,5-14 years,male,4
Slovenia,5-14 years,female,1
Slovenia,75+ years,male,31
Slovenia,55-74 years,male,135
Slovenia,35-54 years,male,184
Slovenia,25-34 years,male,64
Slovenia,55-74 years,female,54
Slovenia,15-24 years,male,35
Slovenia,75+ years,female,13
Slovenia,35-54 years,female,49
Slovenia,25-34 years,female,11
Slovenia,15-24 years,female,10
Slovenia,5-14 years,male,4
Slovenia,5-14 years,female,0
Slovenia,75+ years,male,36
Slovenia,55-74 years,male,130
Slovenia,35-54 years,male,180
Slovenia,25-34 years,male,53
Slovenia,55-74 years,female,64
Slovenia,75+ years,female,19
Slovenia,15-24 years,male,33
Slovenia,35-54 years,female,48
Slovenia,15-24 years,female,13
Slovenia,25-34 years,female,11
Slovenia,5-14 years,male,1
Slovenia,5-14 years,female,0
Slovenia,75+ years,male,45
Slovenia,55-74 years,male,134
Slovenia,35-54 years,male,177
Slovenia,25-34 years,male,65
Slovenia,75+ years,female,23
Slovenia,15-24 years,male,36
Slovenia,55-74 years,female,43
Slovenia,35-54 years,female,40
Slovenia,15-24 years,female,10
Slovenia,25-34 years,female,6
Slovenia,5-14 years,male,2
Slovenia,5-14 years,female,0
Slovenia,75+ years,male,35
Slovenia,55-74 years,male,136
Slovenia,35-54 years,male,191
Slovenia,25-34 years,male,46
Slovenia,75+ years,female,19
Slovenia,15-24 years,male,25
Slovenia,55-74 years,female,34
Slovenia,35-54 years,female,42
Slovenia,25-34 years,female,8
Slovenia,15-24 years,female,3
Slovenia,5-14 years,female,1
Slovenia,5-14 years,male,0
Slovenia,75+ years,male,40
Slovenia,55-74 years,male,134
Slovenia,35-54 years,male,184
Slovenia,25-34 years,male,46
Slovenia,75+ years,female,23
Slovenia,15-24 years,male,35
Slovenia,55-74 years,female,47
Slovenia,35-54 years,female,36
Slovenia,15-24 years,female,9
Slovenia,25-34 years,female,7
Slovenia,5-14 years,male,1
Slovenia,5-14 years,female,0
Slovenia,55-74 years,male,119
Slovenia,75+ years,male,19
Slovenia,35-54 years,male,162
Slovenia,75+ years,female,23
Slovenia,25-34 years,male,38
Slovenia,55-74 years,female,50
Slovenia,15-24 years,male,30
Slovenia,35-54 years,female,46
Slovenia,15-24 years,female,12
Slovenia,25-34 years,female,9
Slovenia,5-14 years,female,2
Slovenia,5-14 years,male,2
Slovenia,75+ years,male,43
Slovenia,55-74 years,male,108
Slovenia,35-54 years,male,152
Slovenia,25-34 years,male,59
Slovenia,15-24 years,male,29
Slovenia,75+ years,female,18
Slovenia,55-74 years,female,44
Slovenia,35-54 years,female,37
Slovenia,25-34 years,female,7
Slovenia,15-24 years,female,5
Slovenia,5-14 years,female,1
Slovenia,5-14 years,male,0
Slovenia,75+ years,male,48
Slovenia,55-74 years,male,142
Slovenia,35-54 years,male,159
Slovenia,25-34 years,male,45
Slovenia,75+ years,female,21
Slovenia,55-74 years,female,45
Slovenia,15-24 years,male,21
Slovenia,35-54 years,female,33
Slovenia,15-24 years,female,7
Slovenia,25-34 years,female,8
Slovenia,5-14 years,female,0
Slovenia,5-14 years,male,0
Slovenia,75+ years,male,45
Slovenia,55-74 years,male,112
Slovenia,35-54 years,male,121
Slovenia,25-34 years,male,42
Slovenia,75+ years,female,21
Slovenia,55-74 years,female,31
Slovenia,15-24 years,male,15
Slovenia,35-54 years,female,32
Slovenia,15-24 years,female,7
Slovenia,25-34 years,female,8
Slovenia,5-14 years,female,0
Slovenia,5-14 years,male,0
Slovenia,75+ years,male,41
Slovenia,55-74 years,male,96
Slovenia,35-54 years,male,124
Slovenia,15-24 years,male,28
Slovenia,25-34 years,male,35
Slovenia,75+ years,female,17
Slovenia,55-74 years,female,32
Slovenia,35-54 years,female,25
Slovenia,25-34 years,female,7
Slovenia,15-24 years,female,3
Slovenia,5-14 years,female,0
Slovenia,5-14 years,male,0
Slovenia,75+ years,male,38
Slovenia,55-74 years,male,117
Slovenia,35-54 years,male,134
Slovenia,25-34 years,male,43
Slovenia,75+ years,female,21
Slovenia,55-74 years,female,38
Slovenia,15-24 years,male,18
Slovenia,35-54 years,female,33
Slovenia,15-24 years,female,3
Slovenia,25-34 years,female,2
Slovenia,5-14 years,female,0
Slovenia,5-14 years,male,0
Slovenia,75+ years,male,49
Slovenia,55-74 years,male,107
Slovenia,35-54 years,male,121
Slovenia,15-24 years,male,25
Slovenia,25-34 years,male,32
Slovenia,55-74 years,female,35
Slovenia,75+ years,female,12
Slovenia,35-54 years,female,25
Slovenia,25-34 years,female,5
Slovenia,5-14 years,male,2
Slovenia,15-24 years,female,1
Slovenia,5-14 years,female,0
Slovenia,75+ years,male,56
Slovenia,55-74 years,male,132
Slovenia,35-54 years,male,112
Slovenia,75+ years,female,20
Slovenia,15-24 years,male,21
Slovenia,25-34 years,male,26
Slovenia,55-74 years,female,30
Slovenia,35-54 years,female,30
Slovenia,25-34 years,female,7
Slovenia,15-24 years,female,1
Slovenia,5-14 years,female,0
Slovenia,5-14 years,male,0
Slovenia,75+ years,male,60
Slovenia,55-74 years,male,118
Slovenia,35-54 years,male,134
Slovenia,25-34 years,male,28
Slovenia,15-24 years,male,20
Slovenia,55-74 years,female,38
Slovenia,75+ years,female,12
Slovenia,35-54 years,female,19
Slovenia,25-34 years,female,9
Slovenia,5-14 years,female,1
Slovenia,15-24 years,female,1
Slovenia,5-14 years,male,0
Slovenia,75+ years,male,57
Slovenia,55-74 years,male,121
Slovenia,35-54 years,male,122
Slovenia,25-34 years,male,36
Slovenia,15-24 years,male,23
Slovenia,75+ years,female,20
Slovenia,55-74 years,female,38
Slovenia,35-54 years,female,18
Slovenia,25-34 years,female,8
Slovenia,15-24 years,female,2
Slovenia,5-14 years,male,1
Slovenia,5-14 years,female,0
Slovenia,75+ years,male,51
Slovenia,55-74 years,male,110
Slovenia,35-54 years,male,114
Slovenia,25-34 years,male,33
Slovenia,15-24 years,male,16
Slovenia,75+ years,female,15
Slovenia,55-74 years,female,21
Slovenia,35-54 years,female,21
Slovenia,15-24 years,female,3
Slovenia,25-34 years,female,3
Slovenia,5-14 years,male,1
Slovenia,5-14 years,female,0
Slovenia,75+ years,male,62
Slovenia,55-74 years,male,120
Slovenia,35-54 years,male,106
Slovenia,25-34 years,male,29
Slovenia,75+ years,female,19
Slovenia,55-74 years,female,40
Slovenia,15-24 years,male,14
Slovenia,35-54 years,female,23
Slovenia,25-34 years,female,5
Slovenia,15-24 years,female,3
Slovenia,5-14 years,male,1
Slovenia,5-14 years,female,0
