country,age,sex,suicides_no
South Africa,75+ years,male,6
South Africa,25-34 years,male,32
South Africa,35-54 years,male,36
South Africa,55-74 years,male,10
South Africa,15-24 years,male,27
South Africa,55-74 years,female,8
South Africa,75+ years,female,1
South Africa,15-24 years,female,12
South Africa,35-54 years,female,8
South Africa,5-14 years,male,2
South Africa,25-34 years,female,1
South Africa,5-14 years,female,0
South Africa,75+ years,female,4
South Africa,55-74 years,male,16
South Africa,25-34 years,male,20
South Africa,75+ years,male,1
South Africa,15-24 years,male,24
South Africa,35-54 years,male,21
South Africa,35-54 years,female,7
South Africa,25-34 years,female,5
South Africa,55-74 years,female,2
South Africa,15-24 years,female,4
South Africa,5-14 years,female,0
South Africa,5-14 years,male,0
South Africa,75+ years,male,4
South Africa,25-34 years,male,41
South Africa,35-54 years,male,42
South Africa,15-24 years,male,35
South Africa,55-74 years,male,12
South Africa,75+ years,female,2
South Africa,15-24 years,female,17
South Africa,55-74 years,female,7
South Africa,35-54 years,female,10
South Africa,25-34 years,female,5
South Africa,5-14 years,male,3
South Africa,5-14 years,female,2
South Africa,75+ years,male,5
South Africa,25-34 years,male,64
South Africa,35-54 years,male,71
South Africa,15-24 years,male,58
South Africa,55-74 years,male,17
South Africa,75+ years,female,3
South Africa,25-34 years,female,21
South Africa,35-54 years,female,19
South Africa,55-74 years,female,5
South Africa,15-24 years,female,10
South Africa,5-14 years,male,4
South Africa,5-14 years,female,2
South Africa,75+ years,male,4
South Africa,35-54 years,male,79
South Africa,25-34 years,male,56
South Africa,55-74 years,male,24
South Africa,15-24 years,male,41
South Africa,25-34 years,female,16
South Africa,15-24 years,female,18
South Africa,35-54 years,female,18
South Africa,75+ years,female,1
South Africa,55-74 years,female,4
South Africa,5-14 years,male,5
South Africa,5-14 years,female,1
South Africa,75+ years,male,6
South Africa,25-34 years,male,102
South Africa,35-54 years,male,99
South Africa,15-24 years,male,86
South Africa,55-74 years,male,15
South Africa,15-24 years,female,27
South Africa,35-54 years,female,21
South Africa,25-34 years,female,15
South Africa,55-74 years,female,6
South Africa,5-14 years,male,4
South Africa,5-14 years,female,3
South Africa,75+ years,female,0
South Africa,35-54 years,male,67
South Africa,25-34 years,male,46
South Africa,15-24 years,male,55
South Africa,75+ years,male,2
South Africa,55-74 years,male,14
South Africa,15-24 years,female,26
South Africa,75+ years,female,1
South Africa,55-74 years,female,4
South Africa,35-54 years,female,9
South Africa,25-34 years,female,6
South Africa,5-14 years,male,5
South Africa,5-14 years,female,1
South Africa,75+ years,male,4
South Africa,25-34 years,male,61
South Africa,35-54 years,male,58
South Africa,75+ years,female,5
South Africa,15-24 years,male,50
South Africa,55-74 years,male,16
South Africa,15-24 years,female,21
South Africa,35-54 years,female,17
South Africa,25-34 years,female,12
South Africa,55-74 years,female,5
South Africa,5-14 years,male,4
South Africa,5-14 years,female,3
South Africa,75+ years,male,6
South Africa,25-34 years,male,90
South Africa,35-54 years,male,88
South Africa,55-74 years,male,31
South Africa,15-24 years,male,71
South Africa,15-24 years,female,29
South Africa,35-54 years,female,27
South Africa,25-34 years,female,20
South Africa,75+ years,female,2
South Africa,55-74 years,female,8
South Africa,5-14 years,male,8
South Africa,5-14 years,female,3
South Africa,75+ years,male,7
South Africa,25-34 years,male,123
South Africa,35-54 years,male,113
South Africa,15-24 years,male,84
South Africa,55-74 years,male,26
South Africa,75+ years,female,6
South Africa,15-24 years,female,37
South Africa,55-74 years,female,13
South Africa,35-54 years,female,24
South Africa,25-34 years,female,17
South Africa,5-14 years,female,4
South Africa,5-14 years,male,4
South Africa,75+ years,male,11
South Africa,25-34 years,male,147
South Africa,35-54 years,male,113
South Africa,55-74 years,male,39
South Africa,15-24 years,male,98
South Africa,75+ years,female,5
South Africa,25-34 years,female,24
South Africa,15-24 years,female,29
South Africa,35-54 years,female,23
