country,age,sex,suicides_no
Spain,75+ years,male,305
Spain,55-74 years,male,624
Spain,75+ years,female,131
Spain,35-54 years,male,497
Spain,25-34 years,male,219
Spain,55-74 years,female,277
Spain,15-24 years,male,176
Spain,35-54 years,female,174
Spain,25-34 years,female,59
Spain,15-24 years,female,43
Spain,5-14 years,male,8
Spain,5-14 years,female,1
Spain,75+ years,male,305
Spain,55-74 years,male,677
Spain,35-54 years,male,538
Spain,75+ years,female,127
Spain,25-34 years,male,265
Spain,55-74 years,female,301
Spain,15-24 years,male,227
Spain,35-54 years,female,157
Spain,25-34 years,female,75
Spain,15-24 years,female,54
Spain,5-14 years,male,20
Spain,5-14 years,female,9
Spain,75+ years,male,335
Spain,55-74 years,male,693
Spain,35-54 years,male,479
Spain,75+ years,female,127
Spain,25-34 years,male,277
Spain,55-74 years,female,320
Spain,15-24 years,male,216
Spain,35-54 years,female,180
Spain,25-34 years,female,90
Spain,15-24 years,female,68
Spain,5-14 years,male,17
Spain,5-14 years,female,2
Spain,75+ years,male,354
Spain,55-74 years,male,651
Spain,75+ years,female,156
Spain,35-54 years,male,537
Spain,25-34 years,male,303
Spain,15-24 years,male,284
Spain,55-74 years,female,324
Spain,35-54 years,female,191
Spain,25-34 years,female,79
Spain,15-24 years,female,59
Spain,5-14 years,male,21
Spain,5-14 years,female,1
Spain,75+ years,male,359
Spain,55-74 years,male,679
Spain,35-54 years,male,557
Spain,75+ years,female,152
Spain,25-34 years,male,316
Spain,15-24 years,male,284
Spain,55-74 years,female,325
Spain,35-54 years,female,154
Spain,25-34 years,female,77
Spain,15-24 years,female,60
Spain,5-14 years,male,18
Spain,5-14 years,female,6
Spain,75+ years,male,404
Spain,55-74 years,male,666
Spain,75+ years,female,175
Spain,25-34 years,male,325
Spain,35-54 years,male,481
Spain,55-74 years,female,308
Spain,15-24 years,male,240
Spain,35-54 years,female,171
Spain,25-34 years,female,90
Spain,15-24 years,female,54
Spain,5-14 years,male,19
Spain,5-14 years,female,6
Spain,75+ years,male,350
Spain,55-74 years,male,732
Spain,75+ years,female,172
Spain,25-34 years,male,326
Spain,35-54 years,male,473
Spain,55-74 years,female,299
Spain,15-24 years,male,238
Spain,35-54 years,female,148
Spain,25-34 years,female,82
Spain,15-24 years,female,71
Spain,5-14 years,male,20
Spain,5-14 years,female,5
Spain,75+ years,male,390
Spain,55-74 years,male,655
Spain,25-34 years,male,338
Spain,35-54 years,male,490
Spain,75+ years,female,151
Spain,15-24 years,male,225
Spain,55-74 years,female,263
Spain,35-54 years,female,157
Spain,25-34 years,female,66
Spain,15-24 years,female,42
Spain,5-14 years,male,6
Spain,5-14 years,female,3
Spain,75+ years,male,366
Spain,55-74 years,male,690
Spain,35-54 years,male,588
Spain,25-34 years,male,377
Spain,75+ years,female,144
Spain,15-24 years,male,246
Spain,55-74 years,female,295
Spain,35-54 years,female,168
Spain,25-34 years,female,92
Spain,15-24 years,female,53
Spain,5-14 years,male,16
Spain,5-14 years,female,2
Spain,75+ years,male,381
Spain,55-74 years,male,739
Spain,25-34 years,male,418
Spain,35-54 years,male,628
Spain,75+ years,female,150
Spain,15-24 years,male,253
Spain,55-74 years,female,286
Spain,35-54 years,female,168
Spain,25-34 years,female,80
Spain,15-24 years,female,56
Spain,5-14 years,male,10
Spain,5-14 years,female,2
Spain,75+ years,male,397
Spain,55-74 years,male,718
Spain,25-34 years,male,398
Spain,35-54 years,male,600
Spain,75+ years,female,158
Spain,15-24 years,male,287
Spain,55-74 years,female,273
Spain,35-54 years,female,183
Spain,25-34 years,female,69
Spain,15-24 years,female,65
Spain,5-14 years,male,8
Spain,5-14 years,female,1
Spain,75+ years,male,403
Spain,55-74 years,male,716
Spain,35-54 years,male,643
Spain,25-34 years,male,406
Spain,75+ years,female,161
Spain,15-24 years,male,278
Spain,55-74 years,female,298
Spain,35-54 years,female,222
Spain,25-34 years,female,110
Spain,15-24 years,female,70
Spain,5-14 years,female,8
Spain,5-14 years,male,5
Spain,75+ years,male,464
Spain,55-74 years,male,702
Spain,35-54 years,male,673
Spain,25-34 years,male,421
Spain,75+ years,female,186
Spain,15-24 years,male,257
Spain,55-74 years,female,292
Spain,35-54 years,female,207
Spain,25-34 years,female,87
Spain,15-24 years,female,70
Spain,5-14 years,male,9
Spain,5-14 years,female,5
Spain,75+ years,male,451
Spain,55-74 years,male,702
Spain,25-34 years,male,443
Spain,35-54 years,male,650
Spain,75+ years,female,155
Spain,15-24 years,male,249
Spain,55-74 years,female,257
Spain,35-54 years,female,203
Spain,25-34 years,female,99
Spain,15-24 years,female,44
Spain,5-14 years,female,4
Spain,5-14 years,male,4
Spain,75+ years,male,453
Spain,55-74 years,male,681
Spain,35-54 years,male,689
Spain,25-34 years,male,368
Spain,75+ years,female,171
Spain,55-74 years,female,309
Spain,15-24 years,male,218
Spain,35-54 years,female,204
Spain,15-24 years,female,61
