country,age,sex,suicides_no
Sri Lanka,75+ years,male,144
Sri Lanka,15-24 years,male,1432
Sri Lanka,25-34 years,male,1024
Sri Lanka,55-74 years,male,443
Sri Lanka,15-24 years,female,943
Sri Lanka,35-54 years,male,824
Sri Lanka,25-34 years,female,426
Sri Lanka,75+ years,female,23
Sri Lanka,35-54 years,female,203
Sri Lanka,55-74 years,female,80
Sri Lanka,5-14 years,male,71
Sri Lanka,5-14 years,female,55
Sri Lanka,75+ years,male,145
Sri Lanka,25-34 years,male,1045
Sri Lanka,15-24 years,male,1304
Sri Lanka,55-74 years,male,461
Sri Lanka,35-54 years,male,851
Sri Lanka,15-24 years,female,804
Sri Lanka,25-34 years,female,365
Sri Lanka,75+ years,female,22
Sri Lanka,35-54 years,female,193
Sri Lanka,55-74 years,female,72
Sri Lanka,5-14 years,male,48
Sri Lanka,5-14 years,female,35
Sri Lanka,75+ years,male,146
Sri Lanka,55-74 years,male,648
Sri Lanka,25-34 years,male,918
Sri Lanka,35-54 years,male,1211
Sri Lanka,15-24 years,male,768
Sri Lanka,15-24 years,female,500
Sri Lanka,25-34 years,female,284
Sri Lanka,75+ years,female,30
Sri Lanka,35-54 years,female,228
Sri Lanka,55-74 years,female,102
Sri Lanka,5-14 years,male,37
Sri Lanka,5-14 years,female,26
Sri Lanka,75+ years,male,181
Sri Lanka,25-34 years,male,1109
Sri Lanka,55-74 years,male,649
Sri Lanka,35-54 years,male,1491
Sri Lanka,15-24 years,male,924
Sri Lanka,15-24 years,female,623
Sri Lanka,75+ years,female,53
Sri Lanka,25-34 years,female,341
Sri Lanka,35-54 years,female,313
Sri Lanka,55-74 years,female,118
Sri Lanka,5-14 years,female,49
Sri Lanka,5-14 years,male,36
Sri Lanka,75+ years,male,214
Sri Lanka,55-74 years,male,677
Sri Lanka,35-54 years,male,1567
Sri Lanka,25-34 years,male,968
Sri Lanka,15-24 years,male,740
Sri Lanka,15-24 years,female,522
Sri Lanka,25-34 years,female,310
Sri Lanka,75+ years,female,32
Sri Lanka,35-54 years,female,278
Sri Lanka,55-74 years,female,118
Sri Lanka,5-14 years,female,52
Sri Lanka,5-14 years,male,40
Sri Lanka,75+ years,male,182
Sri Lanka,35-54 years,male,1609
Sri Lanka,55-74 years,male,683
Sri Lanka,25-34 years,male,997
Sri Lanka,15-24 years,male,765
Sri Lanka,15-24 years,female,536
Sri Lanka,75+ years,female,49
Sri Lanka,25-34 years,female,303
Sri Lanka,35-54 years,female,304
Sri Lanka,55-74 years,female,121
Sri Lanka,5-14 years,female,35
Sri Lanka,5-14 years,male,35
Sri Lanka,75+ years,male,200
Sri Lanka,55-74 years,male,729
Sri Lanka,35-54 years,male,1521
Sri Lanka,25-34 years,male,873
Sri Lanka,15-24 years,male,615
Sri Lanka,15-24 years,female,504
Sri Lanka,25-34 years,female,288
Sri Lanka,75+ years,female,40
Sri Lanka,35-54 years,female,309
Sri Lanka,55-74 years,female,125
Sri Lanka,5-14 years,female,27
Sri Lanka,5-14 years,male,21
Sri Lanka,75+ years,male,162
Sri Lanka,55-74 years,male,671
Sri Lanka,35-54 years,male,1468
Sri Lanka,25-34 years,male,755
Sri Lanka,15-24 years,male,508
Sri Lanka,15-24 years,female,394
Sri Lanka,25-34 years,female,224
Sri Lanka,75+ years,female,31
Sri Lanka,35-54 years,female,244
Sri Lanka,55-74 years,female,100
Sri Lanka,5-14 years,male,18
Sri Lanka,5-14 years,female,15
Sri Lanka,75+ years,male,165
Sri Lanka,35-54 years,male,1476
Sri Lanka,55-74 years,male,641
Sri Lanka,25-34 years,male,639
Sri Lanka,15-24 years,male,520
Sri Lanka,15-24 years,female,335
Sri Lanka,25-34 years,female,213
Sri Lanka,75+ years,female,31
Sri Lanka,55-74 years,female,106
Sri Lanka,35-54 years,female,204
Sri Lanka,5-14 years,female,28
Sri Lanka,5-14 years,male,24
Sri Lanka,75+ years,male,190
Sri Lanka,55-74 years,male,690
Sri Lanka,35-54 years,male,1483
Sri Lanka,25-34 years,male,650
Sri Lanka,15-24 years,male,509
Sri Lanka,15-24 years,female,358
Sri Lanka,75+ years,female,38
Sri Lanka,25-34 years,female,186
Sri Lanka,55-74 years,female,111
Sri Lanka,35-54 years,female,218
Sri Lanka,5-14 years,female,23
Sri Lanka,5-14 years,male,11
Sri Lanka,75+ years,male,211
Sri Lanka,55-74 years,male,649
Sri Lanka,35-54 years,male,1246
Sri Lanka,25-34 years,male,573
Sri Lanka,15-24 years,male,423
Sri Lanka,15-24 years,female,333
Sri Lanka,75+ years,female,51
Sri Lanka,25-34 years,female,194
Sri Lanka,55-74 years,female,111
Sri Lanka,35-54 years,female,198
Sri Lanka,5-14 years,male,15
Sri Lanka,5-14 years,female,11
