country,age,sex,suicides_no
Suriname,35-54 years,male,20
Suriname,75+ years,male,2
Suriname,25-34 years,male,11
Suriname,55-74 years,male,6
Suriname,75+ years,female,2
Suriname,55-74 years,female,5
Suriname,15-24 years,male,17
Suriname,35-54 years,female,7
Suriname,15-24 years,female,7
Suriname,5-14 years,male,2
Suriname,5-14 years,female,1
Suriname,25-34 years,female,0
Suriname,75+ years,male,2
Suriname,15-24 years,male,13
Suriname,75+ years,female,1
Suriname,35-54 years,male,7
Suriname,25-34 years,male,6
Suriname,15-24 years,female,6
Suriname,55-74 years,male,2
Suriname,25-34 years,female,2
Suriname,35-54 years,female,2
Suriname,5-14 years,female,1
Suriname,55-74 years,female,0
Suriname,5-14 years,male,0
Suriname,75+ years,male,2
Suriname,25-34 years,male,13
Suriname,35-54 years,male,12
Suriname,55-74 years,male,5
Suriname,75+ years,female,1
Suriname,15-24 years,female,8
Suriname,15-24 years,male,8
Suriname,25-34 years,female,1
Suriname,35-54 years,female,1
Suriname,5-14 years,female,1
Suriname,55-74 years,female,0
Suriname,5-14 years,male,0
Suriname,25-34 years,male,12
Suriname,75+ years,male,1
Suriname,75+ years,female,1
Suriname,15-24 years,female,10
Suriname,55-74 years,female,4
Suriname,15-24 years,male,9
Suriname,35-54 years,male,7
Suriname,55-74 years,male,3
Suriname,35-54 years,female,2
Suriname,25-34 years,female,0
Suriname,5-14 years,female,0
Suriname,5-14 years,male,0
Suriname,35-54 years,male,17
Suriname,75+ years,male,1
Suriname,25-34 years,male,11
Suriname,75+ years,female,1
Suriname,15-24 years,male,11
Suriname,55-74 years,female,4
Suriname,35-54 years,female,3
Suriname,15-24 years,female,3
Suriname,55-74 years,male,1
Suriname,25-34 years,female,1
Suriname,5-14 years,female,0
Suriname,5-14 years,male,0
Suriname,75+ years,male,3
Suriname,25-34 years,male,8
Suriname,15-24 years,male,7
Suriname,35-54 years,male,2
Suriname,55-74 years,male,1
Suriname,25-34 years,female,2
Suriname,15-24 years,female,2
Suriname,5-14 years,male,1
Suriname,35-54 years,female,0
Suriname,5-14 years,female,0
Suriname,55-74 years,female,0
Suriname,75+ years,female,0
Suriname,25-34 years,male,15
Suriname,35-54 years,male,13
Suriname,75+ years,male,1
Suriname,75+ years,female,1
Suriname,15-24 years,female,9
Suriname,55-74 years,female,4
Suriname,25-34 years,female,5
Suriname,15-24 years,male,5
Suriname,55-74 years,male,1
Suriname,5-14 years,female,2
Suriname,35-54 years,female,1
Suriname,5-14 years,male,0
Suriname,25-34 years,male,11
Suriname,55-74 years,male,5
Suriname,35-54 years,male,10
Suriname,15-24 years,male,9
Suriname,15-24 years,female,6
Suriname,25-34 years,female,2
Suriname,35-54 years,female,2
Suriname,55-74 years,female,1
Suriname,5-14 years,female,2
Suriname,75+ years,female,0
Suriname,5-14 years,male,0
Suriname,75+ years,male,0
Suriname,25-34 years,male,14
Suriname,75+ years,male,1
Suriname,15-24 years,male,12
Suriname,35-54 years,male,10
Suriname,55-74 years,male,4
Suriname,55-74 years,female,3
Suriname,15-24 years,female,5
Suriname,25-34 years,female,4
Suriname,35-54 years,female,1
Suriname,5-14 years,male,1
Suriname,5-14 years,female,0
Suriname,75+ years,female,0
Suriname,75+ years,male,1
Suriname,25-34 years,male,6
Suriname,35-54 years,male,6
Suriname,15-24 years,male,3
Suriname,55-74 years,male,1
Suriname,55-74 years,female,1
Suriname,15-24 years,female,1
Suriname,35-54 years,female,1
Suriname,5-14 years,female,1
Suriname,25-34 years,female,0
Suriname,75+ years,female,0
Suriname,5-14 years,male,0
Suriname,75+ years,male,1
Suriname,55-74 years,male,4
Suriname,15-24 years,male,5
Suriname,25-34 years,male,5
Suriname,35-54 years,male,5
Suriname,25-34 years,female,3
Suriname,35-54 years,female,3
Suriname,15-24 years,female,2
Suriname,55-74 years,female,1
Suriname,5-14 years,female,2
Suriname,5-14 years,male,1
Suriname,75+ years,female,0
Suriname,75+ years,male,1
Suriname,25-34 years,male,7
Suriname,35-54 years,male,8
Suriname,55-74 years,male,3
Suriname,25-34 years,female,4
Suriname,35-54 years,female,3
Suriname,15-24 years,male,2
Suriname,15-24 years,female,1
Suriname,5-14 years,female,0
Suriname,55-74 years,female,0
Suriname,75+ years,female,0
Suriname,5-14 years,male,0
Suriname,75+ years,male,3
