country,age,sex,suicides_no
Sweden,75+ years,male,124
Sweden,35-54 years,male,394
Sweden,55-74 years,male,281
Sweden,25-34 years,male,174
Sweden,75+ years,female,73
Sweden,35-54 years,female,185
Sweden,15-24 years,male,102
Sweden,55-74 years,female,117
Sweden,25-34 years,female,57
Sweden,15-24 years,female,32
Sweden,5-14 years,male,2
Sweden,5-14 years,female,0
Sweden,75+ years,male,119
Sweden,55-74 years,male,298
Sweden,35-54 years,male,394
Sweden,25-34 years,male,174
Sweden,35-54 years,female,204
Sweden,15-24 years,male,110
Sweden,55-74 years,female,134
Sweden,75+ years,female,56
Sweden,25-34 years,female,63
Sweden,15-24 years,female,34
Sweden,5-14 years,male,3
Sweden,5-14 years,female,1
Sweden,75+ years,male,137
Sweden,55-74 years,male,284
Sweden,25-34 years,male,200
Sweden,35-54 years,male,381
Sweden,15-24 years,male,120
Sweden,55-74 years,female,147
Sweden,75+ years,female,56
Sweden,25-34 years,female,71
Sweden,35-54 years,female,133
Sweden,15-24 years,female,48
Sweden,5-14 years,female,2
Sweden,5-14 years,male,0
Sweden,75+ years,male,144
Sweden,55-74 years,male,287
Sweden,35-54 years,male,340
Sweden,25-34 years,male,157
Sweden,55-74 years,female,138
Sweden,75+ years,female,63
Sweden,15-24 years,male,88
Sweden,35-54 years,female,156
Sweden,25-34 years,female,63
Sweden,15-24 years,female,30
Sweden,5-14 years,male,4
Sweden,5-14 years,female,1
Sweden,75+ years,male,130
Sweden,55-74 years,male,266
Sweden,35-54 years,male,375
Sweden,25-34 years,male,162
Sweden,15-24 years,male,100
Sweden,55-74 years,female,130
Sweden,75+ years,female,62
Sweden,35-54 years,female,162
Sweden,25-34 years,female,62
Sweden,15-24 years,female,28
Sweden,5-14 years,female,3
Sweden,5-14 years,male,3
Sweden,75+ years,male,140
Sweden,35-54 years,male,359
Sweden,55-74 years,male,232
Sweden,25-34 years,male,144
Sweden,55-74 years,female,129
Sweden,75+ years,female,58
Sweden,35-54 years,female,145
Sweden,15-24 years,male,58
Sweden,25-34 years,female,50
Sweden,15-24 years,female,37
Sweden,5-14 years,male,3
Sweden,5-14 years,female,0
Sweden,75+ years,male,138
Sweden,35-54 years,male,385
Sweden,55-74 years,male,235
Sweden,25-34 years,male,129
Sweden,75+ years,female,61
Sweden,35-54 years,female,151
Sweden,55-74 years,female,108
Sweden,15-24 years,male,68
Sweden,25-34 years,female,61
Sweden,15-24 years,female,36
Sweden,5-14 years,male,1
Sweden,5-14 years,female,0
Sweden,75+ years,male,137
Sweden,55-74 years,male,232
Sweden,35-54 years,male,347
Sweden,25-34 years,male,139
Sweden,75+ years,female,70
Sweden,55-74 years,female,119
Sweden,15-24 years,male,74
Sweden,35-54 years,female,134
Sweden,25-34 years,female,51
Sweden,15-24 years,female,19
Sweden,5-14 years,female,2
Sweden,5-14 years,male,0
Sweden,75+ years,male,120
Sweden,35-54 years,male,371
Sweden,55-74 years,male,233
Sweden,25-34 years,male,134
Sweden,75+ years,female,78
Sweden,35-54 years,female,163
Sweden,15-24 years,male,75
Sweden,55-74 years,female,103
Sweden,25-34 years,female,39
Sweden,15-24 years,female,28
Sweden,5-14 years,male,3
Sweden,5-14 years,female,1
Sweden,75+ years,male,113
Sweden,55-74 years,male,225
Sweden,35-54 years,male,326
Sweden,25-34 years,male,141
