country,age,sex,suicides_no
Switzerland,75+ years,male,146
Switzerland,55-74 years,male,262
Switzerland,35-54 years,male,358
Switzerland,25-34 years,male,146
Switzerland,15-24 years,male,104
Switzerland,55-74 years,female,143
Switzerland,75+ years,female,55
Switzerland,35-54 years,female,130
Switzerland,25-34 years,female,45
Switzerland,15-24 years,female,28
Switzerland,5-14 years,male,2
Switzerland,5-14 years,female,0
Switzerland,75+ years,male,136
Switzerland,55-74 years,male,255
Switzerland,35-54 years,male,357
Switzerland,25-34 years,male,153
Switzerland,15-24 years,male,105
Switzerland,75+ years,female,73
Switzerland,55-74 years,female,126
Switzerland,35-54 years,female,150
Switzerland,25-34 years,female,50
Switzerland,15-24 years,female,23
Switzerland,5-14 years,male,4
Switzerland,5-14 years,female,0
Switzerland,75+ years,male,134
Switzerland,55-74 years,male,229
Switzerland,35-54 years,male,354
Switzerland,75+ years,female,92
Switzerland,25-34 years,male,147
Switzerland,15-24 years,male,97
Switzerland,55-74 years,female,102
Switzerland,35-54 years,female,117
Switzerland,25-34 years,female,43
Switzerland,15-24 years,female,23
Switzerland,5-14 years,male,2
Switzerland,5-14 years,female,1
Switzerland,75+ years,male,153
Switzerland,55-74 years,male,271
Switzerland,35-54 years,male,331
Switzerland,25-34 years,male,159
Switzerland,75+ years,female,72
Switzerland,15-24 years,male,92
Switzerland,55-74 years,female,106
Switzerland,35-54 years,female,129
Switzerland,15-24 years,female,23
Switzerland,25-34 years,female,30
Switzerland,5-14 years,male,3
Switzerland,5-14 years,female,2
Switzerland,75+ years,male,139
Switzerland,55-74 years,male,235
Switzerland,35-54 years,male,335
Switzerland,25-34 years,male,133
Switzerland,75+ years,female,74
Switzerland,15-24 years,male,85
Switzerland,55-74 years,female,108
Switzerland,35-54 years,female,125
Switzerland,25-34 years,female,37
Switzerland,15-24 years,female,21
Switzerland,5-14 years,female,2
Switzerland,5-14 years,male,2
Switzerland,75+ years,male,152
Switzerland,55-74 years,male,239
Switzerland,35-54 years,male,360
Switzerland,25-34 years,male,147
Switzerland,75+ years,female,79
Switzerland,15-24 years,male,79
Switzerland,55-74 years,female,128
Switzerland,35-54 years,female,124
Switzerland,25-34 years,female,47
Switzerland,15-24 years,female,20
Switzerland,5-14 years,male,4
Switzerland,5-14 years,female,1
Switzerland,75+ years,male,160
Switzerland,55-74 years,male,263
Switzerland,35-54 years,male,325
Switzerland,75+ years,female,86
Switzerland,15-24 years,male,95
Switzerland,25-34 years,male,101
Switzerland,55-74 years,female,125
Switzerland,35-54 years,female,123
Switzerland,25-34 years,female,35
Switzerland,15-24 years,female,21
Switzerland,5-14 years,female,3
Switzerland,5-14 years,male,1
Switzerland,75+ years,male,163
Switzerland,55-74 years,male,268
Switzerland,75+ years,female,108
Switzerland,35-54 years,male,332
Switzerland,25-34 years,male,140
Switzerland,55-74 years,female,147
Switzerland,15-24 years,male,77
Switzerland,35-54 years,female,151
Switzerland,15-24 years,female,28
Switzerland,25-34 years,female,31
Switzerland,5-14 years,female,1
Switzerland,5-14 years,male,0
Switzerland,75+ years,male,148
Switzerland,55-74 years,male,231
Switzerland,75+ years,female,115
Switzerland,35-54 years,male,303
Switzerland,15-24 years,male,79
Switzerland,55-74 years,female,137
Switzerland,25-34 years,male,85
Switzerland,35-54 years,female,116
Switzerland,25-34 years,female,28
Switzerland,15-24 years,female,21
Switzerland,5-14 years,female,4
Switzerland,5-14 years,male,2
Switzerland,75+ years,male,160
Switzerland,55-74 years,male,236
Switzerland,75+ years,female,107
Switzerland,35-54 years,male,310
Switzerland,55-74 years,female,146
Switzerland,25-34 years,male,86
Switzerland,15-24 years,male,64
Switzerland,35-54 years,female,119
Switzerland,25-34 years,female,34
Switzerland,15-24 years,female,21
Switzerland,5-14 years,male,1
Switzerland,5-14 years,female,0
Switzerland,75+ years,male,177
Switzerland,55-74 years,male,253
Switzerland,35-54 years,male,308
Switzerland,75+ years,female,95
Switzerland,25-34 years,male,90
Switzerland,15-24 years,male,69
Switzerland,55-74 years,female,119
Switzerland,35-54 years,female,123
Switzerland,25-34 years,female,40
Switzerland,15-24 years,female,23
Switzerland,5-14 years,male,2
Switzerland,5-14 years,female,0
Switzerland,75+ years,male,163
Switzerland,55-74 years,male,262
Switzerland,75+ years,female,108
Switzerland,35-54 years,male,277
Switzerland,25-34 years,male,95
Switzerland,55-74 years,female,149
Switzerland,15-24 years,male,64
Switzerland,35-54 years,female,129
Switzerland,25-34 years,female,34
Switzerland,15-24 years,female,23
Switzerland,5-14 years,female,3
Switzerland,5-14 years,male,2
Switzerland,75+ years,male,191
Switzerland,55-74 years,male,275
Switzerland,75+ years,female,122
Switzerland,35-54 years,male,297
Switzerland,55-74 years,female,138
Switzerland,25-34 years,male,80
Switzerland,15-24 years,male,74
Switzerland,35-54 years,female,111
Switzerland,15-24 years,female,36
Switzerland,25-34 years,female,32
Switzerland,5-14 years,male,3
Switzerland,5-14 years,female,1
Switzerland,75+ years,male,175
Switzerland,55-74 years,male,251
Switzerland,75+ years,female,117
Switzerland,35-54 years,male,291
Switzerland,55-74 years,female,160
Switzerland,25-34 years,male,79
Switzerland,15-24 years,male,64
Switzerland,35-54 years,female,112
Switzerland,25-34 years,female,35
Switzerland,15-24 years,female,29
Switzerland,5-14 years,male,1
Switzerland,5-14 years,female,0
Switzerland,75+ years,male,124
Switzerland,55-74 years,male,242
Switzerland,35-54 years,male,311
Switzerland,15-24 years,male,75
Switzerland,25-34 years,male,72
Switzerland,75+ years,female,41
Switzerland,55-74 years,female,85
Switzerland,35-54 years,female,106
Switzerland,25-34 years,female,25
Switzerland,15-24 years,female,20
Switzerland,5-14 years,male,3
Switzerland,5-14 years,female,1
Switzerland,75+ years,male,114
Switzerland,55-74 years,male,220
Switzerland,35-54 years,male,267
Switzerland,25-34 years,male,74
Switzerland,55-74 years,female,96
Switzerland,15-24 years,male,47
Switzerland,75+ years,female,36
Switzerland,35-54 years,female,103
Switzerland,25-34 years,female,32
Switzerland,15-24 years,female,15
Switzerland,5-14 years,male,2
Switzerland,5-14 years,female,0
Switzerland,75+ years,male,125
Switzerland,55-74 years,male,221
Switzerland,35-54 years,male,261
Switzerland,25-34 years,male,81
Switzerland,15-24 years,male,67
Switzerland,75+ years,female,44
Switzerland,55-74 years,female,94
Switzerland,35-54 years,female,98
Switzerland,25-34 years,female,25
Switzerland,15-24 years,female,15
Switzerland,5-14 years,male,2
Switzerland,5-14 years,female,1
Switzerland,75+ years,male,129
Switzerland,55-74 years,male,238
Switzerland,35-54 years,male,251
Switzerland,15-24 years,male,65
Switzerland,25-34 years,male,66
Switzerland,55-74 years,female,102
Switzerland,75+ years,female,41
Switzerland,35-54 years,female,104
Switzerland,25-34 years,female,29
Switzerland,15-24 years,female,10
Switzerland,5-14 years,male,3
Switzerland,5-14 years,female,0
Switzerland,75+ years,male,146
Switzerland,55-74 years,male,253
Switzerland,35-54 years,male,255
Switzerland,25-34 years,male,78
Switzerland,55-74 years,female,109
Switzerland,15-24 years,male,52
Switzerland,75+ years,female,37
Switzerland,35-54 years,female,100
Switzerland,25-34 years,female,21
Switzerland,15-24 years,female,17
Switzerland,5-14 years,male,2
Switzerland,5-14 years,female,1
Switzerland,75+ years,male,144
Switzerland,55-74 years,male,249
Switzerland,35-54 years,male,245
Switzerland,25-34 years,male,68
Switzerland,75+ years,female,47
Switzerland,15-24 years,male,48
Switzerland,55-74 years,female,88
Switzerland,35-54 years,female,95
Switzerland,25-34 years,female,30
Switzerland,15-24 years,female,14
Switzerland,5-14 years,female,2
Switzerland,5-14 years,male,2
Switzerland,75+ years,male,143
Switzerland,55-74 years,male,264
Switzerland,35-54 years,male,242
Switzerland,25-34 years,male,80
Switzerland,15-24 years,male,62
Switzerland,75+ years,female,41
Switzerland,35-54 years,female,111
Switzerland,55-74 years,female,82
Switzerland,15-24 years,female,20
Switzerland,25-34 years,female,24
Switzerland,5-14 years,female,2
Switzerland,5-14 years,male,2
