country,age,sex,suicides_no
Thailand,25-34 years,male,453
Thailand,55-74 years,male,211
Thailand,15-24 years,female,593
Thailand,15-24 years,male,573
Thailand,75+ years,male,28
Thailand,35-54 years,male,448
Thailand,25-34 years,female,254
Thailand,35-54 years,female,236
Thailand,55-74 years,female,94
Thailand,75+ years,female,17
Thailand,5-14 years,female,46
Thailand,5-14 years,male,29
Thailand,55-74 years,male,214
Thailand,25-34 years,male,449
Thailand,35-54 years,male,495
Thailand,15-24 years,male,555
Thailand,15-24 years,female,485
Thailand,75+ years,male,22
Thailand,25-34 years,female,229
Thailand,35-54 years,female,204
Thailand,55-74 years,female,66
Thailand,75+ years,female,8
Thailand,5-14 years,male,39
Thailand,5-14 years,female,32
Thailand,55-74 years,male,239
Thailand,75+ years,male,36
Thailand,15-24 years,male,621
Thailand,25-34 years,male,454
Thailand,15-24 years,female,531
Thailand,35-54 years,male,458
Thailand,25-34 years,female,265
Thailand,75+ years,female,20
Thailand,55-74 years,female,96
Thailand,35-54 years,female,227
Thailand,5-14 years,male,47
Thailand,5-14 years,female,41
Thailand,75+ years,male,55
Thailand,25-34 years,male,622
Thailand,15-24 years,male,753
Thailand,55-74 years,male,293
Thailand,35-54 years,male,665
Thailand,15-24 years,female,511
Thailand,25-34 years,female,339
Thailand,75+ years,female,29
Thailand,35-54 years,female,290
Thailand,55-74 years,female,102
Thailand,5-14 years,male,51
Thailand,5-14 years,female,43
Thailand,25-34 years,male,643
Thailand,15-24 years,male,768
Thailand,75+ years,male,44
Thailand,55-74 years,male,295
Thailand,35-54 years,male,636
Thailand,15-24 years,female,460
Thailand,25-34 years,female,277
Thailand,55-74 years,female,118
Thailand,35-54 years,female,268
Thailand,75+ years,female,22
Thailand,5-14 years,male,16
Thailand,5-14 years,female,12
Thailand,25-34 years,male,641
Thailand,75+ years,male,46
Thailand,15-24 years,male,715
Thailand,35-54 years,male,672
Thailand,55-74 years,male,274
Thailand,15-24 years,female,475
Thailand,25-34 years,female,322
Thailand,35-54 years,female,283
Thailand,75+ years,female,17
Thailand,55-74 years,female,86
Thailand,5-14 years,male,11
Thailand,5-14 years,female,8
