country,age,sex,suicides_no
Trinidad and Tobago,35-54 years,male,9
Trinidad and Tobago,25-34 years,male,8
Trinidad and Tobago,55-74 years,male,2
Trinidad and Tobago,15-24 years,male,4
Trinidad and Tobago,15-24 years,female,3
Trinidad and Tobago,25-34 years,female,2
Trinidad and Tobago,5-14 years,male,1
Trinidad and Tobago,35-54 years,female,0
Trinidad and Tobago,5-14 years,female,0
Trinidad and Tobago,55-74 years,female,0
Trinidad and Tobago,75+ years,female,0
Trinidad and Tobago,75+ years,male,0
Trinidad and Tobago,25-34 years,male,25
Trinidad and Tobago,35-54 years,male,21
Trinidad and Tobago,55-74 years,male,8
Trinidad and Tobago,75+ years,male,1
Trinidad and Tobago,15-24 years,male,13
Trinidad and Tobago,15-24 years,female,12
Trinidad and Tobago,25-34 years,female,9
Trinidad and Tobago,75+ years,female,1
Trinidad and Tobago,35-54 years,female,9
Trinidad and Tobago,55-74 years,female,4
Trinidad and Tobago,5-14 years,male,1
Trinidad and Tobago,5-14 years,female,0
Trinidad and Tobago,75+ years,male,4
Trinidad and Tobago,25-34 years,male,30
Trinidad and Tobago,35-54 years,male,23
Trinidad and Tobago,15-24 years,male,25
Trinidad and Tobago,55-74 years,male,9
Trinidad and Tobago,35-54 years,female,9
Trinidad and Tobago,25-34 years,female,7
Trinidad and Tobago,15-24 years,female,8
Trinidad and Tobago,55-74 years,female,2
Trinidad and Tobago,5-14 years,female,1
Trinidad and Tobago,5-14 years,male,1
Trinidad and Tobago,75+ years,female,0
Trinidad and Tobago,75+ years,male,5
Trinidad and Tobago,25-34 years,male,39
Trinidad and Tobago,55-74 years,male,20
Trinidad and Tobago,35-54 years,male,32
Trinidad and Tobago,15-24 years,male,22
Trinidad and Tobago,75+ years,female,2
Trinidad and Tobago,25-34 years,female,16
Trinidad and Tobago,35-54 years,female,13
Trinidad and Tobago,15-24 years,female,10
Trinidad and Tobago,5-14 years,female,4
Trinidad and Tobago,55-74 years,female,1
Trinidad and Tobago,5-14 years,male,0
Trinidad and Tobago,35-54 years,male,45
Trinidad and Tobago,25-34 years,male,37
Trinidad and Tobago,55-74 years,male,15
Trinidad and Tobago,15-24 years,male,30
Trinidad and Tobago,75+ years,male,2
Trinidad and Tobago,15-24 years,female,20
Trinidad and Tobago,35-54 years,female,11
Trinidad and Tobago,75+ years,female,1
Trinidad and Tobago,25-34 years,female,5
Trinidad and Tobago,55-74 years,female,2
Trinidad and Tobago,5-14 years,male,3
Trinidad and Tobago,5-14 years,female,2
Trinidad and Tobago,25-34 years,male,43
Trinidad and Tobago,55-74 years,male,16
Trinidad and Tobago,35-54 years,male,34
Trinidad and Tobago,15-24 years,male,30
Trinidad and Tobago,15-24 years,female,17
Trinidad and Tobago,75+ years,male,1
Trinidad and Tobago,35-54 years,female,11
Trinidad and Tobago,55-74 years,female,5
Trinidad and Tobago,25-34 years,female,8
Trinidad and Tobago,75+ years,female,1
Trinidad and Tobago,5-14 years,female,3
Trinidad and Tobago,5-14 years,male,1
Trinidad and Tobago,15-24 years,male,42
Trinidad and Tobago,55-74 years,male,16
Trinidad and Tobago,25-34 years,male,32
Trinidad and Tobago,35-54 years,male,27
Trinidad and Tobago,15-24 years,female,11
Trinidad and Tobago,35-54 years,female,8
Trinidad and Tobago,75+ years,female,1
Trinidad and Tobago,25-34 years,female,4
Trinidad and Tobago,55-74 years,female,2
Trinidad and Tobago,5-14 years,female,4
Trinidad and Tobago,5-14 years,male,1
Trinidad and Tobago,75+ years,male,0
