country,age,sex,suicides_no
Turkey,75+ years,male,33
Turkey,55-74 years,male,130
Turkey,35-54 years,male,287
Turkey,25-34 years,male,189
Turkey,15-24 years,male,139
Turkey,75+ years,female,17
Turkey,15-24 years,female,74
Turkey,55-74 years,female,38
Turkey,25-34 years,female,44
Turkey,35-54 years,female,58
Turkey,5-14 years,male,23
Turkey,5-14 years,female,18
Turkey,75+ years,male,63
Turkey,35-54 years,male,397
Turkey,55-74 years,male,175
Turkey,25-34 years,male,248
Turkey,15-24 years,male,238
Turkey,75+ years,female,28
Turkey,15-24 years,female,95
Turkey,55-74 years,female,57
Turkey,35-54 years,female,110
Turkey,25-34 years,female,61
Turkey,5-14 years,male,27
Turkey,5-14 years,female,25
Turkey,75+ years,male,45
Turkey,55-74 years,male,162
Turkey,35-54 years,male,266
Turkey,25-34 years,male,180
Turkey,15-24 years,male,177
Turkey,15-24 years,female,83
Turkey,75+ years,female,15
Turkey,25-34 years,female,60
Turkey,35-54 years,female,82
Turkey,55-74 years,female,35
Turkey,5-14 years,female,23
Turkey,5-14 years,male,20
Turkey,75+ years,male,58
Turkey,35-54 years,male,399
Turkey,55-74 years,male,180
Turkey,25-34 years,male,227
Turkey,15-24 years,male,184
Turkey,75+ years,female,23
Turkey,15-24 years,female,94
Turkey,25-34 years,female,78
Turkey,35-54 years,female,113
Turkey,55-74 years,female,55
Turkey,5-14 years,male,24
Turkey,5-14 years,female,15
Turkey,75+ years,male,76
Turkey,55-74 years,male,239
Turkey,35-54 years,male,477
Turkey,25-34 years,male,285
Turkey,15-24 years,male,253
Turkey,15-24 years,female,133
Turkey,75+ years,female,29
Turkey,55-74 years,female,73
Turkey,25-34 years,female,87
Turkey,35-54 years,female,118
Turkey,5-14 years,female,23
Turkey,5-14 years,male,17
Turkey,75+ years,male,66
Turkey,55-74 years,male,225
Turkey,15-24 years,male,260
Turkey,35-54 years,male,394
Turkey,25-34 years,male,243
Turkey,15-24 years,female,114
Turkey,75+ years,female,23
Turkey,55-74 years,female,79
Turkey,35-54 years,female,109
Turkey,25-34 years,female,65
Turkey,5-14 years,male,21
Turkey,5-14 years,female,18
Turkey,75+ years,male,61
Turkey,55-74 years,male,223
Turkey,25-34 years,male,241
Turkey,35-54 years,male,385
Turkey,15-24 years,male,207
Turkey,15-24 years,female,131
Turkey,75+ years,female,25
Turkey,25-34 years,female,72
Turkey,35-54 years,female,109
Turkey,55-74 years,female,42
Turkey,5-14 years,female,18
Turkey,5-14 years,male,18
