country,age,sex,suicides_no
Turkmenistan,75+ years,male,5
Turkmenistan,55-74 years,male,28
Turkmenistan,75+ years,female,8
Turkmenistan,35-54 years,male,54
Turkmenistan,55-74 years,female,28
Turkmenistan,25-34 years,male,50
Turkmenistan,15-24 years,male,33
Turkmenistan,35-54 years,female,21
Turkmenistan,15-24 years,female,24
Turkmenistan,25-34 years,female,12
Turkmenistan,5-14 years,male,5
Turkmenistan,5-14 years,female,4
Turkmenistan,75+ years,male,6
Turkmenistan,35-54 years,male,55
Turkmenistan,55-74 years,male,22
Turkmenistan,75+ years,female,6
Turkmenistan,25-34 years,male,48
Turkmenistan,15-24 years,male,51
Turkmenistan,55-74 years,female,21
Turkmenistan,35-54 years,female,18
Turkmenistan,15-24 years,female,21
Turkmenistan,25-34 years,female,14
Turkmenistan,5-14 years,female,4
Turkmenistan,5-14 years,male,4
Turkmenistan,35-54 years,male,64
Turkmenistan,75+ years,male,4
Turkmenistan,25-34 years,male,52
Turkmenistan,55-74 years,male,19
Turkmenistan,75+ years,female,4
Turkmenistan,55-74 years,female,16
Turkmenistan,15-24 years,male,29
Turkmenistan,15-24 years,female,25
Turkmenistan,35-54 years,female,17
Turkmenistan,25-34 years,female,18
Turkmenistan,5-14 years,male,3
Turkmenistan,5-14 years,female,2
Turkmenistan,75+ years,female,12
Turkmenistan,75+ years,male,5
Turkmenistan,35-54 years,male,65
Turkmenistan,25-34 years,male,61
Turkmenistan,55-74 years,male,23
Turkmenistan,15-24 years,male,56
Turkmenistan,15-24 years,female,27
Turkmenistan,35-54 years,female,18
Turkmenistan,55-74 years,female,9
Turkmenistan,25-34 years,female,16
Turkmenistan,5-14 years,male,6
Turkmenistan,5-14 years,female,0
Turkmenistan,35-54 years,male,55
Turkmenistan,75+ years,male,3
Turkmenistan,55-74 years,male,22
Turkmenistan,25-34 years,male,53
Turkmenistan,15-24 years,male,50
Turkmenistan,55-74 years,female,18
Turkmenistan,15-24 years,female,31
Turkmenistan,25-34 years,female,20
