country,age,sex,suicides_no
Ukraine,75+ years,male,506
Ukraine,55-74 years,male,1934
Ukraine,35-54 years,male,3093
Ukraine,25-34 years,male,1383
Ukraine,75+ years,female,486
Ukraine,55-74 years,female,1024
Ukraine,15-24 years,male,488
Ukraine,35-54 years,female,770
Ukraine,25-34 years,female,176
Ukraine,15-24 years,female,128
Ukraine,5-14 years,male,53
Ukraine,5-14 years,female,9
Ukraine,75+ years,male,522
Ukraine,55-74 years,male,1773
Ukraine,35-54 years,male,3002
Ukraine,25-34 years,male,1383
Ukraine,75+ years,female,476
Ukraine,55-74 years,female,1000
Ukraine,15-24 years,male,494
Ukraine,35-54 years,female,656
Ukraine,15-24 years,female,182
Ukraine,25-34 years,female,179
Ukraine,5-14 years,male,69
Ukraine,5-14 years,female,15
Ukraine,75+ years,male,589
Ukraine,35-54 years,male,3547
Ukraine,55-74 years,male,1948
Ukraine,25-34 years,male,1578
Ukraine,75+ years,female,500
Ukraine,15-24 years,male,573
Ukraine,55-74 years,female,923
Ukraine,35-54 years,female,759
Ukraine,25-34 years,female,216
Ukraine,15-24 years,female,180
Ukraine,5-14 years,male,61
Ukraine,5-14 years,female,13
Ukraine,75+ years,male,494
Ukraine,35-54 years,male,3570
Ukraine,55-74 years,male,2003
Ukraine,25-34 years,male,1490
Ukraine,75+ years,female,452
Ukraine,15-24 years,male,613
Ukraine,55-74 years,female,886
Ukraine,35-54 years,female,704
Ukraine,25-34 years,female,203
Ukraine,15-24 years,female,165
Ukraine,5-14 years,male,59
Ukraine,5-14 years,female,6
Ukraine,75+ years,male,482
Ukraine,35-54 years,male,3634
Ukraine,55-74 years,male,2075
Ukraine,25-34 years,male,1465
Ukraine,75+ years,female,473
Ukraine,15-24 years,male,618
Ukraine,55-74 years,female,867
Ukraine,35-54 years,female,677
Ukraine,25-34 years,female,189
Ukraine,15-24 years,female,137
Ukraine,5-14 years,male,64
Ukraine,5-14 years,female,19
Ukraine,75+ years,male,530
Ukraine,35-54 years,male,3995
Ukraine,55-74 years,male,2323
Ukraine,25-34 years,male,1589
Ukraine,75+ years,female,371
Ukraine,15-24 years,male,623
Ukraine,55-74 years,female,920
Ukraine,35-54 years,female,816
Ukraine,25-34 years,female,229
Ukraine,15-24 years,female,189
Ukraine,5-14 years,male,68
Ukraine,5-14 years,female,13
Ukraine,75+ years,male,559
Ukraine,35-54 years,male,4100
Ukraine,55-74 years,male,2654
Ukraine,25-34 years,male,1691
Ukraine,75+ years,female,485
Ukraine,15-24 years,male,795
Ukraine,55-74 years,female,940
Ukraine,35-54 years,female,779
Ukraine,25-34 years,female,229
Ukraine,15-24 years,female,152
Ukraine,5-14 years,male,65
Ukraine,5-14 years,female,20
Ukraine,75+ years,male,569
Ukraine,55-74 years,male,3174
Ukraine,35-54 years,male,4618
Ukraine,25-34 years,male,1763
Ukraine,75+ years,female,490
Ukraine,15-24 years,male,879
Ukraine,55-74 years,female,1087
Ukraine,35-54 years,female,761
Ukraine,25-34 years,female,232
Ukraine,15-24 years,female,175
Ukraine,5-14 years,male,60
Ukraine,5-14 years,female,18
Ukraine,75+ years,male,548
Ukraine,55-74 years,male,3505
Ukraine,35-54 years,male,4986
Ukraine,25-34 years,male,1854
Ukraine,15-24 years,male,948
Ukraine,75+ years,female,405
Ukraine,55-74 years,female,1029
Ukraine,35-54 years,female,752
Ukraine,25-34 years,female,243
Ukraine,15-24 years,female,187
Ukraine,5-14 years,male,68
Ukraine,5-14 years,female,16
Ukraine,75+ years,male,502
Ukraine,55-74 years,male,3821
Ukraine,35-54 years,male,5203
Ukraine,25-34 years,male,1870
Ukraine,15-24 years,male,1023
Ukraine,75+ years,female,378
Ukraine,55-74 years,female,1079
Ukraine,35-54 years,female,783
Ukraine,25-34 years,female,248
Ukraine,15-24 years,female,165
Ukraine,5-14 years,male,76
Ukraine,5-14 years,female,12
Ukraine,55-74 years,male,3735
Ukraine,75+ years,male,475
Ukraine,35-54 years,male,4994
Ukraine,25-34 years,male,1859
Ukraine,15-24 years,male,986
Ukraine,75+ years,female,409
Ukraine,55-74 years,female,1152
Ukraine,35-54 years,female,795
Ukraine,25-34 years,female,248
Ukraine,15-24 years,female,172
Ukraine,5-14 years,male,61
Ukraine,5-14 years,female,17
Ukraine,55-74 years,male,3589
Ukraine,75+ years,male,458
Ukraine,35-54 years,male,4969
Ukraine,25-34 years,male,1830
Ukraine,15-24 years,male,1049
Ukraine,75+ years,female,432
Ukraine,55-74 years,female,1155
Ukraine,35-54 years,female,814
Ukraine,25-34 years,female,219
Ukraine,15-24 years,female,196
Ukraine,5-14 years,male,53
Ukraine,5-14 years,female,25
Ukraine,55-74 years,male,3489
Ukraine,35-54 years,male,4878
Ukraine,75+ years,male,426
Ukraine,25-34 years,male,1800
Ukraine,15-24 years,male,1054
Ukraine,75+ years,female,451
Ukraine,55-74 years,female,1002
Ukraine,35-54 years,female,765
Ukraine,25-34 years,female,247
Ukraine,15-24 years,female,158
Ukraine,5-14 years,male,79
Ukraine,5-14 years,female,14
Ukraine,55-74 years,male,3380
Ukraine,35-54 years,male,5076
Ukraine,75+ years,male,446
Ukraine,25-34 years,male,1740
Ukraine,15-24 years,male,1097
Ukraine,75+ years,female,435
Ukraine,55-74 years,female,956
Ukraine,35-54 years,female,774
Ukraine,25-34 years,female,251
Ukraine,15-24 years,female,196
Ukraine,5-14 years,male,95
Ukraine,5-14 years,female,21
Ukraine,55-74 years,male,3001
Ukraine,35-54 years,male,4698
Ukraine,75+ years,male,467
Ukraine,25-34 years,male,1633
Ukraine,15-24 years,male,1073
Ukraine,75+ years,female,387
Ukraine,55-74 years,female,775
Ukraine,35-54 years,female,649
Ukraine,25-34 years,female,218
Ukraine,15-24 years,female,147
Ukraine,5-14 years,male,67
Ukraine,5-14 years,female,16
Ukraine,75+ years,male,518
Ukraine,55-74 years,male,2738
Ukraine,35-54 years,male,4398
Ukraine,25-34 years,male,1660
Ukraine,15-24 years,male,998
Ukraine,75+ years,female,364
Ukraine,55-74 years,female,759
Ukraine,35-54 years,female,673
Ukraine,25-34 years,female,218
Ukraine,15-24 years,female,142
Ukraine,5-14 years,male,55
Ukraine,5-14 years,female,13
Ukraine,75+ years,male,531
Ukraine,55-74 years,male,2648
Ukraine,35-54 years,male,4312
Ukraine,25-34 years,male,1628
Ukraine,15-24 years,male,994
Ukraine,75+ years,female,381
Ukraine,55-74 years,female,738
Ukraine,35-54 years,female,669
Ukraine,25-34 years,female,214
Ukraine,15-24 years,female,131
Ukraine,5-14 years,male,50
Ukraine,5-14 years,female,17
Ukraine,75+ years,male,508
Ukraine,35-54 years,male,4132
Ukraine,55-74 years,male,2260
Ukraine,25-34 years,male,1489
Ukraine,15-24 years,male,944
Ukraine,75+ years,female,373
Ukraine,55-74 years,female,603
Ukraine,35-54 years,female,585
Ukraine,25-34 years,female,183
Ukraine,15-24 years,female,109
Ukraine,5-14 years,male,58
Ukraine,5-14 years,female,12
Ukraine,75+ years,male,561
Ukraine,35-54 years,male,3771
Ukraine,55-74 years,male,2151
Ukraine,25-34 years,male,1467
Ukraine,15-24 years,male,861
Ukraine,75+ years,female,342
Ukraine,55-74 years,female,576
Ukraine,35-54 years,female,515
Ukraine,25-34 years,female,182
Ukraine,15-24 years,female,139
Ukraine,5-14 years,male,49
Ukraine,5-14 years,female,7
Ukraine,75+ years,male,562
Ukraine,35-54 years,male,3420
Ukraine,55-74 years,male,1993
Ukraine,25-34 years,male,1455
Ukraine,15-24 years,male,837
Ukraine,75+ years,female,333
Ukraine,55-74 years,female,563
Ukraine,35-54 years,female,540
Ukraine,25-34 years,female,170
Ukraine,15-24 years,female,98
Ukraine,5-14 years,male,33
Ukraine,5-14 years,female,9
Ukraine,75+ years,male,517
Ukraine,35-54 years,male,3392
Ukraine,55-74 years,male,1922
Ukraine,25-34 years,male,1546
Ukraine,15-24 years,male,987
Ukraine,75+ years,female,325
Ukraine,55-74 years,female,483
Ukraine,35-54 years,female,500
Ukraine,25-34 years,female,181
Ukraine,15-24 years,female,129
Ukraine,5-14 years,male,39
Ukraine,5-14 years,female,11
Ukraine,75+ years,male,554
Ukraine,55-74 years,male,1854
Ukraine,35-54 years,male,3027
Ukraine,25-34 years,male,1452
Ukraine,15-24 years,male,856
Ukraine,75+ years,female,347
Ukraine,55-74 years,female,483
Ukraine,35-54 years,female,528
Ukraine,25-34 years,female,182
Ukraine,15-24 years,female,118
Ukraine,5-14 years,male,36
Ukraine,5-14 years,female,17
Ukraine,75+ years,male,532
Ukraine,35-54 years,male,3133
Ukraine,55-74 years,male,1882
Ukraine,25-34 years,male,1504
Ukraine,15-24 years,male,906
Ukraine,75+ years,female,313
Ukraine,55-74 years,female,556
Ukraine,35-54 years,female,502
Ukraine,25-34 years,female,186
Ukraine,15-24 years,female,148
Ukraine,5-14 years,male,34
Ukraine,5-14 years,female,19
Ukraine,75+ years,male,495
Ukraine,55-74 years,male,1827
Ukraine,35-54 years,male,2853
Ukraine,25-34 years,male,1457
Ukraine,15-24 years,male,843
Ukraine,75+ years,female,303
Ukraine,55-74 years,female,479
Ukraine,35-54 years,female,458
Ukraine,15-24 years,female,154
Ukraine,25-34 years,female,170
Ukraine,5-14 years,male,35
Ukraine,5-14 years,female,15
Ukraine,75+ years,male,531
Ukraine,55-74 years,male,1761
Ukraine,35-54 years,male,2664
Ukraine,25-34 years,male,1457
Ukraine,15-24 years,male,850
Ukraine,75+ years,female,311
Ukraine,55-74 years,female,552
Ukraine,35-54 years,female,464
Ukraine,15-24 years,female,157
Ukraine,25-34 years,female,160
Ukraine,5-14 years,male,46
Ukraine,5-14 years,female,20
Ukraine,75+ years,male,590
Ukraine,55-74 years,male,1768
Ukraine,35-54 years,male,2680
Ukraine,25-34 years,male,1450
Ukraine,15-24 years,male,838
Ukraine,75+ years,female,347
Ukraine,55-74 years,female,524
Ukraine,35-54 years,female,494
Ukraine,25-34 years,female,186
Ukraine,15-24 years,female,126
Ukraine,5-14 years,male,35
Ukraine,5-14 years,female,20
Ukraine,75+ years,male,608
Ukraine,55-74 years,male,1558
Ukraine,35-54 years,male,2363
Ukraine,25-34 years,male,1302
Ukraine,15-24 years,male,560
Ukraine,75+ years,female,339
Ukraine,55-74 years,female,465
Ukraine,35-54 years,female,423
Ukraine,25-34 years,female,197
Ukraine,15-24 years,female,118
Ukraine,5-14 years,male,21
Ukraine,5-14 years,female,14
Ukraine,75+ years,male,669
Ukraine,55-74 years,male,1644
Ukraine,35-54 years,male,2181
Ukraine,25-34 years,male,1114
Ukraine,15-24 years,male,507
Ukraine,75+ years,female,296
Ukraine,55-74 years,female,399
Ukraine,35-54 years,female,427
Ukraine,15-24 years,female,117
Ukraine,25-34 years,female,168
Ukraine,5-14 years,male,33
Ukraine,5-14 years,female,19
