country,age,sex,suicides_no
United Arab Emirates,35-54 years,male,42
United Arab Emirates,55-74 years,male,3
United Arab Emirates,15-24 years,female,7
United Arab Emirates,25-34 years,male,28
United Arab Emirates,25-34 years,female,6
United Arab Emirates,15-24 years,male,7
United Arab Emirates,35-54 years,female,3
United Arab Emirates,5-14 years,female,0
United Arab Emirates,55-74 years,female,0
United Arab Emirates,75+ years,female,0
United Arab Emirates,5-14 years,male,0
United Arab Emirates,75+ years,male,0
United Arab Emirates,55-74 years,female,2
United Arab Emirates,25-34 years,male,37
United Arab Emirates,35-54 years,male,30
United Arab Emirates,35-54 years,female,6
United Arab Emirates,55-74 years,male,2
United Arab Emirates,25-34 years,female,5
United Arab Emirates,15-24 years,male,7
United Arab Emirates,15-24 years,female,1
United Arab Emirates,5-14 years,female,0
United Arab Emirates,75+ years,female,0
United Arab Emirates,5-14 years,male,0
United Arab Emirates,75+ years,male,0
United Arab Emirates,55-74 years,female,2
United Arab Emirates,15-24 years,male,18
United Arab Emirates,35-54 years,male,35
United Arab Emirates,25-34 years,male,33
United Arab Emirates,55-74 years,male,2
United Arab Emirates,15-24 years,female,4
United Arab Emirates,25-34 years,female,4
United Arab Emirates,35-54 years,female,3
United Arab Emirates,5-14 years,female,0
United Arab Emirates,75+ years,female,0
United Arab Emirates,5-14 years,male,0
United Arab Emirates,75+ years,male,0
United Arab Emirates,15-24 years,male,18
United Arab Emirates,55-74 years,male,3
United Arab Emirates,25-34 years,female,10
United Arab Emirates,35-54 years,male,36
United Arab Emirates,25-34 years,male,25
United Arab Emirates,15-24 years,female,4
United Arab Emirates,35-54 years,female,4
United Arab Emirates,5-14 years,female,0
United Arab Emirates,55-74 years,female,0
United Arab Emirates,75+ years,female,0
United Arab Emirates,5-14 years,male,0
United Arab Emirates,75+ years,male,0
United Arab Emirates,25-34 years,male,52
United Arab Emirates,15-24 years,male,15
United Arab Emirates,35-54 years,male,39
United Arab Emirates,55-74 years,male,3
United Arab Emirates,15-24 years,female,7
United Arab Emirates,25-34 years,female,4
United Arab Emirates,5-14 years,female,2
United Arab Emirates,35-54 years,female,2
United Arab Emirates,55-74 years,female,0
United Arab Emirates,75+ years,female,0
United Arab Emirates,5-14 years,male,0
United Arab Emirates,75+ years,male,0
United Arab Emirates,75+ years,male,1
United Arab Emirates,55-74 years,male,5
United Arab Emirates,25-34 years,female,14
United Arab Emirates,55-74 years,female,1
United Arab Emirates,25-34 years,male,39
United Arab Emirates,15-24 years,female,6
United Arab Emirates,35-54 years,male,34
United Arab Emirates,15-24 years,male,10
United Arab Emirates,35-54 years,female,1
United Arab Emirates,5-14 years,female,0
United Arab Emirates,75+ years,female,0
United Arab Emirates,5-14 years,male,0
