country,age,sex,suicides_no
United Kingdom,75+ years,male,264
United Kingdom,55-74 years,male,915
United Kingdom,35-54 years,male,1208
United Kingdom,25-34 years,male,620
United Kingdom,55-74 years,female,678
United Kingdom,75+ years,female,237
United Kingdom,15-24 years,male,411
United Kingdom,35-54 years,female,505
United Kingdom,25-34 years,female,176
United Kingdom,15-24 years,female,86
United Kingdom,5-14 years,male,3
United Kingdom,5-14 years,female,2
United Kingdom,75+ years,male,280
United Kingdom,55-74 years,male,892
United Kingdom,35-54 years,male,1152
United Kingdom,25-34 years,male,616
United Kingdom,15-24 years,male,449
United Kingdom,75+ years,female,223
United Kingdom,55-74 years,female,541
United Kingdom,35-54 years,female,424
United Kingdom,25-34 years,female,161
United Kingdom,15-24 years,female,97
United Kingdom,5-14 years,female,2
United Kingdom,5-14 years,male,2
United Kingdom,75+ years,male,248
United Kingdom,55-74 years,male,857
United Kingdom,35-54 years,male,1072
United Kingdom,25-34 years,male,618
United Kingdom,15-24 years,male,461
United Kingdom,55-74 years,female,464
United Kingdom,75+ years,female,174
United Kingdom,35-54 years,female,417
United Kingdom,25-34 years,female,168
United Kingdom,15-24 years,female,105
United Kingdom,5-14 years,male,7
United Kingdom,5-14 years,female,3
United Kingdom,75+ years,male,313
United Kingdom,35-54 years,male,1218
United Kingdom,25-34 years,male,695
United Kingdom,55-74 years,male,816
United Kingdom,15-24 years,male,565
United Kingdom,75+ years,female,205
United Kingdom,55-74 years,female,445
United Kingdom,35-54 years,female,417
United Kingdom,25-34 years,female,171
United Kingdom,15-24 years,female,120
United Kingdom,5-14 years,male,4
United Kingdom,5-14 years,female,2
United Kingdom,75+ years,male,267
United Kingdom,35-54 years,male,1117
United Kingdom,25-34 years,male,664
United Kingdom,55-74 years,male,703
United Kingdom,15-24 years,male,482
United Kingdom,75+ years,female,176
United Kingdom,55-74 years,female,352
United Kingdom,35-54 years,female,353
United Kingdom,25-34 years,female,157
United Kingdom,15-24 years,female,87
United Kingdom,5-14 years,female,2
United Kingdom,5-14 years,male,1
United Kingdom,75+ years,male,264
United Kingdom,35-54 years,male,1246
United Kingdom,25-34 years,male,763
United Kingdom,55-74 years,male,721
United Kingdom,15-24 years,male,528
United Kingdom,55-74 years,female,340
United Kingdom,75+ years,female,154
United Kingdom,35-54 years,female,360
United Kingdom,25-34 years,female,180
United Kingdom,15-24 years,female,85
United Kingdom,5-14 years,male,2
United Kingdom,5-14 years,female,0
United Kingdom,35-54 years,male,1342
United Kingdom,25-34 years,male,801
United Kingdom,75+ years,male,238
United Kingdom,55-74 years,male,628
United Kingdom,15-24 years,male,481
United Kingdom,75+ years,female,151
United Kingdom,55-74 years,female,311
United Kingdom,35-54 years,female,336
United Kingdom,25-34 years,female,161
United Kingdom,15-24 years,female,93
United Kingdom,5-14 years,male,4
United Kingdom,5-14 years,female,1
United Kingdom,35-54 years,male,1361
United Kingdom,25-34 years,male,785
United Kingdom,75+ years,male,216
United Kingdom,55-74 years,male,693
United Kingdom,15-24 years,male,500
United Kingdom,75+ years,female,143
United Kingdom,55-74 years,female,299
United Kingdom,35-54 years,female,347
United Kingdom,25-34 years,female,191
United Kingdom,15-24 years,female,91
United Kingdom,5-14 years,male,2
United Kingdom,5-14 years,female,0
United Kingdom,35-54 years,male,1274
United Kingdom,25-34 years,male,773
United Kingdom,75+ years,male,221
United Kingdom,15-24 years,male,501
United Kingdom,55-74 years,male,652
United Kingdom,75+ years,female,166
United Kingdom,55-74 years,female,263
United Kingdom,35-54 years,female,335
United Kingdom,25-34 years,female,181
United Kingdom,15-24 years,female,82
United Kingdom,5-14 years,male,12
United Kingdom,5-14 years,female,2
United Kingdom,25-34 years,male,881
United Kingdom,35-54 years,male,1242
United Kingdom,75+ years,male,218
United Kingdom,15-24 years,male,445
United Kingdom,55-74 years,male,595
United Kingdom,75+ years,female,148
United Kingdom,55-74 years,female,256
United Kingdom,35-54 years,female,324
United Kingdom,25-34 years,female,176
United Kingdom,15-24 years,female,82
United Kingdom,5-14 years,male,9
United Kingdom,5-14 years,female,4
United Kingdom,25-34 years,male,858
United Kingdom,35-54 years,male,1247
United Kingdom,75+ years,male,222
United Kingdom,55-74 years,male,602
United Kingdom,15-24 years,male,419
United Kingdom,75+ years,female,152
United Kingdom,35-54 years,female,344
United Kingdom,55-74 years,female,237
United Kingdom,25-34 years,female,143
United Kingdom,15-24 years,female,81
