country,age,sex,suicides_no
United States,75+ years,male,2177
United States,55-74 years,male,5302
United States,25-34 years,male,5134
United States,35-54 years,male,6053
United States,15-24 years,male,4267
United States,35-54 years,female,2105
United States,55-74 years,female,1568
United States,75+ years,female,466
United States,25-34 years,female,1242
United States,15-24 years,female,854
United States,5-14 years,male,205
United States,5-14 years,female,73
United States,75+ years,male,2340
United States,55-74 years,male,5500
United States,25-34 years,male,5450
United States,35-54 years,male,6450
United States,15-24 years,male,4276
United States,35-54 years,female,2299
United States,55-74 years,female,1696
United States,75+ years,female,521
United States,25-34 years,female,1261
United States,15-24 years,female,844
United States,5-14 years,male,199
United States,5-14 years,female,56
United States,75+ years,male,2532
United States,55-74 years,male,5482
United States,25-34 years,male,5370
United States,35-54 years,male,6569
United States,15-24 years,male,4109
United States,35-54 years,female,2270
United States,55-74 years,female,1596
United States,75+ years,female,504
United States,25-34 years,female,1285
United States,15-24 years,female,815
United States,5-14 years,male,199
United States,5-14 years,female,52
United States,75+ years,male,2548
United States,55-74 years,male,5198
United States,25-34 years,male,5463
United States,35-54 years,male,6528
United States,15-24 years,male,4143
United States,35-54 years,female,2209
United States,55-74 years,female,1504
United States,75+ years,female,519
United States,25-34 years,female,1247
United States,15-24 years,female,786
United States,5-14 years,male,181
United States,5-14 years,female,62
United States,75+ years,male,2462
United States,55-74 years,male,5185
United States,25-34 years,male,5339
United States,35-54 years,male,6814
United States,15-24 years,male,4106
United States,35-54 years,female,2159
United States,55-74 years,female,1432
United States,75+ years,female,491
United States,25-34 years,female,1226
United States,15-24 years,female,764
United States,5-14 years,male,184
United States,5-14 years,female,56
United States,75+ years,male,2653
United States,55-74 years,male,5109
United States,25-34 years,male,5339
United States,35-54 years,male,7260
United States,15-24 years,male,4160
United States,55-74 years,female,1504
United States,35-54 years,female,2175
United States,75+ years,female,511
United States,25-34 years,female,1211
United States,15-24 years,female,709
United States,5-14 years,male,195
United States,5-14 years,female,69
United States,75+ years,male,2673
United States,55-74 years,male,4983
United States,25-34 years,male,5361
United States,35-54 years,male,7454
United States,15-24 years,male,4073
United States,35-54 years,female,2296
United States,55-74 years,female,1342
United States,75+ years,female,511
United States,25-34 years,female,1153
United States,15-24 years,female,678
United States,5-14 years,male,208
United States,5-14 years,female,58
United States,75+ years,male,2573
United States,55-74 years,male,4818
United States,25-34 years,male,5102
United States,35-54 years,male,7679
United States,15-24 years,male,4044
United States,35-54 years,female,2348
United States,55-74 years,female,1325
United States,75+ years,female,549
United States,25-34 years,female,1070
United States,15-24 years,female,649
United States,5-14 years,male,232
United States,5-14 years,female,82
United States,75+ years,male,2649
United States,55-74 years,male,4797
United States,25-34 years,male,5218
United States,35-54 years,male,7976
United States,15-24 years,male,4119
United States,35-54 years,female,2362
United States,55-74 years,female,1304
United States,75+ years,female,519
United States,25-34 years,female,1089
United States,15-24 years,female,730
United States,5-14 years,male,233
United States,5-14 years,female,88
United States,75+ years,male,2629
United States,25-34 years,male,5295
United States,55-74 years,male,4498
United States,15-24 years,male,4302
United States,35-54 years,male,8199
United States,35-54 years,female,2472
United States,75+ years,female,514
United States,55-74 years,female,1179
United States,25-34 years,female,1059
United States,15-24 years,female,654
United States,5-14 years,male,234
United States,5-14 years,female,88
United States,75+ years,male,2580
United States,25-34 years,male,5234
United States,55-74 years,male,4607
United States,35-54 years,male,8545
United States,15-24 years,male,4132
United States,35-54 years,female,2454
United States,75+ years,female,516
