country,age,sex,suicides_no
Uruguay,75+ years,male,37
Uruguay,55-74 years,male,85
Uruguay,35-54 years,male,67
Uruguay,25-34 years,male,30
Uruguay,55-74 years,female,21
Uruguay,15-24 years,male,16
Uruguay,75+ years,female,4
Uruguay,35-54 years,female,16
Uruguay,15-24 years,female,5
Uruguay,25-34 years,female,3
Uruguay,5-14 years,female,2
Uruguay,5-14 years,male,1
Uruguay,75+ years,male,38
Uruguay,55-74 years,male,81
Uruguay,35-54 years,male,45
Uruguay,25-34 years,male,21
Uruguay,55-74 years,female,24
Uruguay,15-24 years,male,18
Uruguay,75+ years,female,5
Uruguay,15-24 years,female,12
Uruguay,25-34 years,female,8
Uruguay,35-54 years,female,8
Uruguay,5-14 years,male,2
Uruguay,5-14 years,female,0
Uruguay,75+ years,male,36
Uruguay,55-74 years,male,63
Uruguay,35-54 years,male,59
Uruguay,75+ years,female,7
Uruguay,55-74 years,female,25
Uruguay,25-34 years,male,15
Uruguay,15-24 years,male,18
Uruguay,35-54 years,female,19
Uruguay,25-34 years,female,7
Uruguay,15-24 years,female,7
Uruguay,5-14 years,female,1
Uruguay,5-14 years,male,1
Uruguay,75+ years,male,33
Uruguay,55-74 years,male,60
Uruguay,35-54 years,male,56
Uruguay,25-34 years,male,33
Uruguay,15-24 years,male,28
Uruguay,75+ years,female,7
Uruguay,55-74 years,female,17
Uruguay,35-54 years,female,17
Uruguay,25-34 years,female,9
Uruguay,15-24 years,female,6
Uruguay,5-14 years,male,2
Uruguay,5-14 years,female,0
Uruguay,75+ years,male,37
Uruguay,55-74 years,male,94
Uruguay,35-54 years,male,78
Uruguay,25-34 years,male,33
Uruguay,15-24 years,male,32
Uruguay,55-74 years,female,21
Uruguay,75+ years,female,5
Uruguay,25-34 years,female,13
Uruguay,15-24 years,female,12
Uruguay,35-54 years,female,17
Uruguay,5-14 years,male,2
Uruguay,5-14 years,female,0
Uruguay,75+ years,male,37
Uruguay,55-74 years,male,74
Uruguay,35-54 years,male,75
Uruguay,15-24 years,male,33
Uruguay,25-34 years,male,27
Uruguay,75+ years,female,9
Uruguay,55-74 years,female,25
Uruguay,35-54 years,female,14
Uruguay,25-34 years,female,8
Uruguay,15-24 years,female,7
Uruguay,5-14 years,female,3
Uruguay,5-14 years,male,3
Uruguay,75+ years,male,43
Uruguay,55-74 years,male,91
Uruguay,35-54 years,male,88
Uruguay,25-34 years,male,48
