country,age,sex,suicides_no
Uzbekistan,35-54 years,male,343
Uzbekistan,55-74 years,male,129
Uzbekistan,25-34 years,male,283
Uzbekistan,75+ years,male,20
Uzbekistan,75+ years,female,27
Uzbekistan,15-24 years,male,191
Uzbekistan,55-74 years,female,77
Uzbekistan,35-54 years,female,105
Uzbekistan,15-24 years,female,135
Uzbekistan,25-34 years,female,87
Uzbekistan,5-14 years,male,42
Uzbekistan,5-14 years,female,20
Uzbekistan,35-54 years,male,353
Uzbekistan,55-74 years,male,119
Uzbekistan,25-34 years,male,289
Uzbekistan,75+ years,male,20
Uzbekistan,75+ years,female,30
Uzbekistan,15-24 years,male,209
Uzbekistan,55-74 years,female,57
Uzbekistan,15-24 years,female,117
Uzbekistan,35-54 years,female,71
Uzbekistan,25-34 years,female,72
Uzbekistan,5-14 years,male,49
Uzbekistan,5-14 years,female,7
Uzbekistan,35-54 years,male,308
Uzbekistan,75+ years,male,19
Uzbekistan,55-74 years,male,105
Uzbekistan,25-34 years,male,258
Uzbekistan,75+ years,female,29
Uzbekistan,15-24 years,male,257
Uzbekistan,55-74 years,female,57
Uzbekistan,15-24 years,female,108
Uzbekistan,25-34 years,female,81
Uzbekistan,35-54 years,female,65
Uzbekistan,5-14 years,male,49
Uzbekistan,5-14 years,female,8
Uzbekistan,35-54 years,male,332
Uzbekistan,75+ years,male,19
Uzbekistan,25-34 years,male,278
Uzbekistan,55-74 years,male,111
Uzbekistan,75+ years,female,23
Uzbekistan,15-24 years,male,218
Uzbekistan,55-74 years,female,60
Uzbekistan,15-24 years,female,117
Uzbekistan,25-34 years,female,83
Uzbekistan,35-54 years,female,60
Uzbekistan,5-14 years,male,47
Uzbekistan,5-14 years,female,7
Uzbekistan,35-54 years,male,374
Uzbekistan,55-74 years,male,151
Uzbekistan,25-34 years,male,264
Uzbekistan,75+ years,female,25
Uzbekistan,15-24 years,male,246
Uzbekistan,75+ years,male,10
Uzbekistan,55-74 years,female,53
Uzbekistan,15-24 years,female,110
Uzbekistan,25-34 years,female,77
Uzbekistan,35-54 years,female,74
Uzbekistan,5-14 years,male,32
Uzbekistan,5-14 years,female,3
Uzbekistan,35-54 years,male,423
Uzbekistan,55-74 years,male,171
Uzbekistan,25-34 years,male,275
Uzbekistan,75+ years,male,11
Uzbekistan,15-24 years,male,236
Uzbekistan,75+ years,female,15
Uzbekistan,55-74 years,female,64
Uzbekistan,25-34 years,female,80
Uzbekistan,35-54 years,female,77
Uzbekistan,15-24 years,female,88
Uzbekistan,5-14 years,male,38
Uzbekistan,5-14 years,female,7
Uzbekistan,35-54 years,male,496
Uzbekistan,55-74 years,male,195
Uzbekistan,25-34 years,male,334
Uzbekistan,75+ years,male,12
Uzbekistan,15-24 years,male,255
Uzbekistan,75+ years,female,18
Uzbekistan,55-74 years,female,55
Uzbekistan,25-34 years,female,99
Uzbekistan,15-24 years,female,111
Uzbekistan,35-54 years,female,74
Uzbekistan,5-14 years,male,40
Uzbekistan,5-14 years,female,10
Uzbekistan,35-54 years,male,415
Uzbekistan,55-74 years,male,165
Uzbekistan,25-34 years,male,298
Uzbekistan,75+ years,male,13
Uzbekistan,15-24 years,male,278
Uzbekistan,75+ years,female,13
Uzbekistan,15-24 years,female,120
Uzbekistan,25-34 years,female,88
Uzbekistan,55-74 years,female,44
Uzbekistan,35-54 years,female,74
Uzbekistan,5-14 years,male,37
Uzbekistan,5-14 years,female,9
Uzbekistan,35-54 years,male,460
Uzbekistan,55-74 years,male,160
Uzbekistan,25-34 years,male,302
Uzbekistan,75+ years,male,11
Uzbekistan,15-24 years,male,266
Uzbekistan,15-24 years,female,152
Uzbekistan,75+ years,female,12
Uzbekistan,25-34 years,female,94
Uzbekistan,55-74 years,female,42
Uzbekistan,35-54 years,female,61
Uzbekistan,5-14 years,male,53
Uzbekistan,5-14 years,female,7
Uzbekistan,35-54 years,male,491
Uzbekistan,25-34 years,male,361
Uzbekistan,55-74 years,male,123
Uzbekistan,15-24 years,male,328
Uzbekistan,75+ years,male,13
Uzbekistan,15-24 years,female,163
Uzbekistan,75+ years,female,13
Uzbekistan,25-34 years,female,98
Uzbekistan,55-74 years,female,39
Uzbekistan,35-54 years,female,89
Uzbekistan,5-14 years,male,59
Uzbekistan,5-14 years,female,18
Uzbekistan,35-54 years,male,528
Uzbekistan,25-34 years,male,355
Uzbekistan,55-74 years,male,153
Uzbekistan,15-24 years,male,350
Uzbekistan,75+ years,male,12
Uzbekistan,75+ years,female,19
