country,age,sex,suicides_no
Albania,15-24 years,female,14
Albania,75+ years,female,1
Albania,35-54 years,female,6
Albania,25-34 years,female,4
Albania,5-14 years,female,0
Albania,55-74 years,female,0
Albania,75+ years,female,2
Albania,15-24 years,female,8
Albania,55-74 years,female,3
Albania,25-34 years,female,5
Albania,35-54 years,female,4
Albania,5-14 years,female,0
Albania,35-54 years,female,7
Albania,15-24 years,female,5
Albania,25-34 years,female,2
Albania,55-74 years,female,1
Albania,5-14 years,female,0
Albania,75+ years,female,0
Albania,15-24 years,female,7
Albania,25-34 years,female,4
Albania,35-54 years,female,2
Albania,55-74 years,female,1
Albania,5-14 years,female,0
Albania,75+ years,female,0
Albania,15-24 years,female,10
Albania,25-34 years,female,7
Albania,35-54 years,female,7
Albania,55-74 years,female,2
Albania,5-14 years,female,1
Albania,75+ years,female,0
Albania,75+ years,female,2
Albania,15-24 years,female,6
Albania,25-34 years,female,4
Albania,35-54 years,female,2
Albania,55-74 years,female,1
Albania,5-14 years,female,0
Albania,75+ years,female,2
Albania,15-24 years,female,13
Albania,25-34 years,female,7
Albania,35-54 years,female,8
Albania,55-74 years,female,2
Albania,5-14 years,female,2
Albania,15-24 years,female,16
Albania,75+ years,female,2
Albania,25-34 years,female,10
Albania,35-54 years,female,9
Albania,55-74 years,female,1
Albania,5-14 years,female,1
Albania,15-24 years,female,21
Albania,25-34 years,female,16
Albania,75+ years,female,2
Albania,35-54 years,female,7
Albania,5-14 years,female,6
Albania,55-74 years,female,0
Albania,15-24 years,female,32
Albania,25-34 years,female,10
Albania,55-74 years,female,6
Albania,35-54 years,female,9
Albania,5-14 years,female,1
Albania,75+ years,female,0
Albania,75+ years,female,4
Albania,15-24 years,female,19
Albania,25-34 years,female,13
Albania,55-74 years,female,6
Albania,35-54 years,female,5
Albania,5-14 years,female,1
Albania,75+ years,female,2
Albania,15-24 years,female,6
Albania,35-54 years,female,5
Albania,25-34 years,female,3
Albania,5-14 years,female,0
Albania,55-74 years,female,0
Albania,75+ years,female,2
Albania,15-24 years,female,9
Albania,35-54 years,female,12
Albania,55-74 years,female,6
Albania,25-34 years,female,4
Albania,5-14 years,female,2
Albania,15-24 years,female,14
Albania,35-54 years,female,15
